originalid,motherage,parentincome,fatherhighgrade,motherhighgrade
467,27,11700,10,6
468,18,19000,-4,-3
469,18,19000,9,12
470,21,-4,16,9
471,23,23000,6,3
472,25,23000,6,3
473,19,3000,13,12
474,23,-4,-3,-3
475,14,-3,12,10
476,36,-4,10,12
477,21,-4,12,-3
478,-3,-3,-3,-3
479,23,-4,9,6
480,24,15000,-4,3
481,28,15000,-4,3
482,-3,250,-4,-4
483,26,47200,-4,13
484,29,47200,-4,13
485,-3,-4,-3,18
486,24,75000,12,14
487,28,75000,12,14
488,26,34000,10,14
489,28,26000,-4,13
490,25,45040,17,17
491,27,45040,17,17
492,27,-4,16,16
493,23,-4,17,12
494,30,-4,12,16
495,32,-4,12,16
496,26,-4,12,12
497,22,61000,16,13
498,29,76400,20,16
499,21,38000,12,13
500,26,-3,14,14
501,28,-3,12,12
502,28,-3,14,14
503,27,75000,16,12
504,19,43000,12,12
505,38,82300,14,12
506,30,48000,14,12
507,27,-4,6,6
508,33,-3,3,3
509,23,10000,-3,15
510,21,7500,-4,6
511,16,-4,4,6
512,17,38000,4,4
513,19,38000,4,4
514,27,13200,9,9
515,22,18000,-3,12
516,22,18000,-3,12
517,20,-4,-3,8
518,22,-4,-3,8
519,30,456,4,12
520,21,-4,5,8
521,23,-4,5,8
522,25,15000,-4,12
523,35,29250,14,12
524,25,-4,-3,12
525,20,9000,9,6
526,21,9000,9,6
527,35,246474,20,17
528,-3,246474,12,-3
529,27,18000,-4,14
530,30,112520,16,16
531,18,-4,6,6
532,20,-4,6,6
533,25,-4,-3,-3
534,28,-4,6,6
535,31,-4,16,16
536,27,-4,9,9
537,22,36960,10,13
538,24,36960,10,13
539,31,30000,-3,16
540,32,30000,-3,16
541,22,-4,12,12
542,38,69200,15,16
543,40,43000,6,8
544,-3,92000,-4,-4
545,19,-4,-3,14
546,27,-3,16,16
547,35,-3,16,18
548,36,63000,13,12
549,25,93650,16,16
550,37,-3,16,18
551,36,-3,16,14
552,25,95100,12,15
553,27,95100,12,15
554,22,33600,12,13
555,34,-3,14,16
556,24,-3,20,16
557,27,43331,16,18
558,41,100500,15,8
559,32,57150,12,18
560,25,42152,12,13
561,28,42152,12,13
562,-3,28000,8,12
563,21,-3,-3,9
564,26,46200,12,13
565,26,-3,12,12
566,29,-4,8,8
567,24,71765,11,12
568,25,71765,11,12
569,27,96000,12,12
570,28,96000,12,12
571,30,76720,12,12
572,27,76720,12,13
573,18,35000,5,8
574,19,35000,5,8
575,21,-3,-3,16
576,27,86200,17,14
577,30,86200,17,14
578,24,75400,14,14
579,25,40305,12,12
580,28,40305,12,12
581,33,20880,-3,12
582,34,20880,-3,12
583,22,29000,14,16
584,18,-4,13,10
585,20,-4,13,10
586,20,46800,12,10
587,23,46800,12,10
588,20,9410,10,11
589,20,9410,10,11
590,27,48000,12,12
591,21,14000,10,12
592,23,14000,10,12
593,24,55250,13,12
594,15,32220,-3,8
595,17,32220,-3,8
596,26,-3,-3,12
597,28,39800,-3,12
598,18,45500,12,12
599,32,-3,-3,2
600,-3,-4,12,2
601,25,-4,12,8
602,27,-4,12,8
603,24,-3,3,5
604,18,25000,6,6
605,24,56100,-3,12
606,20,11157,12,16
607,22,11157,-3,16
608,20,27400,12,12
609,30,103577,12,14
610,23,74500,12,12
611,26,74500,12,12
612,32,-3,16,17
613,23,31000,12,12
614,19,-3,16,16
615,29,5300,13,13
616,32,5300,13,13
617,-3,0,14,-4
618,23,74100,12,11
619,27,53000,12,12
620,26,25900,-3,9
621,20,18500,3,3
622,16,16000,6,6
623,17,16000,6,6
624,37,20068,4,4
625,39,20068,4,4
626,31,18900,3,5
627,33,-3,-3,18
628,28,-3,17,15
629,31,-3,16,12
630,-3,-3,12,14
631,22,-3,13,13
632,24,-3,13,13
633,24,-3,13,13
634,-3,117000,12,-3
635,25,-3,18,12
636,29,62300,14,14
637,17,17500,13,12
638,36,-3,12,12
639,35,128500,14,12
640,29,69500,16,16
641,34,58000,17,15
642,23,75500,14,12
643,24,75500,14,12
644,27,37300,5,5
645,28,37300,5,5
646,25,35200,12,12
647,35,56000,12,17
648,26,77400,14,14
649,28,77400,14,14
650,30,77400,14,14
651,18,4800,12,12
652,19,4800,12,12
653,34,55000,20,16
654,29,53000,16,14
655,18,36000,11,11
656,22,40500,-3,12
657,27,-4,6,6
658,31,-4,6,6
659,27,68500,-3,15
660,29,68500,-3,15
661,26,-3,1,-3
662,25,50000,12,13
663,31,-3,10,13
664,26,10000,12,12
665,24,53000,12,13
666,36,35000,15,4
667,37,35000,15,4
668,38,35000,15,4
669,21,101000,12,14
670,23,-3,11,11
671,24,-4,-4,12
672,24,60650,18,16
673,27,60650,18,16
674,18,14400,16,14
675,30,9750,-3,9
676,25,42000,12,12
677,16,19320,12,10
678,18,19320,12,10
679,22,-3,12,12
680,23,-3,16,12
681,30,63000,16,18
682,24,52500,16,12
683,27,-4,16,15
684,38,29000,12,9
685,18,-3,-3,14
686,25,8800,12,14
687,24,35100,12,14
688,26,-3,14,7
689,22,10747,6,6
690,20,-3,6,6
691,22,-3,6,6
692,32,16050,4,6
693,20,-3,12,12
694,21,34299,12,12
695,19,17000,6,4
696,22,17000,6,4
697,26,-4,6,6
698,20,25000,14,12
699,18,-4,16,13
700,21,28800,11,11
701,-3,28800,11,11
702,39,12600,10,11
703,30,10000,-3,14
704,26,35387,9,14
705,22,51513,12,16
706,23,51513,12,16
707,25,-4,-3,13
708,21,76000,13,15
709,26,6824,-4,10
710,25,55300,12,13
711,33,47560,14,18
712,28,81300,-3,11
713,29,81300,-3,11
714,22,90000,12,-3
715,20,78500,12,14
716,29,8250,11,11
717,21,75000,12,12
718,32,115300,12,16
719,23,-3,-3,16
720,21,123500,12,12
721,24,64000,14,14
722,26,64000,14,14
723,24,87500,15,14
724,27,88000,16,16
725,30,110656,16,16
726,32,-4,16,16
727,33,-4,16,16
728,22,69000,14,13
729,28,86800,14,14
730,28,-4,14,12
731,30,125000,-3,-3
732,28,100000,16,16
733,32,86000,18,16
734,34,86000,18,16
735,28,137500,16,17
736,32,137500,16,17
737,27,246474,18,16
738,24,70000,18,16
739,25,70000,18,16
740,37,97200,16,16
741,28,-3,-4,16
742,32,-3,18,18
743,35,104400,-3,-3
744,35,104400,-3,-3
745,30,246474,16,16
746,29,246474,18,17
747,26,246474,20,16
748,28,-4,-3,15
749,22,54040,16,14
750,-3,0,-3,-3
751,-3,0,-3,-3
752,22,4968,12,13
753,25,30620,13,12
754,33,86300,7,12
755,32,40800,8,9
756,34,40800,8,9
757,33,106700,16,16
758,30,127550,19,14
759,19,77500,13,-3
760,30,25250,20,16
761,31,73750,18,16
762,30,246474,20,18
763,32,44300,16,20
764,28,13280,12,13
765,23,57000,12,12
766,27,60000,12,14
767,31,33000,18,18
768,36,-3,12,14
769,30,49560,15,16
770,27,79000,12,12
772,27,58300,19,16
773,21,-4,-3,12
774,25,26100,12,12
775,17,-3,12,12
776,-3,-4,12,-3
777,23,-4,16,12
778,-3,40880,-4,18
779,14,6000,12,12
780,19,6000,12,12
781,23,80000,16,16
782,25,80000,16,16
783,26,80000,16,16
784,26,85000,16,14
785,28,77250,13,13
786,28,-3,16,15
787,30,-3,16,15
788,32,65657,16,16
789,25,88160,12,14
790,-3,88160,12,14
791,32,60660,13,16
792,28,82000,18,16
793,30,82000,18,16
794,28,74000,13,16
795,32,90017,14,12
796,29,66000,-3,18
797,-3,76100,14,-3
798,32,72700,16,16
799,24,154750,12,14
800,22,137017,16,12
801,24,137017,16,12
802,21,41000,-3,12
803,23,19670,4,9
804,23,20000,-3,6
805,27,80100,12,12
806,30,80100,12,12
807,20,51000,12,11
808,21,51000,12,11
809,19,39000,12,12
810,20,39000,12,12
811,33,81051,12,12
812,20,-4,14,14
813,23,-3,-3,-3
814,19,11295,10,12
815,33,35250,-3,-3
816,15,9600,12,12
817,22,8594,-3,14
818,29,-3,16,18
819,24,-3,-3,14
820,29,-3,-3,14
821,36,43700,-3,12
822,23,-3,12,12
823,28,-3,12,12
824,34,-4,12,9
825,37,-4,12,9
826,17,56425,-3,15
827,23,44300,17,15
828,29,-3,12,12
829,26,24700,12,12
830,28,64580,12,12
831,23,43600,19,13
832,25,68172,12,14
833,23,66200,14,16
834,22,31650,12,12
835,28,-4,16,16
836,22,56447,12,12
837,14,56750,10,9
838,16,56750,10,9
839,24,62000,12,16
840,27,62000,12,16
841,30,246474,16,17
842,32,-3,18,13
843,31,-4,12,16
844,35,26000,15,15
845,38,45000,18,16
846,30,64040,17,13
847,21,73000,14,13
848,23,73000,14,13
849,27,-3,12,14
850,24,22600,12,12
851,17,136000,10,12
852,40,-3,12,11
853,18,136000,10,12
854,29,13600,12,5
855,28,-3,-4,17
856,19,66000,-3,15
857,28,132096,12,13
858,31,132096,12,13
859,25,-3,12,14
860,26,-3,18,12
861,29,-4,18,12
862,21,28500,12,13
863,25,28500,12,13
864,28,26020,12,12
865,25,93320,12,12
866,27,-4,12,12
867,28,37500,12,12
868,68,18200,-3,-3
869,37,-4,-4,-3
870,23,12000,12,12
871,19,22000,-3,-3
872,26,17500,-4,4
873,28,17500,-4,4
874,29,1200,6,10
875,36,20800,11,12
876,17,53600,14,12
877,23,16250,-3,11
878,31,-4,-3,-3
879,22,19280,16,-3
880,23,20000,-3,11
881,25,16290,-3,17
882,22,30000,11,13
883,28,59005,14,12
884,28,64500,14,16
885,30,64500,14,16
886,24,30085,12,13
887,26,30085,12,13
888,-3,-4,-4,-4
889,-3,-4,-4,-4
890,24,-4,11,12
891,21,-4,11,12
892,27,-4,11,12
893,26,-4,15,15
894,27,-3,15,15
895,30,-3,15,15
896,24,50020,12,13
897,30,78000,14,14
898,21,81250,14,12
899,27,246474,18,14
900,29,246474,18,14
901,25,70000,14,14
902,29,16500,-3,-3
903,22,75000,12,12
904,24,12600,-3,-3
905,27,3750,12,12
906,19,-3,8,10
907,25,7000,-4,-3
908,18,2050,-4,8
909,19,2050,-4,8
910,25,112000,-3,-3
911,35,-4,-3,-3
912,28,82000,16,16
913,26,246474,17,16
914,37,45000,16,13
915,32,95000,16,14
916,35,95000,16,14
917,30,-3,19,18
918,31,246474,20,18
919,33,246474,20,18
920,28,-3,18,16
921,25,-3,14,14
922,35,103500,16,16
923,20,56484,12,14
924,23,56484,14,16
925,17,15500,-4,11
926,19,15500,7,11
927,29,80000,16,16
928,30,80000,16,16
929,28,120000,16,16
930,20,71800,-3,12
931,27,-3,14,14
932,28,104000,12,16
933,27,-3,13,19
934,30,-3,13,19
935,25,100000,12,16
936,24,-3,18,16
937,31,-3,16,14
938,34,-3,16,14
939,29,-4,16,12
940,28,23200,20,17
941,33,-4,20,17
942,31,155400,18,16
943,33,155400,18,16
944,30,95000,16,20
945,30,-3,16,16
946,32,39000,12,14
947,27,133120,17,14
948,30,133120,17,14
949,28,129000,16,16
950,32,129000,16,16
951,28,246474,20,18
952,31,246474,20,18
953,34,120060,16,18
954,31,74100,12,16
955,30,105000,16,16
956,28,45018,17,16
957,28,162950,18,12
958,29,73500,16,12
959,32,73500,16,12
960,25,246474,12,12
961,25,246474,16,13
962,22,59000,14,17
963,27,59000,14,17
964,-3,57200,16,16
965,27,107000,16,14
966,19,246474,12,11
967,25,140000,16,16
968,24,95000,16,18
969,27,95000,16,18
970,26,83750,18,16
971,33,246474,16,18
972,25,49010,20,16
973,27,246474,20,20
974,30,89015,20,19
975,20,55600,14,12
976,21,55600,14,12
977,24,92000,8,16
978,26,128750,18,16
979,28,128750,18,16
980,34,-3,19,16
981,25,154500,16,12
982,31,-3,12,12
983,35,-3,14,13
984,28,48000,-3,6
985,22,1000,4,7
986,22,18900,18,12
987,24,18900,18,12
988,33,105000,-3,12
989,30,84700,16,13
990,22,-4,12,-3
991,-3,-4,-3,-3
992,24,49850,12,13
993,19,-4,13,12
994,20,81269,14,13
995,30,52000,12,12
996,25,127000,14,14
997,35,63050,12,13
998,31,27000,11,11
999,25,7200,12,12
1000,-3,1007,16,15
1001,-3,-3,-4,-4
1002,-3,-3,-4,-4
1003,17,-4,7,16
1004,20,-3,7,16
1005,19,73000,-3,16
1006,21,73000,-3,16
1007,30,-3,16,16
1008,24,43500,14,12
1009,26,43500,14,12
1010,37,-4,12,12
1011,31,62580,17,12
1012,33,62580,17,12
1013,26,63000,14,14
1014,26,84100,16,14
1015,27,84100,16,14
1016,29,68770,-4,12
1017,33,68770,-4,12
1018,29,97700,12,16
1019,28,84100,14,17
1020,27,96050,12,14
1021,27,85300,14,13
1022,25,42800,15,18
1023,24,25500,12,14
1024,29,82400,-3,14
1025,31,50000,16,16
1026,24,28260,10,12
1027,25,-3,12,12
1028,27,-3,12,12
1029,38,46000,11,10
1030,22,-3,12,10
1031,16,21220,8,9
1032,19,5952,11,11
1033,20,5952,12,11
1034,22,4599,13,10
1035,35,-4,12,10
1036,17,11934,12,10
1037,19,5042,-4,-3
1038,20,5042,-4,-3
1039,18,6336,-3,11
1040,19,-3,12,12
1041,15,3534,11,10
1042,17,3534,11,10
1043,22,2994,-3,9
1044,25,2994,-3,9
1045,24,4000,12,12
1046,27,4000,-3,12
1047,26,5368,-3,12
1048,18,753,11,11
1049,23,26900,8,10
1050,26,-3,-3,9
1051,27,-3,-3,9
1052,26,5192,12,11
1053,17,4836,12,12
1054,17,-3,8,12
1055,18,21132,-3,11
1056,16,18432,-3,11
1057,18,18432,-3,11
1058,-3,22000,12,12
1059,20,5800,12,12
1060,14,3792,16,9
1061,25,6001,11,12
1062,28,28040,11,13
1063,27,-3,12,-3
1064,20,-3,12,12
1065,34,82000,12,12
1066,29,28000,12,13
1067,16,25200,3,6
1068,18,25200,3,6
1069,25,110000,15,13
1070,21,47200,13,12
1071,21,55000,12,12
1072,23,35000,-3,15
1073,23,99828,18,14
1074,25,99828,18,14
1075,16,61700,12,16
1076,28,94500,16,14
1077,30,94500,16,14
1078,31,65000,16,12
1079,32,93000,14,12
1080,35,93000,14,12
1081,27,111750,18,18
1082,34,-3,20,16
1083,25,100000,16,14
1084,28,100000,16,14
1085,24,71000,14,13
1086,32,-4,16,12
1087,23,55000,12,12
1088,30,-3,12,13
1089,18,36000,12,13
1090,20,36000,12,13
1091,31,-4,13,15
1092,33,-4,13,15
1093,24,-3,-3,13
1094,24,52030,15,14
1095,26,52030,15,14
1096,15,7124,9,11
1097,30,50600,18,13
1098,32,50600,18,13
1099,16,-3,10,12
1100,19,6488,-3,15
1101,23,10456,9,9
1102,24,10456,9,9
1103,15,7392,-3,9
1104,28,62250,14,14
1105,30,62250,14,14
1106,21,27000,10,12
1107,23,27000,-3,12
1108,22,8140,12,15
1109,18,49000,12,13
1110,27,70000,14,14
1111,31,70000,14,14
1112,28,76500,16,12
1113,27,47500,12,12
1114,29,77200,12,12
1115,23,84500,16,16
1116,27,145392,13,17
1117,28,145392,13,17
1118,24,50000,12,12
1119,28,50000,12,12
1120,32,137750,12,10
1121,26,-3,12,12
1122,29,58500,13,12
1123,33,58500,13,12
1124,18,6190,10,10
1125,19,102001,-4,12
1126,16,-4,12,12
1127,-3,25000,7,12
1128,-3,-3,12,13
1129,21,5300,12,15
1130,22,5300,12,15
1131,28,68000,12,12
1132,31,30000,12,12
1133,29,84300,12,12
1134,31,84300,12,12
1135,27,110000,18,16
1136,24,76320,12,12
1137,27,-3,-4,16
1138,34,-3,20,18
1139,23,86400,13,12
1140,23,62000,20,18
1141,26,55500,12,18
1142,20,30500,12,13
1143,22,30500,12,13
1144,23,30500,12,13
1145,28,38300,12,13
1146,30,38300,12,13
1147,15,37500,12,11
1148,16,37500,12,11
1149,19,37500,12,11
1150,27,5760,14,16
1151,20,35600,12,14
1152,22,43200,3,12
1153,24,43200,3,12
1154,20,74500,-3,12
1155,25,-3,18,14
1156,24,69660,16,12
1157,24,52000,16,14
1158,25,107700,19,17
1159,28,-4,16,14
1160,35,-4,16,16
1161,28,-3,12,12
1162,26,60300,12,14
1163,28,60300,18,12
1164,20,-4,12,12
1165,21,-4,12,12
1166,20,-4,-3,12
1167,22,-3,12,14
1168,24,-3,12,14
1169,26,-3,12,14
1170,27,83400,18,12
1171,30,83400,18,12
1172,26,-4,12,12
1173,29,-4,12,12
1174,25,27000,12,12
1175,21,31000,12,14
1176,23,31000,12,14
1177,23,-4,-4,13
1178,22,60200,16,12
1179,25,-3,16,16
1180,26,-3,16,16
1181,28,43000,13,15
1182,18,16500,11,12
1183,20,16500,11,12
1184,28,60000,12,13
1185,30,60000,12,13
1186,24,81300,12,12
1187,26,81300,12,12
1188,26,81300,12,12
1189,37,68000,16,13
1190,25,32905,16,12
1191,21,61200,12,12
1192,25,32100,-4,11
1193,30,40000,11,12
1194,32,40000,11,12
1195,-3,-4,12,-4
1196,29,-4,12,10
1197,31,-4,12,10
1198,26,49100,-4,12
1199,28,-3,-4,12
1200,19,50000,-4,10
1201,22,50000,-4,10
1202,21,-3,11,12
1203,23,-3,-3,10
1204,26,-3,-3,10
1205,28,-3,-3,15
1206,25,11475,12,13
1207,39,-4,14,12
1208,22,-3,-4,13
1209,26,-3,-3,12
1210,26,-3,-3,12
