originalid,motherage,parentincome,fatherhighgrade,motherhighgrade
1,26,-3,16,8
2,19,-4,17,15
3,26,63000,-3,12
4,33,11700,12,12
5,34,-3,12,12
6,25,-3,-3,12
7,26,-3,-3,12
8,36,-3,6,12
9,37,-3,6,12
10,38,-3,6,12
11,22,25000,12,14
12,22,0,-3,12
13,26,-4,-3,6
14,31,0,12,12
15,21,-4,13,12
16,34,13000,10,11
17,17,3750,-3,14
18,23,0,10,15
19,26,0,10,15
20,23,-3,10,11
21,28,0,11,13
22,-3,-3,12,11
23,32,-3,10,10
24,16,-3,5,7
25,-3,0,12,12
26,21,-3,-3,12
27,26,-3,8,10
28,18,13000,12,12
29,-3,-3,-3,-3
30,31,-3,-3,-3
31,31,-4,12,12
32,25,-4,16,16
33,35,-3,16,14
34,32,9800,9,16
35,21,-4,-3,-3
36,29,40500,16,15
37,18,47500,11,-3
38,19,47500,11,-3
39,28,-3,-3,-3
40,33,-4,12,12
41,31,-4,12,12
42,29,-4,-3,-3
43,26,-3,-4,-3
44,26,0,-3,-3
45,33,-3,-4,8
46,33,-3,-4,8
47,19,5500,-4,11
48,20,5500,-4,11
49,19,-3,-3,12
50,19,-3,-4,12
51,16,3750,-4,12
52,19,3750,-4,12
53,20,-3,12,12
54,31,-3,-4,14
55,33,-3,12,10
56,41,110700,16,18
57,29,0,12,12
58,37,25500,12,12
59,28,22800,-4,16
60,17,56600,-4,14
61,29,-3,12,12
62,24,150000,14,14
63,28,150000,14,14
64,-3,40000,12,15
65,40,-3,-3,95
66,24,-3,12,-3
67,27,-3,12,18
68,-3,-3,12,-4
69,-3,-3,12,16
70,-3,-3,12,16
71,25,26015,14,14
72,25,-4,12,11
73,27,-4,12,11
74,-3,-3,-3,-3
75,-3,-4,8,-3
76,-3,-4,8,-3
77,21,35500,12,12
78,28,-3,-4,-3
79,18,-3,14,11
80,20,30000,14,12
81,32,4810,12,12
82,19,-3,-4,-3
83,23,-3,12,6
84,25,-3,12,6
85,20,12000,12,12
86,27,-3,12,12
87,26,42500,14,12
88,20,-4,12,12
89,15,-4,6,6
90,27,-3,12,16
91,28,-3,12,16
92,27,37600,12,10
93,22,29000,12,8
94,18,17500,12,10
95,33,34738,8,8
96,-3,75500,14,12
97,37,41100,12,12
98,-3,-4,-3,-3
99,25,-3,-4,8
100,30,26000,-3,10
101,31,-3,-4,6
102,25,80000,12,12
103,26,80000,12,12
104,21,75673,16,13
105,24,75673,16,13
106,32,92300,12,16
107,28,135000,19,16
108,30,135000,19,16
109,25,76500,12,12
110,26,76500,12,12
111,-3,63850,-4,-4
112,28,-4,12,12
113,21,66600,12,15
114,24,76716,13,12
115,23,-3,12,12
116,17,31750,12,12
117,17,31750,12,12
118,34,98500,16,12
119,28,246474,12,15
120,34,-4,17,16
121,27,77900,14,14
122,30,77900,14,14
123,26,-4,12,15
124,28,-4,12,15
125,28,-3,18,16
126,26,-4,-4,12
127,24,-4,16,16
128,26,93000,18,16
129,-3,-4,17,-4
130,-3,-4,17,-4
131,31,40200,16,16
132,30,42047,16,16
133,27,51160,16,16
134,26,-4,16,14
135,32,72000,15,18
136,27,-3,14,18
137,23,3400,-4,12
138,30,-3,18,16
139,34,246474,16,18
140,24,48750,14,12
141,31,-3,9,12
142,16,38700,14,10
143,19,123000,14,12
144,22,69500,12,16
145,24,69500,12,16
146,19,47000,12,12
147,39,35000,13,12
148,34,-3,12,6
149,26,-3,11,11
150,27,-3,-3,11
151,18,-3,11,11
152,18,-4,14,12
153,24,-3,13,10
154,29,142700,20,19
155,26,-3,18,14
156,29,-3,18,14
157,26,72000,12,12
158,30,47000,-3,16
159,17,21,10,12
160,-3,5856,10,9
161,17,5856,10,9
162,21,40000,-4,-3
163,22,40000,-4,-3
164,26,49000,12,12
165,27,-4,12,13
166,29,-4,12,13
167,16,87000,12,8
168,23,-3,12,13
169,30,30000,20,12
170,32,30000,20,12
171,26,54000,11,12
172,33,119750,18,16
173,29,104500,18,16
174,31,104500,18,16
175,33,-3,18,16
176,26,-3,18,13
177,29,52425,12,16
178,23,-3,18,12
179,25,-3,18,12
180,27,-3,18,12
181,26,111750,20,18
182,28,111750,20,18
183,38,138750,20,16
184,52,60000,16,14
185,26,92500,12,12
186,33,-4,-3,-3
187,24,75500,14,12
188,21,26000,12,12
189,33,-4,-4,12
190,34,-3,12,16
191,-3,80500,-4,-4
192,36,3070,16,15
193,21,35820,10,12
194,27,43000,-3,14
195,29,40100,-3,14
196,40,-3,14,19
197,30,-3,17,14
198,19,-4,12,11
199,35,115900,16,17
200,21,-3,12,15
201,23,80300,18,18
202,-3,-4,12,12
203,-3,-4,12,12
204,-3,41000,14,15
205,28,41000,14,15
206,25,17500,10,10
207,25,75500,8,12
208,28,75500,8,12
209,28,36000,8,8
210,-3,36000,8,8
211,35,-3,4,4
212,27,17900,8,12
213,30,17900,8,12
214,19,37400,16,12
215,28,-3,12,12
216,21,71900,6,11
217,35,-4,12,8
218,28,-4,12,16
219,40,141400,15,18
220,34,48400,14,12
221,26,107700,18,14
222,-3,35000,12,9
223,-3,35000,12,9
224,30,57000,12,12
225,26,-3,12,14
226,20,2500,-3,9
227,15,6014,-4,-3
228,26,-3,15,15
229,34,140,-4,16
230,25,-3,12,12
231,17,-4,12,11
232,36,60,12,12
233,23,36,7,13
234,25,-4,14,11
235,21,4500,15,10
236,25,35,12,15
237,32,-3,13,14
238,29,-4,-4,-3
239,-3,246474,18,18
240,-3,246474,18,18
241,23,78000,16,18
242,25,78000,16,18
243,26,-3,12,12
244,22,26000,12,12
245,-3,-4,-3,-3
246,-3,-3,15,-4
247,24,24850,13,13
248,26,24850,13,13
249,23,-4,12,14
250,26,94250,12,13
251,29,37500,14,11
252,32,37500,14,11
253,27,-4,-3,-3
254,30,-3,16,18
255,32,-3,16,18
256,22,43000,-3,-3
257,26,43000,-3,-3
258,37,-4,14,12
259,-3,-3,-3,-3
260,21,-4,-4,14
261,20,-3,-4,12
262,21,-4,-4,8
263,23,-4,-4,8
264,29,-4,-3,-3
265,23,19000,6,6
266,24,54800,12,12
267,31,32010,12,13
268,26,71100,11,11
269,30,82500,12,16
270,32,82500,12,16
271,29,65400,12,12
272,28,-3,6,7
273,17,-4,12,12
274,19,24,5,5
275,39,-3,5,1
276,20,24,5,5
277,22,24,5,5
278,27,62040,16,14
279,27,246474,18,16
280,30,246474,18,16
281,30,3750,-3,11
282,32,-3,12,14
283,36,-3,12,14
284,20,-3,10,12
285,23,-3,9,11
286,29,-4,14,12
287,22,-3,12,12
288,25,-3,12,12
289,26,-3,12,12
290,31,70000,12,14
291,30,57200,12,12
292,24,29400,12,14
293,24,72000,12,12
294,23,-4,12,12
295,20,100500,-3,8
296,25,45000,14,11
297,28,45000,14,11
298,35,63000,16,18
299,34,-3,12,12
300,23,-3,12,13
301,21,34800,18,12
302,27,-3,12,14
303,-3,-3,-3,13
304,24,-3,-3,-3
305,28,-3,16,16
306,-3,-3,-4,-4
307,-3,-3,-4,-4
308,-3,-3,-4,-4
309,-3,-3,-4,-4
310,-3,-3,-4,-4
311,-3,-4,-4,-4
312,-3,-4,-4,-4
313,23,246474,16,12
314,27,246474,16,12
315,27,135500,16,16
316,19,-3,14,14
317,23,-4,-3,-3
318,23,-3,-3,12
319,26,80000,16,14
320,38,40000,13,18
321,37,-4,12,12
322,25,28000,12,13
323,23,102000,15,14
324,30,-4,16,12
325,30,-4,12,13
326,36,-3,14,12
327,27,-4,18,14
328,25,45000,12,12
329,23,-4,14,12
330,34,-4,14,14
331,25,-3,12,12
332,-3,-3,-3,-4
333,-3,-3,-3,-4
334,36,162000,-3,20
335,25,-4,12,12
336,26,-3,16,18
337,31,150500,16,16
338,31,246474,20,18
339,27,22000,11,10
340,30,17930,9,11
341,32,-4,9,11
342,-3,-4,16,-4
343,-3,-4,16,-4
344,-3,-4,16,-4
345,-3,-4,16,-4
346,15,0,10,12
347,17,-3,6,6
348,19,-3,6,6
349,-3,-3,6,6
350,40,42250,-3,-3
351,21,17500,10,10
352,21,17500,10,10
353,22,17500,10,10
354,31,2000,11,11
355,29,2000,11,11
356,22,17500,11,10
357,31,21000,6,6
358,32,21000,6,6
359,32,21000,6,6
360,33,-4,-3,10
361,-3,24000,-4,-4
362,29,38500,4,4
363,31,38500,4,4
364,22,15000,-3,3
365,21,29046,11,12
366,29,-4,9,8
367,30,-4,9,8
368,39,-3,3,6
369,43,-3,3,6
370,-3,67964,12,-3
371,-3,67964,12,-3
372,18,-4,12,10
373,19,6000,12,10
374,25,36214,-4,14
375,22,-3,12,14
376,38,40000,9,12
377,18,-3,12,11
378,34,70000,16,13
379,27,91000,16,16
380,22,0,-4,12
381,25,0,14,14
382,25,-3,14,14
383,29,0,16,14
384,19,37000,11,12
385,20,43000,6,8
386,36,-3,-4,-3
387,38,-3,-4,-3
388,28,-4,-4,5
389,30,80500,14,14
390,36,17500,16,15
391,25,-4,6,6
392,23,-3,14,18
393,25,-4,12,14
394,24,-4,16,14
395,26,70000,-3,14
396,36,75500,-3,-3
397,-3,100000,14,14
398,30,-4,12,-3
399,23,40000,-3,12
400,25,40000,-3,12
401,-3,85500,13,-4
402,26,-4,-3,12
403,35,-3,11,14
404,19,67200,14,14
405,21,67200,14,14
406,23,67200,14,14
407,25,3350,-4,-3
408,-3,-3,-4,-3
409,26,-3,-3,-3
410,-3,-3,-4,-3
411,33,-4,-3,-3
412,35,-4,-3,-3
413,19,-4,-4,13
414,24,3000,11,11
415,33,150000,14,12
416,37,-3,17,16
417,28,246474,16,14
418,28,132600,13,13
419,45,-3,16,14
420,29,-3,20,17
421,-3,43000,-3,16
422,35,103000,20,15
423,24,103000,-3,12
424,31,71700,17,17
425,26,98000,16,12
426,23,12000,5,-3
427,25,36000,6,-3
428,28,-4,6,-3
429,20,600,11,12
430,34,53000,14,16
431,26,0,12,15
432,19,29000,-3,16
433,23,29000,-3,16
434,30,246474,16,12
435,36,12500,6,14
436,24,0,6,6
437,25,17500,-3,-3
438,26,17500,-3,-3
439,28,17500,-3,-3
440,26,4000,9,95
441,27,4000,9,95
442,18,-4,-3,12
443,27,15000,-3,12
444,28,15000,-3,12
445,30,-4,-4,-3
446,19,-4,-4,-3
447,22,-3,12,12
448,22,-3,12,12
449,20,15000,12,11
450,25,14000,6,6
451,28,14000,6,6
452,18,19500,-3,-3
453,20,19500,-3,-3
454,30,8400,-3,6
455,31,45000,-3,-3
456,20,-3,3,12
457,-3,-4,6,-4
458,25,-4,6,6
459,37,-3,12,6
460,16,-3,6,9
461,-3,-3,6,9
462,-3,-3,-3,-3
463,-3,-3,-3,-3
464,17,-3,7,8
465,20,-3,7,8
466,20,-4,-3,4
