originalid,year,weeksworked
8245,2000,46.0
3962,2000,5.0
3571,2000,5.0
2979,2000,29.0
8511,2000,53.0
5191,2000,51.0
7593,2000,49.0
5512,2000,49.0
6668,2000,53.0
4809,2000,0.0
5792,2000,0.0
7685,2000,51.0
8539,2000,0.0
6239,2000,20.0
8624,2000,53.0
3906,2000,0.0
423,2000,0.0
17,2000,44.0
1881,2000,27.0
2105,2000,36.0
2073,2000,0.0
3835,2000,49.0
8825,2000,21.0
3370,2000,53.0
5744,2000,48.0
3954,2000,18.0
4529,2000,28.0
8942,2000,0.0
581,2000,53.0
2961,2000,53.0
8409,2000,0.0
6702,2000,53.0
5054,2000,53.0
5105,2000,20.0
8274,2000,0.0
8746,2000,53.0
7395,2000,24.0
2251,2000,0.0
6133,2000,12.0
2865,2000,32.0
8695,2000,30.0
1953,2000,0.0
7458,2000,34.0
3582,2000,32.0
5970,2000,53.0
2033,2000,0.0
6287,2000,29.0
1722,2000,40.0
8717,2000,39.0
6147,2000,0.0
4575,2000,53.0
7275,2000,0.0
541,2000,45.0
4129,2000,39.0
569,2000,53.0
3538,2000,53.0
7915,2000,0.0
8408,2000,35.0
5690,2000,2.0
1437,2000,53.0
5545,2000,51.0
3552,2000,49.0
1230,2000,15.0
4775,2000,20.0
4878,2000,53.0
5447,2000,41.0
5557,2000,48.0
397,2000,1.0
8966,2000,53.0
7660,2000,0.0
2699,2000,28.0
1120,2000,19.0
6210,2000,8.0
4607,2000,12.0
2195,2000,0.0
2229,2000,0.0
3609,2000,22.0
1103,2000,0.0
3847,2000,20.0
6762,2000,9.0
5774,2000,0.0
4936,2000,0.0
2104,2000,24.0
190,2000,0.0
1067,2000,38.0
6281,2000,36.0
3751,2000,15.0
4446,2000,0.0
8640,2000,23.0
1117,2000,10.0
3784,2000,53.0
6932,2000,21.0
8596,2000,25.0
4325,2000,0.0
6043,2000,52.0
8812,2000,53.0
5370,2000,53.0
7512,2000,53.0
5614,2000,0.0
5262,2000,53.0
4562,2000,0.0
6619,2000,9.0
6259,2000,52.0
1191,2000,41.0
1385,2000,5.0
3605,2000,
8316,2000,48.0
1486,2000,20.0
1701,2000,0.0
8697,2000,32.0
4914,2000,0.0
1836,2000,33.0
2443,2000,15.0
7999,2000,0.0
4395,2000,0.0
3317,2000,28.0
1160,2000,53.0
5616,2000,10.0
7656,2000,53.0
1237,2000,
2845,2000,49.0
6088,2000,8.0
6646,2000,0.0
7858,2000,0.0
3051,2000,0.0
2654,2000,7.0
8601,2000,27.0
2406,2000,23.0
1644,2000,45.0
8163,2000,51.0
5528,2000,
8342,2000,0.0
3196,2000,17.0
7071,2000,0.0
4725,2000,53.0
8720,2000,34.0
8044,2000,53.0
3411,2000,36.0
5775,2000,0.0
7314,2000,49.0
8205,2000,8.0
6573,2000,11.0
2375,2000,12.0
3155,2000,10.0
6416,2000,15.0
4741,2000,9.0
2762,2000,53.0
1830,2000,32.0
7564,2000,14.0
3428,2000,0.0
2972,2000,49.0
1713,2000,0.0
1556,2000,0.0
2669,2000,42.0
3669,2000,19.0
3093,2000,50.0
5631,2000,12.0
6021,2000,18.0
8045,2000,53.0
8663,2000,53.0
5194,2000,53.0
7850,2000,10.0
8457,2000,46.0
6030,2000,46.0
7653,2000,31.0
3059,2000,17.0
6383,2000,2.0
7981,2000,12.0
6387,2000,30.0
1981,2000,5.0
1522,2000,17.0
7812,2000,27.0
3973,2000,53.0
3584,2000,33.0
1597,2000,
5762,2000,0.0
4991,2000,20.0
8060,2000,5.0
4905,2000,7.0
7259,2000,27.0
2272,2000,52.0
1563,2000,34.0
4150,2000,53.0
3662,2000,9.0
6754,2000,30.0
4754,2000,33.0
976,2000,53.0
