originalid,year,colenr
8245,2000,1. Not enrolled
3962,2000,1. Not enrolled
3571,2000,1. Not enrolled
2979,2000,3. 4-year college
8511,2000,1. Not enrolled
5191,2000,1. Not enrolled
7593,2000,1. Not enrolled
5512,2000,1. Not enrolled
6668,2000,1. Not enrolled
4809,2000,1. Not enrolled
5792,2000,1. Not enrolled
7685,2000,3. 4-year college
8539,2000,1. Not enrolled
6239,2000,1. Not enrolled
8624,2000,1. Not enrolled
3906,2000,1. Not enrolled
423,2000,1. Not enrolled
17,2000,1. Not enrolled
1881,2000,1. Not enrolled
2105,2000,1. Not enrolled
2073,2000,3. 4-year college
3835,2000,1. Not enrolled
8825,2000,1. Not enrolled
3370,2000,3. 4-year college
5744,2000,1. Not enrolled
3954,2000,1. Not enrolled
4529,2000,1. Not enrolled
8942,2000,1. Not enrolled
581,2000,1. Not enrolled
2961,2000,1. Not enrolled
8409,2000,1. Not enrolled
6702,2000,1. Not enrolled
5054,2000,2. 2-year college 
5105,2000,1. Not enrolled
8274,2000,1. Not enrolled
8746,2000,1. Not enrolled
7395,2000,1. Not enrolled
2251,2000,1. Not enrolled
6133,2000,1. Not enrolled
2865,2000,1. Not enrolled
8695,2000,1. Not enrolled
1953,2000,1. Not enrolled
7458,2000,1. Not enrolled
3582,2000,1. Not enrolled
5970,2000,1. Not enrolled
2033,2000,1. Not enrolled
6287,2000,1. Not enrolled
1722,2000,1. Not enrolled
8717,2000,1. Not enrolled
6147,2000,1. Not enrolled
4575,2000,1. Not enrolled
7275,2000,1. Not enrolled
541,2000,1. Not enrolled
4129,2000,1. Not enrolled
569,2000,1. Not enrolled
3538,2000,1. Not enrolled
7915,2000,1. Not enrolled
8408,2000,1. Not enrolled
5690,2000,1. Not enrolled
1437,2000,1. Not enrolled
5545,2000,1. Not enrolled
3552,2000,1. Not enrolled
1230,2000,1. Not enrolled
4775,2000,1. Not enrolled
4878,2000,3. 4-year college
5447,2000,1. Not enrolled
5557,2000,1. Not enrolled
397,2000,1. Not enrolled
8966,2000,2. 2-year college 
7660,2000,1. Not enrolled
2699,2000,3. 4-year college
1120,2000,3. 4-year college
6210,2000,1. Not enrolled
4607,2000,1. Not enrolled
2195,2000,1. Not enrolled
2229,2000,1. Not enrolled
3609,2000,1. Not enrolled
1103,2000,1. Not enrolled
3847,2000,1. Not enrolled
6762,2000,1. Not enrolled
5774,2000,1. Not enrolled
4936,2000,1. Not enrolled
2104,2000,1. Not enrolled
190,2000,1. Not enrolled
1067,2000,1. Not enrolled
6281,2000,1. Not enrolled
3751,2000,1. Not enrolled
4446,2000,3. 4-year college
8640,2000,1. Not enrolled
1117,2000,1. Not enrolled
3784,2000,1. Not enrolled
6932,2000,1. Not enrolled
8596,2000,1. Not enrolled
4325,2000,1. Not enrolled
6043,2000,2. 2-year college 
8812,2000,2. 2-year college 
5370,2000,1. Not enrolled
7512,2000,1. Not enrolled
5614,2000,1. Not enrolled
5262,2000,1. Not enrolled
4562,2000,1. Not enrolled
6619,2000,1. Not enrolled
6259,2000,1. Not enrolled
1191,2000,1. Not enrolled
1385,2000,1. Not enrolled
3605,2000,
8316,2000,2. 2-year college 
1486,2000,1. Not enrolled
1701,2000,1. Not enrolled
8697,2000,1. Not enrolled
4914,2000,1. Not enrolled
1836,2000,3. 4-year college
2443,2000,1. Not enrolled
7999,2000,1. Not enrolled
4395,2000,1. Not enrolled
3317,2000,1. Not enrolled
1160,2000,3. 4-year college
5616,2000,1. Not enrolled
7656,2000,1. Not enrolled
1237,2000,1. Not enrolled
2845,2000,1. Not enrolled
6088,2000,1. Not enrolled
6646,2000,1. Not enrolled
7858,2000,1. Not enrolled
3051,2000,1. Not enrolled
2654,2000,1. Not enrolled
8601,2000,1. Not enrolled
2406,2000,1. Not enrolled
1644,2000,3. 4-year college
8163,2000,1. Not enrolled
5528,2000,3. 4-year college
8342,2000,1. Not enrolled
3196,2000,3. 4-year college
7071,2000,1. Not enrolled
4725,2000,1. Not enrolled
8720,2000,1. Not enrolled
8044,2000,2. 2-year college 
3411,2000,3. 4-year college
5775,2000,1. Not enrolled
7314,2000,1. Not enrolled
8205,2000,1. Not enrolled
6573,2000,1. Not enrolled
2375,2000,1. Not enrolled
3155,2000,3. 4-year college
6416,2000,1. Not enrolled
4741,2000,1. Not enrolled
2762,2000,3. 4-year college
1830,2000,3. 4-year college
7564,2000,1. Not enrolled
3428,2000,1. Not enrolled
2972,2000,1. Not enrolled
1713,2000,1. Not enrolled
1556,2000,1. Not enrolled
2669,2000,3. 4-year college
3669,2000,1. Not enrolled
3093,2000,2. 2-year college 
5631,2000,1. Not enrolled
6021,2000,1. Not enrolled
8045,2000,1. Not enrolled
8663,2000,1. Not enrolled
5194,2000,3. 4-year college
7850,2000,1. Not enrolled
8457,2000,1. Not enrolled
6030,2000,1. Not enrolled
7653,2000,2. 2-year college 
3059,2000,1. Not enrolled
6383,2000,1. Not enrolled
7981,2000,1. Not enrolled
6387,2000,1. Not enrolled
1981,2000,1. Not enrolled
1522,2000,3. 4-year college
7812,2000,1. Not enrolled
3973,2000,1. Not enrolled
3584,2000,1. Not enrolled
1597,2000,1. Not enrolled
5762,2000,1. Not enrolled
4991,2000,1. Not enrolled
8060,2000,1. Not enrolled
4905,2000,1. Not enrolled
7259,2000,1. Not enrolled
2272,2000,1. Not enrolled
1563,2000,1. Not enrolled
4150,2000,1. Not enrolled
3662,2000,1. Not enrolled
6754,2000,1. Not enrolled
4754,2000,3. 4-year college
976,2000,2. 2-year college 
1645,2000,3. 4-year college
2439,2000,1. Not enrolled
4919,2000,1. Not enrolled
5373,2000,1. Not enrolled
7912,2000,1. Not enrolled
1574,2000,1. Not enrolled
3870,2000,1. Not enrolled
4459,2000,3. 4-year college
6219,2000,1. Not enrolled
2655,2000,1. Not enrolled
8059,2000,1. Not enrolled
7892,2000,1. Not enrolled
4266,2000,1. Not enrolled
2964,2000,1. Not enrolled
8464,2000,1. Not enrolled
885,2000,1. Not enrolled
548,2000,2. 2-year college 
7388,2000,1. Not enrolled
1454,2000,3. 4-year college
7852,2000,1. Not enrolled
4913,2000,1. Not enrolled
3038,2000,3. 4-year college
2113,2000,1. Not enrolled
6732,2000,1. Not enrolled
8826,2000,1. Not enrolled
8067,2000,1. Not enrolled
4732,2000,1. Not enrolled
2215,2000,1. Not enrolled
6593,2000,1. Not enrolled
4330,2000,1. Not enrolled
8735,2000,1. Not enrolled
7632,2000,1. Not enrolled
1769,2000,3. 4-year college
5354,2000,1. Not enrolled
3056,2000,1. Not enrolled
