originalid,year,colenr
5289,2000,1. Not enrolled
593,2000,1. Not enrolled
4268,2000,1. Not enrolled
8385,2000,1. Not enrolled
5091,2000,1. Not enrolled
8109,2000,1. Not enrolled
3397,2000,1. Not enrolled
7173,2000,1. Not enrolled
5816,2000,1. Not enrolled
3889,2000,1. Not enrolled
4242,2000,1. Not enrolled
6996,2000,1. Not enrolled
718,2000,1. Not enrolled
8925,2000,1. Not enrolled
2862,2000,1. Not enrolled
5952,2000,3. 4-year college
5206,2000,1. Not enrolled
6372,2000,1. Not enrolled
2182,2000,3. 4-year college
8650,2000,1. Not enrolled
8194,2000,3. 4-year college
3012,2000,1. Not enrolled
2589,2000,1. Not enrolled
1114,2000,1. Not enrolled
4673,2000,1. Not enrolled
3123,2000,1. Not enrolled
8791,2000,1. Not enrolled
689,2000,1. Not enrolled
4974,2000,1. Not enrolled
5580,2000,3. 4-year college
3406,2000,1. Not enrolled
8261,2000,3. 4-year college
4341,2000,1. Not enrolled
102,2000,1. Not enrolled
4477,2000,1. Not enrolled
7992,2000,3. 4-year college
4664,2000,1. Not enrolled
900,2000,1. Not enrolled
5235,2000,3. 4-year college
7159,2000,1. Not enrolled
2536,2000,1. Not enrolled
8617,2000,1. Not enrolled
6571,2000,1. Not enrolled
1393,2000,1. Not enrolled
6787,2000,1. Not enrolled
7854,2000,3. 4-year college
3864,2000,1. Not enrolled
184,2000,1. Not enrolled
2592,2000,3. 4-year college
8736,2000,1. Not enrolled
8378,2000,1. Not enrolled
3209,2000,1. Not enrolled
4097,2000,3. 4-year college
3651,2000,1. Not enrolled
8257,2000,1. Not enrolled
2098,2000,1. Not enrolled
3817,2000,1. Not enrolled
3251,2000,1. Not enrolled
4017,2000,1. Not enrolled
2045,2000,1. Not enrolled
4217,2000,1. Not enrolled
3713,2000,2. 2-year college 
5483,2000,1. Not enrolled
4604,2000,1. Not enrolled
3216,2000,3. 4-year college
7243,2000,1. Not enrolled
3829,2000,1. Not enrolled
1129,2000,1. Not enrolled
3022,2000,1. Not enrolled
7116,2000,1. Not enrolled
5889,2000,1. Not enrolled
6844,2000,1. Not enrolled
6574,2000,1. Not enrolled
6583,2000,1. Not enrolled
4283,2000,1. Not enrolled
2097,2000,1. Not enrolled
4151,2000,1. Not enrolled
7264,2000,1. Not enrolled
3904,2000,1. Not enrolled
8249,2000,3. 4-year college
228,2000,1. Not enrolled
5210,2000,2. 2-year college 
8792,2000,1. Not enrolled
4833,2000,1. Not enrolled
1395,2000,1. Not enrolled
1591,2000,1. Not enrolled
2898,2000,1. Not enrolled
2475,2000,1. Not enrolled
8003,2000,1. Not enrolled
6700,2000,1. Not enrolled
1928,2000,1. Not enrolled
455,2000,1. Not enrolled
5754,2000,1. Not enrolled
4162,2000,1. Not enrolled
4746,2000,1. Not enrolled
6968,2000,3. 4-year college
4806,2000,1. Not enrolled
86,2000,2. 2-year college 
5406,2000,1. Not enrolled
6748,2000,1. Not enrolled
1398,2000,1. Not enrolled
8187,2000,1. Not enrolled
362,2000,1. Not enrolled
105,2000,1. Not enrolled
8522,2000,1. Not enrolled
3063,2000,1. Not enrolled
3018,2000,1. Not enrolled
7358,2000,1. Not enrolled
2400,2000,2. 2-year college 
943,2000,1. Not enrolled
1310,2000,1. Not enrolled
7624,2000,1. Not enrolled
401,2000,1. Not enrolled
1344,2000,1. Not enrolled
4671,2000,1. Not enrolled
6345,2000,3. 4-year college
5428,2000,1. Not enrolled
296,2000,1. Not enrolled
5080,2000,1. Not enrolled
563,2000,1. Not enrolled
4827,2000,3. 4-year college
3084,2000,3. 4-year college
1655,2000,3. 4-year college
2717,2000,1. Not enrolled
887,2000,1. Not enrolled
7961,2000,1. Not enrolled
4363,2000,1. Not enrolled
7394,2000,1. Not enrolled
6598,2000,1. Not enrolled
6510,2000,1. Not enrolled
8835,2000,1. Not enrolled
2625,2000,3. 4-year college
6965,2000,1. Not enrolled
252,2000,1. Not enrolled
6062,2000,1. Not enrolled
8127,2000,1. Not enrolled
3092,2000,1. Not enrolled
879,2000,2. 2-year college 
4336,2000,1. Not enrolled
3947,2000,1. Not enrolled
1285,2000,3. 4-year college
6570,2000,1. Not enrolled
2026,2000,1. Not enrolled
614,2000,1. Not enrolled
3019,2000,1. Not enrolled
6148,2000,1. Not enrolled
5258,2000,1. Not enrolled
6803,2000,1. Not enrolled
1851,2000,2. 2-year college 
510,2000,1. Not enrolled
7165,2000,1. Not enrolled
1111,2000,1. Not enrolled
3118,2000,1. Not enrolled
1405,2000,1. Not enrolled
2216,2000,
1,2000,3. 4-year college
5331,2000,1. Not enrolled
2571,2000,1. Not enrolled
4106,2000,1. Not enrolled
51,2000,3. 4-year college
1277,2000,2. 2-year college 
5701,2000,1. Not enrolled
4323,2000,1. Not enrolled
2354,2000,1. Not enrolled
8756,2000,2. 2-year college 
4326,2000,1. Not enrolled
4061,2000,1. Not enrolled
7365,2000,3. 4-year college
7544,2000,1. Not enrolled
4997,2000,1. Not enrolled
8139,2000,1. Not enrolled
1106,2000,1. Not enrolled
1756,2000,
3789,2000,1. Not enrolled
4116,2000,2. 2-year college 
7712,2000,1. Not enrolled
5063,2000,1. Not enrolled
4651,2000,1. Not enrolled
2691,2000,1. Not enrolled
8991,2000,3. 4-year college
5600,2000,1. Not enrolled
3888,2000,1. Not enrolled
4984,2000,1. Not enrolled
7778,2000,3. 4-year college
448,2000,1. Not enrolled
2078,2000,1. Not enrolled
4700,2000,1. Not enrolled
7860,2000,1. Not enrolled
20,2000,1. Not enrolled
5222,2000,2. 2-year college 
7557,2000,1. Not enrolled
4560,2000,1. Not enrolled
5037,2000,3. 4-year college
2454,2000,1. Not enrolled
6419,2000,1. Not enrolled
4444,2000,1. Not enrolled
543,2000,1. Not enrolled
4333,2000,1. Not enrolled
4902,2000,1. Not enrolled
6993,2000,1. Not enrolled
1967,2000,1. Not enrolled
3270,2000,1. Not enrolled
2614,2000,1. Not enrolled
3028,2000,1. Not enrolled
2197,2000,1. Not enrolled
2446,2000,1. Not enrolled
8244,2000,1. Not enrolled
7533,2000,1. Not enrolled
7857,2000,1. Not enrolled
1800,2000,1. Not enrolled
620,2000,1. Not enrolled
2564,2000,1. Not enrolled
37,2000,3. 4-year college
8086,2000,3. 4-year college
1670,2000,3. 4-year college
8239,2000,1. Not enrolled
7659,2000,1. Not enrolled
5913,2000,3. 4-year college
5295,2000,1. Not enrolled
6157,2000,1. Not enrolled
2624,2000,3. 4-year college
6165,2000,1. Not enrolled
4351,2000,1. Not enrolled
5335,2000,
422,2000,2. 2-year college 
3659,2000,3. 4-year college
7926,2000,1. Not enrolled
4426,2000,1. Not enrolled
8283,2000,1. Not enrolled
1245,2000,3. 4-year college
1938,2000,1. Not enrolled
1783,2000,2. 2-year college 
5215,2000,1. Not enrolled
4918,2000,2. 2-year college 
221,2000,1. Not enrolled
479,2000,1. Not enrolled
8618,2000,1. Not enrolled
6487,2000,1. Not enrolled
1546,2000,1. Not enrolled
2558,2000,3. 4-year college
3509,2000,1. Not enrolled
5283,2000,1. Not enrolled
8495,2000,1. Not enrolled
4173,2000,1. Not enrolled
8896,2000,1. Not enrolled
7515,2000,1. Not enrolled
4358,2000,1. Not enrolled
5316,2000,2. 2-year college 
3574,2000,1. Not enrolled
5006,2000,1. Not enrolled
4831,2000,1. Not enrolled
8526,2000,1. Not enrolled
5071,2000,1. Not enrolled
6107,2000,1. Not enrolled
8168,2000,1. Not enrolled
8458,2000,1. Not enrolled
6848,2000,2. 2-year college 
2787,2000,3. 4-year college
3481,2000,2. 2-year college 
7317,2000,1. Not enrolled
72,2000,1. Not enrolled
7013,2000,1. Not enrolled
3419,2000,1. Not enrolled
2783,2000,3. 4-year college
1826,2000,3. 4-year college
2379,2000,1. Not enrolled
8589,2000,1. Not enrolled
1821,2000,3. 4-year college
1349,2000,1. Not enrolled
2742,2000,1. Not enrolled
99,2000,1. Not enrolled
5407,2000,1. Not enrolled
8482,2000,2. 2-year college 
5943,2000,1. Not enrolled
4492,2000,1. Not enrolled
7895,2000,1. Not enrolled
7008,2000,1. Not enrolled
1566,2000,1. Not enrolled
8126,2000,1. Not enrolled
3102,2000,1. Not enrolled
2306,2000,1. Not enrolled
5991,2000,1. Not enrolled
3479,2000,1. Not enrolled
7419,2000,1. Not enrolled
5106,2000,3. 4-year college
2036,2000,1. Not enrolled
5427,2000,1. Not enrolled
2580,2000,3. 4-year college
6976,2000,1. Not enrolled
6650,2000,1. Not enrolled
588,2000,1. Not enrolled
697,2000,1. Not enrolled
90,2000,1. Not enrolled
7055,2000,2. 2-year college 
6257,2000,1. Not enrolled
6985,2000,1. Not enrolled
7696,2000,3. 4-year college
347,2000,1. Not enrolled
348,2000,1. Not enrolled
4385,2000,1. Not enrolled
1006,2000,1. Not enrolled
8079,2000,1. Not enrolled
3225,2000,1. Not enrolled
1637,2000,1. Not enrolled
2027,2000,3. 4-year college
7064,2000,3. 4-year college
2912,2000,1. Not enrolled
2598,2000,1. Not enrolled
7889,2000,1. Not enrolled
8582,2000,1. Not enrolled
2733,2000,1. Not enrolled
8195,2000,1. Not enrolled
7595,2000,1. Not enrolled
3325,2000,3. 4-year college
8548,2000,1. Not enrolled
5900,2000,1. Not enrolled
2586,2000,1. Not enrolled
3,2000,1. Not enrolled
892,2000,1. Not enrolled
2048,2000,3. 4-year college
282,2000,1. Not enrolled
312,2000,3. 4-year college
625,2000,1. Not enrolled
5751,2000,1. Not enrolled
8958,2000,
5458,2000,1. Not enrolled
2778,2000,1. Not enrolled
1718,2000,1. Not enrolled
843,2000,1. Not enrolled
6229,2000,2. 2-year college 
7636,2000,1. Not enrolled
837,2000,1. Not enrolled
5667,2000,
8173,2000,1. Not enrolled
87,2000,1. Not enrolled
8306,2000,1. Not enrolled
3339,2000,1. Not enrolled
1662,2000,1. Not enrolled
4929,2000,1. Not enrolled
1551,2000,3. 4-year college
6989,2000,1. Not enrolled
923,2000,3. 4-year college
2211,2000,1. Not enrolled
6730,2000,1. Not enrolled
2510,2000,1. Not enrolled
6354,2000,3. 4-year college
5820,2000,1. Not enrolled
3738,2000,1. Not enrolled
3161,2000,2. 2-year college 
5233,2000,1. Not enrolled
256,2000,1. Not enrolled
2175,2000,1. Not enrolled
5785,2000,1. Not enrolled
271,2000,1. Not enrolled
5965,2000,1. Not enrolled
5882,2000,1. Not enrolled
5808,2000,1. Not enrolled
764,2000,1. Not enrolled
6194,2000,1. Not enrolled
3963,2000,3. 4-year college
2361,2000,1. Not enrolled
6760,2000,1. Not enrolled
1301,2000,1. Not enrolled
7594,2000,1. Not enrolled
1163,2000,1. Not enrolled
1527,2000,1. Not enrolled
4080,2000,1. Not enrolled
4540,2000,1. Not enrolled
8220,2000,1. Not enrolled
4556,2000,1. Not enrolled
567,2000,1. Not enrolled
5733,2000,1. Not enrolled
7372,2000,1. Not enrolled
5624,2000,1. Not enrolled
8095,2000,1. Not enrolled
2535,2000,1. Not enrolled
5117,2000,1. Not enrolled
2725,2000,3. 4-year college
5120,2000,1. Not enrolled
6076,2000,3. 4-year college
4932,2000,1. Not enrolled
39,2000,3. 4-year college
3269,2000,1. Not enrolled
6774,2000,1. Not enrolled
2501,2000,1. Not enrolled
7816,2000,1. Not enrolled
874,2000,1. Not enrolled
3668,2000,1. Not enrolled
1151,2000,1. Not enrolled
7342,2000,1. Not enrolled
8021,2000,3. 4-year college
7537,2000,1. Not enrolled
8120,2000,1. Not enrolled
1268,2000,1. Not enrolled
8762,2000,3. 4-year college
7108,2000,1. Not enrolled
407,2000,1. Not enrolled
1587,2000,1. Not enrolled
1102,2000,1. Not enrolled
7505,2000,1. Not enrolled
5877,2000,1. Not enrolled
1724,2000,1. Not enrolled
5126,2000,1. Not enrolled
2183,2000,1. Not enrolled
2221,2000,
2590,2000,1. Not enrolled
7682,2000,1. Not enrolled
975,2000,2. 2-year college 
2278,2000,1. Not enrolled
5257,2000,1. Not enrolled
8393,2000,1. Not enrolled
2708,2000,1. Not enrolled
6493,2000,1. Not enrolled
6060,2000,1. Not enrolled
313,2000,3. 4-year college
644,2000,1. Not enrolled
8354,2000,3. 4-year college
8180,2000,1. Not enrolled
4674,2000,1. Not enrolled
8099,2000,1. Not enrolled
6595,2000,1. Not enrolled
5669,2000,1. Not enrolled
4056,2000,1. Not enrolled
3297,2000,1. Not enrolled
2615,2000,3. 4-year college
8972,2000,1. Not enrolled
4279,2000,3. 4-year college
2632,2000,1. Not enrolled
1331,2000,1. Not enrolled
974,2000,1. Not enrolled
647,2000,1. Not enrolled
8947,2000,3. 4-year college
2578,2000,
7481,2000,1. Not enrolled
5326,2000,1. Not enrolled
8570,2000,1. Not enrolled
4713,2000,1. Not enrolled
4789,2000,3. 4-year college
5183,2000,3. 4-year college
5743,2000,3. 4-year college
3523,2000,3. 4-year college
8336,2000,1. Not enrolled
7156,2000,1. Not enrolled
2738,2000,1. Not enrolled
1424,2000,1. Not enrolled
4218,2000,1. Not enrolled
621,2000,1. Not enrolled
6994,2000,1. Not enrolled
3595,2000,1. Not enrolled
5752,2000,1. Not enrolled
2716,2000,1. Not enrolled
596,2000,1. Not enrolled
6506,2000,1. Not enrolled
533,2000,1. Not enrolled
6202,2000,1. Not enrolled
7377,2000,1. Not enrolled
1859,2000,1. Not enrolled
6269,2000,1. Not enrolled
3446,2000,3. 4-year college
5649,2000,2. 2-year college 
3228,2000,1. Not enrolled
6098,2000,1. Not enrolled
5594,2000,1. Not enrolled
3998,2000,1. Not enrolled
2294,2000,2. 2-year college 
3171,2000,1. Not enrolled
7233,2000,1. Not enrolled
5421,2000,2. 2-year college 
4788,2000,3. 4-year college
162,2000,1. Not enrolled
2132,2000,1. Not enrolled
3178,2000,1. Not enrolled
4779,2000,1. Not enrolled
955,2000,1. Not enrolled
7669,2000,3. 4-year college
3398,2000,1. Not enrolled
5797,2000,1. Not enrolled
5138,2000,3. 4-year college
824,2000,1. Not enrolled
8877,2000,3. 4-year college
8068,2000,3. 4-year college
3919,2000,1. Not enrolled
964,2000,2. 2-year college 
2585,2000,3. 4-year college
2712,2000,1. Not enrolled
1358,2000,1. Not enrolled
3725,2000,1. Not enrolled
5858,2000,2. 2-year college 
2772,2000,
7773,2000,3. 4-year college
2253,2000,3. 4-year college
8597,2000,1. Not enrolled
5292,2000,1. Not enrolled
3213,2000,1. Not enrolled
120,2000,3. 4-year college
4499,2000,1. Not enrolled
779,2000,1. Not enrolled
989,2000,1. Not enrolled
8088,2000,1. Not enrolled
7717,2000,1. Not enrolled
6070,2000,1. Not enrolled
4532,2000,1. Not enrolled
2991,2000,1. Not enrolled
3310,2000,1. Not enrolled
4601,2000,3. 4-year college
786,2000,
6180,2000,3. 4-year college
3994,2000,1. Not enrolled
7057,2000,1. Not enrolled
599,2000,2. 2-year college 
4188,2000,1. Not enrolled
7168,2000,1. Not enrolled
7299,2000,1. Not enrolled
3298,2000,1. Not enrolled
383,2000,1. Not enrolled
6995,2000,1. Not enrolled
2906,2000,1. Not enrolled
7278,2000,1. Not enrolled
590,2000,1. Not enrolled
8092,2000,1. Not enrolled
2202,2000,3. 4-year college
1417,2000,1. Not enrolled
5954,2000,3. 4-year college
2369,2000,1. Not enrolled
565,2000,1. Not enrolled
2228,2000,1. Not enrolled
4891,2000,1. Not enrolled
1082,2000,1. Not enrolled
7996,2000,2. 2-year college 
4957,2000,1. Not enrolled
6394,2000,3. 4-year college
317,2000,2. 2-year college 
8943,2000,1. Not enrolled
6378,2000,1. Not enrolled
5482,2000,1. Not enrolled
409,2000,1. Not enrolled
8438,2000,1. Not enrolled
2812,2000,3. 4-year college
5309,2000,1. Not enrolled
6833,2000,1. Not enrolled
6502,2000,1. Not enrolled
8572,2000,1. Not enrolled
440,2000,1. Not enrolled
1897,2000,1. Not enrolled
4233,2000,
5474,2000,1. Not enrolled
7975,2000,1. Not enrolled
8945,2000,1. Not enrolled
2095,2000,1. Not enrolled
6262,2000,1. Not enrolled
3049,2000,3. 4-year college
6937,2000,1. Not enrolled
1116,2000,1. Not enrolled
2165,2000,1. Not enrolled
3108,2000,1. Not enrolled
5389,2000,3. 4-year college
4298,2000,1. Not enrolled
5189,2000,2. 2-year college 
3343,2000,1. Not enrolled
5220,2000,1. Not enrolled
1677,2000,3. 4-year college
4765,2000,2. 2-year college 
4743,2000,2. 2-year college 
1803,2000,1. Not enrolled
4715,2000,1. Not enrolled
5293,2000,1. Not enrolled
8910,2000,1. Not enrolled
132,2000,1. Not enrolled
5078,2000,1. Not enrolled
7923,2000,1. Not enrolled
6551,2000,
3065,2000,1. Not enrolled
5956,2000,1. Not enrolled
7115,2000,1. Not enrolled
6245,2000,1. Not enrolled
7446,2000,1. Not enrolled
8451,2000,3. 4-year college
4190,2000,1. Not enrolled
1542,2000,1. Not enrolled
6523,2000,1. Not enrolled
4670,2000,1. Not enrolled
1077,2000,1. Not enrolled
7985,2000,1. Not enrolled
2077,2000,1. Not enrolled
2502,2000,1. Not enrolled
4201,2000,1. Not enrolled
904,2000,1. Not enrolled
1743,2000,1. Not enrolled
633,2000,1. Not enrolled
7605,2000,1. Not enrolled
1421,2000,1. Not enrolled
2053,2000,
8289,2000,1. Not enrolled
1287,2000,1. Not enrolled
5111,2000,3. 4-year college
2405,2000,2. 2-year college 
8633,2000,1. Not enrolled
6111,2000,3. 4-year college
4731,2000,3. 4-year college
8990,2000,1. Not enrolled
8110,2000,1. Not enrolled
1262,2000,1. Not enrolled
4798,2000,1. Not enrolled
4432,2000,1. Not enrolled
910,2000,
6901,2000,1. Not enrolled
4669,2000,1. Not enrolled
7454,2000,1. Not enrolled
4823,2000,
1146,2000,1. Not enrolled
1446,2000,1. Not enrolled
4104,2000,1. Not enrolled
4981,2000,1. Not enrolled
909,2000,1. Not enrolled
485,2000,3. 4-year college
6688,2000,1. Not enrolled
8363,2000,1. Not enrolled
8981,2000,1. Not enrolled
7319,2000,1. Not enrolled
1619,2000,3. 4-year college
8911,2000,1. Not enrolled
5378,2000,1. Not enrolled
5626,2000,1. Not enrolled
5946,2000,1. Not enrolled
6721,2000,2. 2-year college 
4965,2000,1. Not enrolled
7391,2000,1. Not enrolled
2540,2000,
1891,2000,1. Not enrolled
7138,2000,1. Not enrolled
7090,2000,1. Not enrolled
5029,2000,1. Not enrolled
861,2000,1. Not enrolled
233,2000,1. Not enrolled
2218,2000,1. Not enrolled
6599,2000,1. Not enrolled
2172,2000,1. Not enrolled
7642,2000,1. Not enrolled
5782,2000,1. Not enrolled
3109,2000,1. Not enrolled
3013,2000,1. Not enrolled
7731,2000,1. Not enrolled
8015,2000,1. Not enrolled
2399,2000,2. 2-year college 
3292,2000,1. Not enrolled
7312,2000,1. Not enrolled
5264,2000,1. Not enrolled
8599,2000,1. Not enrolled
2102,2000,1. Not enrolled
7118,2000,1. Not enrolled
4672,2000,1. Not enrolled
3583,2000,1. Not enrolled
8741,2000,3. 4-year college
7188,2000,1. Not enrolled
3710,2000,1. Not enrolled
1810,2000,3. 4-year college
1043,2000,1. Not enrolled
8770,2000,1. Not enrolled
435,2000,2. 2-year college 
1410,2000,2. 2-year college 
6670,2000,1. Not enrolled
9005,2000,1. Not enrolled
8143,2000,1. Not enrolled
3375,2000,1. Not enrolled
2542,2000,1. Not enrolled
4354,2000,1. Not enrolled
279,2000,3. 4-year college
1495,2000,3. 4-year college
8164,2000,1. Not enrolled
4383,2000,1. Not enrolled
6166,2000,1. Not enrolled
877,2000,1. Not enrolled
38,2000,3. 4-year college
1884,2000,3. 4-year college
1912,2000,1. Not enrolled
2223,2000,1. Not enrolled
2875,2000,3. 4-year college
624,2000,1. Not enrolled
6280,2000,1. Not enrolled
1905,2000,3. 4-year college
8023,2000,1. Not enrolled
6940,2000,1. Not enrolled
5097,2000,1. Not enrolled
142,2000,1. Not enrolled
2847,2000,1. Not enrolled
7770,2000,1. Not enrolled
5873,2000,1. Not enrolled
1419,2000,1. Not enrolled
3855,2000,3. 4-year college
4301,2000,3. 4-year college
3505,2000,1. Not enrolled
8535,2000,1. Not enrolled
4719,2000,3. 4-year college
3113,2000,1. Not enrolled
1271,2000,1. Not enrolled
3596,2000,1. Not enrolled
3624,2000,3. 4-year college
5102,2000,1. Not enrolled
5441,2000,2. 2-year college 
8999,2000,1. Not enrolled
5415,2000,1. Not enrolled
4088,2000,
4175,2000,1. Not enrolled
8848,2000,1. Not enrolled
2179,2000,1. Not enrolled
6400,2000,2. 2-year college 
1790,2000,1. Not enrolled
7687,2000,1. Not enrolled
8607,2000,1. Not enrolled
7486,2000,1. Not enrolled
3158,2000,1. Not enrolled
263,2000,1. Not enrolled
4587,2000,1. Not enrolled
5495,2000,1. Not enrolled
3417,2000,1. Not enrolled
5777,2000,1. Not enrolled
5892,2000,1. Not enrolled
2024,2000,1. Not enrolled
8754,2000,1. Not enrolled
4243,2000,1. Not enrolled
1485,2000,1. Not enrolled
4574,2000,1. Not enrolled
3831,2000,1. Not enrolled
7980,2000,1. Not enrolled
1842,2000,1. Not enrolled
4227,2000,1. Not enrolled
1157,2000,1. Not enrolled
3967,2000,3. 4-year college
2495,2000,3. 4-year college
2566,2000,1. Not enrolled
7946,2000,2. 2-year college 
5553,2000,1. Not enrolled
4799,2000,2. 2-year college 
4204,2000,1. Not enrolled
