id,citation
92937,"Milliken, William M. ""The Second Exhibition of Contemporary American Painting."" <em>The Bulletin of the Cleveland Museum of Art.</em> 9:6 (June, 1922). 95-102."
92937,"Glasier, Jessie C. ""Museum Gets Prize-Winning Canvases: Bellows Subject, Kent Landscape Are Acquisitions."" <em>The Plain Dealer </em>(Cleveland, OH), June 18, 1922."
92937,"""Cleveland Museum Acquires Typical Pictures by Bellows and Kent."" <em>American Art News.</em> 20:37 (24 June 1922). pp. 1-10."
92937,"Milliken, William M. ""Two Examples of Modern Painting: The Maine Coast, by Rockwell Kent."" <em>The Bulletin of the Cleveland Museum of Art.</em> 9:10 (December, 1922). pp. 171-175."
92937,"<em>Memorial Exhibition of the Work of George Bellows. </em>New York, NY: Metropolitan Museum of Art, 1925."
92937,"The Cleveland Museum of Art. <em>Handbook of the Cleveland Museum of Art</em>. Cleveland, OH: The Cleveland Museum of Art, 1925."
92937,"Cortissoz, Royal. ""Paintings and Prints by George Bellows: The Memorial Exhibition at the Metropolitan."" <em>New York Herald Tribune</em> (New York, NY), October 11, 1925."
92937,"Isham, Samuel, and Royal Cortissoz. <em>The History of American Painting</em>. New York, NY: Macmillan Company, 1927."
92937,"Mather, Frank Jewett, Charles Rufus Morey, and W. J. Henderson. <em>The Pageant of America: The American Spirit in Art</em>. New Haven, CT: Yale University Press, 1927."
92937,"""Un Artiste Americain."" <em>L'illustration.</em> 85 (September, 1927). pp. 308-31."
92937,"The Cleveland Museum of Art. <em>Handbook of the Cleveland Museum of Art</em>. Cleveland, OH: The Cleveland Museum of Art, 1928."
92937,"Bellows, Emma S. <em>The Paintings of George Bellows</em>. New York, NY: A.A. Knopf, 1929."
92937,"Kelly, Grace V. ""'Stag at Sharkey's."" <em>The Plain Dealer </em>(Cleveland, OH), May 9, 1929."
92937,"Eggers, George W. <em>George Bellows</em>. New York: Whitney Museum of American Art, 1931."
92937,"Neuhaus, Eugen. <em>The History &amp; Ideals of American Art</em>. Stanford University, CA: Stanford University Press; London: Oxford University Press, 1931."
92937,"Clark, Edna Maria. <em>Ohio Art and Artists</em>. Richmond, VA: Garrett &amp; Massie, 1932."
92937,"<em>American Painting &amp; Sculpture, 1862-1932</em>. New York, NY: Museum of Modern Art, 1932."
92937,"<em>Olympic Competition and Exhibition of Art: Catalogue of the Exhibition at the Los Angeles Museum of History, Science and Art</em>: Los Angeles, CA: Neuner Printing &amp; Lithograph Co., 1932."
92937,"Mechlin, Leila. ""The Olympic Art Exhibition."" <em>The American Magazine of Art.</em> 25:3 (September, 1932). p. 136-150."
92937,"""Art's Progress in America for 100 Years Shown at World's Fair."" <em>The Art Diges</em>t. 8:16 (15 May 1933). p. 28-29."
92937,"Frankfurter, Alfred M. ""Art in the Century of Progress."" <em>The Fine Arts.</em> 20:2 (June, 1933). p. 7-8, 59-61."
