id,creator,title,birth_year,death_year,collection,type,creation_date
92937,"George Bellows (American, 1882-1925)",Stag at Sharkey's,1882,1925,American - Painting,Painting,1909
94979,"John Singleton Copley (American, 1738-1815)",Nathaniel Hurd,1738,1815,American - Painting,Painting,c. 1765
137259,"Gustave Courbet (French, 1819-1877)",Mme L... (Laure Borreau),1819,1877,Mod Euro - Painting 1800-1960,Painting,1863
141639,"Frederic Edwin Church (American, 1826-1900)",Twilight in the Wilderness,1826,1900,American - Painting,Painting,1860
93014,"Thomas Cole (American, 1801-1848)","View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,Painting,1838
110180,"Albert Pinkham Ryder (American, 1847-1917)",The Race Track (Death on a Pale Horse),1847,1917,American - Painting,Painting,c. 1896-1908
135299,"Vincent van Gogh (Dutch, 1853-1890)",Adeline Ravoux,1853,1890,Mod Euro - Painting 1800-1960,Painting,1890
125249,"Vincent van Gogh (Dutch, 1853-1890)",The Large Plane Trees (Road Menders at Saint-Rémy),1853,1890,Mod Euro - Painting 1800-1960,Painting,1889
126769,"Henri Rousseau (French, 1844-1910)",Fight between a Tiger and a Buffalo,1844,1910,Mod Euro - Painting 1800-1960,Painting,1908
135382,"Claude Monet (French, 1840-1926)",The Red Kerchief,1840,1926,Mod Euro - Painting 1800-1960,Painting,c. 1868–73
149112,"Charles Sheeler (American, 1883-1965)",Church Street El,1883,1965,American - Painting,Painting,1920
123365,"John Rogers Cox (American, 1915-1990)",Gray and Gold,1915,1990,American - Painting,Painting,1942
140161,"John Sloan (American, 1871-1951)",A Woman's Work,1871,1951,American - Painting,Painting,1912
128391,"Pieter de Hooch (Dutch, 1629-1684)",Portrait of a Family Playing Music,1629,1684,P - Netherlandish-Dutch,Painting,1663
102578,"William Merritt Chase (American, 1849-1916)",Portrait of Dora Wheeler,1849,1916,American - Painting,Painting,1882–83
125104,"Edgar Degas (French, 1834-1917)",Frieze of Dancers,1834,1917,Mod Euro - Painting 1800-1960,Painting,c. 1895
138464,"Jacques-Louis David (French, 1748-1825)",Cupid and Psyche,1748,1825,Mod Euro - Painting 1800-1960,Painting,1817
