id,creator,title,birth_year,death_year,collection,type,creation_date
172815,"Albert Bierstadt (American, 1830-1902)","Mount Starr King, Yosemite",1830,1902,American - Painting,Painting,1866
117032,"Andrea del Sarto (Italian, 1486-1530)",The Sacrifice of Isaac,1486,1530,P - Italian 16th & 17th Century,Painting,c. 1527
151904,"Thomas Eakins (American, 1844-1916)",The Biglin Brothers Turning the Stake,1844,1916,American - Painting,Painting,1873
135428,"Lucas Cranach (German, 1472-1553)",Hunting near Hartenfels Castle,1472,1553,P - German before 1800,Painting,1540
122349,"Joshua Reynolds (British, 1723-1792)",Portrait of the Ladies Amabel and Mary Jemima Yorke,1723,1792,P - British before 1800,Painting,c. 1761
124245,"Pablo Picasso (Spanish, 1881-1973)",La Vie,1881,1973,Mod Euro - Painting 1800-1960,Painting,1903
150389,"Nicolas Poussin (French, 1594-1665)",The Holy Family on the Steps,1594,1665,P - French 17th Century,Painting,1648
127571,"Lorenzo Lotto (Italian, 1480-1556)","Portrait of a Man, possibly Girolamo Rosati",1480,1556,P - Italian 16th & 17th Century,Painting,1533–34
160885,"Frans Hals (Dutch, c. 1581-1666)",Portrait of Tieleman Roosterman,c. 1581,1666,P - Netherlandish-Dutch,Painting,1634
129265,"Henri Matisse (French, 1869-1954)",Interior with an Etruscan Vase (Intérieur au vase étrusque),1869,1954,Mod Euro - Painting 1800-1960,Painting,1940
131819,"Anthony van Dyck (Flemish, 1599-1641)",A Genoese Lady with Her Child,1599,1641,P - Netherlandish-Flemish,Painting,c. 1623-1625
165157,"Jacob Lawrence (American, 1917-2000)",Fulton and Nostrand,1917,2000,American - Painting,Painting,1958
109245,"Benjamin West (American, 1738-1820)","Elizabeth Shewell West and Her Son, Raphael",1738,1820,American - Painting,Painting,c. 1770
148758,"Caravaggio (Italian, 1571-1610)",The Crucifixion of Saint Andrew,1571,1610,P - Italian 16th & 17th Century,Painting,1606–7
138359,"Willem Kalf (Dutch, 1619-1693)",Wineglass and a Bowl of Fruit,1619,1693,P - Netherlandish-Dutch,Painting,1663
140396,"Kay Sage (American, 1898-1963)",A Bird in the Room,1898,1963,American - Painting,Painting,1955
98268,"Charles Willson Peale (American, 1741-1827)",George Washington at the Battle of Princeton,1741,1827,American - Painting,Painting,c. 1779
98268,Workshop,George Washington at the Battle of Princeton,,,American - Painting,Painting,c. 1779
163769,"Aaron Douglas (American, 1899-1979)",Go Down Death,1899,1979,American - Painting,Painting,1934
135214,"Honoré Daumier (French, 1808-1879)",The Troubadour,1808,1879,Mod Euro - Painting 1800-1960,Painting,1868-1873
149768,"Petrus Christus (Netherlandish, c. 1410-1475/76)",Saint John the Baptist in a Landscape,c. 1410,1475/76,MED - Medieval Art,Painting,c. 1445
136217,"Francisco de Zurbarán (Spanish, 1598-1664)",Christ and the Virgin in the House at Nazareth,1598,1664,P - Spanish before 1800,Painting,c. 1640
155665,"Policoro Painter (South Italian, Lucanian, active c. 400 BC)",Red-Figure Calyx-Krater (Mixing Vessel): Medea in Chariot (A); Telephos with Baby Orestes (B),,,GR - South Italy,Ceramic,c. 400 BC
122351,"Joseph Mallord William Turner (British, 1775-1851)","The Burning of the Houses of Lords and Commons, 16 October 1834",1775,1851,Mod Euro - Painting 1800-1960,Painting,1835
140408,"John James Audubon (American, 1785-1851)",Peregrine Falcons (Duck Hawks),1785,1851,American - Painting,Painting,c. 1827
156112,"Carlo Bugatti (Italian, 1856-1940)",Tea Table,1856,1940,Furniture,Furniture and woodwork,c. 1907
136510,"Claude Monet (French, 1840-1926)",Water Lilies (Agapanthus),1840,1926,Mod Euro - Painting 1800-1960,Painting,c. 1915–26
162080,"Salvador Dalí (Spanish, 1904-1989)",The Dream,1904,1989,Mod Euro - Painting 1800-1960,Painting,1931
149665,"Arnold Böcklin (Swiss, 1827-1901)",Ruin by the Sea,1827,1901,Mod Euro - Painting 1800-1960,Painting,1881
149410,"Paul Gauguin (French, 1848-1903)",In the Waves (Dans les Vagues),1848,1903,Mod Euro - Painting 1800-1960,Painting,1889
171296,"Robert S. Duncanson (American, 1821-1872)",Vale of Kashmir,1821,1872,American - Painting,Painting,1867
147017,"John Constable (British, 1776-1837)","Branch Hill Pond, Hampstead",1776,1837,Mod Euro - Painting 1800-1960,Painting,1828
124089,"Rembrandt van Rijn (Dutch, 1606-1669)",Portrait of a Woman,1606,1669,P - Netherlandish-Dutch,Painting,1635 or earlier
124089,Studio,Portrait of a Woman,,,P - Netherlandish-Dutch,Painting,1635 or earlier
147938,"Giovanni Paolo Panini (Italian, 1691-1765)","Interior of the Pantheon, Rome",1691,1765,P - Italian 18th Century,Painting,1747
128842,"Georges de La Tour (French, 1593-1652)",Saint Peter Repentant,1593,1652,P - French 17th Century,Painting,1645
135538,"Claus de Werve (Netherlandish, 1380-1439)","Mourner from the Tomb of Philip the Bold, Duke of Burgundy (1364-1404)",1380,1439,MED - Gothic,Sculpture,1404-10
138885,"Master of the First Prayerbook of Maximillian (Flemish, c. 1444-1519)","Hours of Queen Isabella the Catholic, Queen of Spain",c. 1444,1519,MED - Manuscript Illuminations,Bound Volume,c. 1500
138885,Associates,"Hours of Queen Isabella the Catholic, Queen of Spain",,,MED - Manuscript Illuminations,Bound Volume,c. 1500
164628,"Reginald Marsh (American, 1898-1954)",A Paramount Picture,1898,1954,American - Painting,Painting,1934
119143,Jean de la Huerta (Spanish),Mourner from the Tomb of John the Fearless and Margaret of Bavaria,,,MED - Gothic,Sculpture,1443-45
140078,"Jean Baptiste Camille Corot (French, 1796-1875)","La Cervara, the Roman Campagna",1796,1875,Mod Euro - Painting 1800-1960,Painting,c. 1830–31
136911,"Thomas Cole (American, 1801-1848)",View of Florence,1801,1848,American - Painting,Painting,1837
145450,"Emanuel de Witte (Dutch, ca. 1617-1692)",Interior of a Church,ca. 1617,1692,P - Netherlandish-Dutch,Painting,c. 1680
162292,"Louise Bourgeois (American, 1911-2010)",Blind Man's Buff,1911,2010,CONTEMP - Sculpture,Sculpture,1984
119132,"Claus de Werve (Netherlandish, 1380-1439)","Mourner from the Tomb of Philip the Bold, Duke of Burgundy (1364-1404)",1380,1439,MED - Gothic,Sculpture,1404-1410
155860,"Friedrich Amerling (Austrian, 1803-1887)",The Young Eastern Woman,1803,1887,Mod Euro - Painting 1800-1960,Painting,1838
149146,"Zhu Bishan (Chinese, c. 1300-aft 1362)",Raft Cup,1300,1367,China - Yuan Dynasty,Silver,1345
98627,"Auguste Rodin (French, 1840-1917)",The Age of Bronze,1840,1917,Mod Euro - Sculpture 1800-1960,Sculpture,1875–76
160289,"John Singer Sargent (American, 1856-1925)",Portrait of Lisa Colt Curtis,1856,1925,American - Painting,Painting,1898
103366,"Gilbert Stuart (American, 1755-1828)",Elizabeth Beltzhoover Mason,1755,1828,American - Painting,Painting,c. 1803–5
113202,"Filippino Lippi (Italian, 1457-1504)",The Holy Family with Saint John the Baptist and Saint Margaret,1457,1504,MED - Renaissance,Painting,c. 1495
115405,"Paul Cézanne (French, 1839-1906)",The Pigeon Tower at Bellevue,1839,1906,Mod Euro - Painting 1800-1960,Painting,1890
152834,"Joseph Alexis Bailly (American, 1825-1883)",Sideboard,1825,1883,Furniture,Furniture and woodwork,c. 1855
126758,"Pierre Bonnard (French, 1867-1947)",The Dessert,1867,1947,Mod Euro - Painting 1800-1960,Painting,1921
172954,"Edward Hopper (American, 1882-1967)","Hills, South Truro",1882,1967,American - Painting,Painting,1930
135185,"Paul Cézanne (French, 1839-1906)",Mount Sainte-Victoire,1839,1906,Mod Euro - Painting 1800-1960,Painting,c. 1904
121188,"Pierre-Auguste Renoir (French, 1841-1919)",Romaine Lacaux,1841,1919,Mod Euro - Painting 1800-1960,Painting,1864
123168,"Paul Gauguin (French, 1848-1903)",The Call,1848,1903,Mod Euro - Painting 1800-1960,Painting,1902
148753,"Odilon Redon (French, 1840-1916)",Violette Heymann,1840,1916,DR - French,Drawing,1910
135420,"Georgia O'Keeffe (American, 1887-1986)",Morning Glory with Black,1887,1986,American - Painting,Painting,1926
143602,"Jacob van Ruisdael (Dutch, 1628/29-1682)",Low Waterfall in a Wooded Landscape with a Dead Beech Tree,1628/29,1682,P - Netherlandish-Dutch,Painting,c. 1660–70
155637,"Anselm Kiefer (German, 1945-)",Lot's Wife,1945,,CONTEMP - Painting,Painting,1989
135661,"Peter Paul Rubens (Flemish, 1577-1640)",Diana and Her Nymphs Departing for the Hunt,1577,1640,P - Netherlandish-Flemish,Painting,c. 1615
135661,Workshop,Diana and Her Nymphs Departing for the Hunt,,,P - Netherlandish-Flemish,Painting,c. 1615
149041,"Juste-Aurèle Meissonnier (French, 1695-1750)",Covered Tureen on Stand (Pot-à-oille),1695,1750,Decorative Arts,Silver,1735–38
149041,Pierre-François Bonnestrenne (French),Covered Tureen on Stand (Pot-à-oille),,,Decorative Arts,Silver,1735–38
149041,"Henry Adnet (French, 1745)",Covered Tureen on Stand (Pot-à-oille),,1745,Decorative Arts,Silver,1735–38
141935,"Washington Allston (American, 1779-1843)",Samuel Williams,1779,1843,American - Painting,Painting,c. 1817
122347,"Jean-Marc Nattier (French, 1685-1766)",Portrait of a Woman as Diana,1685,1766,P - French 18th Century,Painting,1752
122338,"Albert Bouts (Netherlandish, 1451-55-1549)",The Annunciation,1451-55,1549,MED - Medieval Art,Painting,c. 1480
155783,"William Sidney Mount (American, 1807-1868)",The Power of Music,1807,1868,American - Painting,Painting,1847
114684,"Hans Memling (Netherlandish, 1494)",Virgin and Child,,1494,MED - Medieval Art,Painting,c. 1470–80
142734,"House of Fabergé (Russian, 1842-1918)",Flower Study of a Lily of the Valley,1842,1918,Decorative Arts,Miscellaneous,c. 1885-1915
153396,"Richard Stankiewicz (American, 1922-1983)",Untitled,1922,1983,CONTEMP - Sculpture,Sculpture,1961
92936,"Rockwell Kent (American, 1882-1971)",Maine Coast,1882,1971,American - Painting,Painting,1907
142792,"Ernst Ludwig Kirchner (German, 1880-1938)",Wrestlers in a Circus,1880,1938,Mod Euro - Painting 1800-1960,Painting,1909
97166,"Filippo Lippi (Italian, c. 1406-1469)",Virgin and Child with Angels,c. 1406,1469,MED - Medieval Art,Painting,c. 1460
135920,"Tilman Riemenschneider (German, c. 1460-1531)",Saint Lawrence,c. 1460,1531,MED - Gothic,Sculpture,1502–8
130391,"Claude Monet (French, 1840-1926)",Spring Flowers,1840,1926,Mod Euro - Painting 1800-1960,Painting,1864
142298,"Jean-Auguste-Dominique Ingres (French, 1780-1867)",Antiochus and Stratonice,1780,1867,Mod Euro - Painting 1800-1960,Painting,c. 1838
143152,"Adam Lenckhardt (German, 1610-1661)",Descent from the Cross,1610,1661,Sculpture,Sculpture,1653
125247,"Peter Paul Rubens (Flemish, 1577-1640)",Portrait of Isabella Brant,1577,1640,P - Netherlandish-Flemish,Painting,c. 1620-25
135539,"Claus de Werve (Netherlandish, 1380-1439)","Mourner from the Tomb of Philip the Bold, Duke of Burgundy (1364-1404)",1380,1439,MED - Gothic,Sculpture,1404-10
153611,"Georgia O'Keeffe (American, 1887-1986)","Cliffs Beyond Abiquiu, Dry Waterfall",1887,1986,American - Painting,Painting,1943
142277,"Douris (Greek, Attic, active c. 500-470 BC)",White-Ground Lekythos (Oil Vessel): Atalanta and Erotes,,,GR - Greek,Ceramic,500-490 BC
168322,"Angelos Akotantos (Greek, c. 1450)",Icon of the Mother of God and Infant Christ (Virgin Eleousa),,c. 1450,MED - Byzantine,Painting,c. 1425–50
115067,"Odilon Redon (French, 1840-1916)",Vase of Flowers,1840,1916,Mod Euro - Painting 1800-1960,Painting,c. 1905
97165,"Giovanni Francesco Toscani (Italian, c. 1380-1430)",Panel from a Cassone: The Race of the Palio in the Streets of Florence,c. 1380,1430,MED - Medieval Art,Painting,1418
135480,"Pierre-Auguste Renoir (French, 1841-1919)",The Apple Seller,1841,1919,Mod Euro - Painting 1800-1960,Painting,c. 1890
124092,"Gerard ter Borch (Dutch, 1617-1681)",Portrait of a Woman,1617,1681,P - Netherlandish-Dutch,Painting,c. 1665
125234,"Claude Monet (French, 1840-1926)","Low Tide at Pourville, near Dieppe, 1882",1840,1926,Mod Euro - Painting 1800-1960,Painting,1882
156855,"Tiffany & Co. (American, New York, est. 1837)",Tall Clock,1837,,Furniture,Furniture and woodwork,c. 1880
142738,"Mikhail Evlampievich Perkhin (Russian, 1860-1903)",Parrot on a Perch ,1860,1903,Decorative Arts,Miscellaneous,1896-1903
142738,"House of Fabergé (Russian, 1842-1918)",Parrot on a Perch ,1842,1918,Decorative Arts,Miscellaneous,1896-1903
143775,"Antonio Canova (Italian, 1757-1822)",Terpsichore Lyran (Muse of Lyric Poetry),1757,1822,Mod Euro - Sculpture 1800-1960,Sculpture,1816
159838,"Harriet Goodhue Hosmer (American, 1830-1908)",The Sleeping Faun,1830,1908,American - Sculpture,Sculpture,"modeled 1864, carved c. 1870"
132367,"Battista di Biagio Sanguigni (Italian, active 1393-1451)",Virgin and Child Enthroned,,,MED - Medieval Art,Painting,1419
162625,"Lee Krasner (American, 1908-1984)",Celebration,1908,1984,American - Painting,Painting,1960
169187,"Edmonia Lewis (American, c. 1844-1907)",Indian Combat,c. 1844,1907,American - Sculpture,Sculpture,1868
170235,"Johann Georg Platzer (Austrian, 1704-1761)",The Artist's Studio,1704,1761,Paintings,Painting,1740s-1750s
125103,"Tilman Riemenschneider (German, c. 1460-1531)",Saint Jerome and the Lion (From the former Church of St. Peter in Erfurt),c. 1460,1531,MED - Gothic,Sculpture,c. 1495
140492,Master of the Brussels Initials and Associates (French),"Hours of Charles the Noble, King of Navarre (1361-1425)",,1409,MED - Manuscript Illuminations,Bound Volume,c. 1404
150530,"Marsden Hartley (American, 1877-1943)",Military,1877,1943,American - Painting,Painting,1914-1915
118490,"William Glackens (American, 1870-1938)","The Drive, Central Park",1870,1938,American - Painting,Painting,c. 1905
143915,"Fairfield Porter (American, 1907-1975)",Nyack,1907,1975,CONTEMP - Painting,Painting,1966-1967
146416,"John Linnell (British, 1792-1882)",Noah:  The Eve of the Deluge,1792,1882,Mod Euro - Painting 1800-1960,Painting,1848
128392,"Camille Pissarro (French, 1830-1903)","Edge of the Woods Near L'Hermitage, Pontoise",1830,1903,Mod Euro - Painting 1800-1960,Painting,1879
143803,"Gerrit van Honthorst (Dutch, 1590-1656)",Samson and Delilah,1590,1656,P - Netherlandish-Dutch,Painting,c. 1616
159976,"Andy Warhol (American, 1928-1987)",Marilyn x 100,1928,1987,CONTEMP - Painting,Painting,1962
111479,"Noël Nicolas Coypel (French, 1690-1734)",The Miracles of Saint James the Greater,1690,1734,P - French 18th Century,Painting,1726
95265,"Henri Fantin-Latour (French, 1836-1904)",Tannhäuser,1836,1904,Mod Euro - Painting 1800-1960,Painting,1886
119326,"Nathaniel Hurd (American, 1730-1778)",Teapot,1730,1778,Decorative Arts,Silver,c. 1755–60
142716,"Tiffany Glass & Decorating Company (American, New York, 1892–1902)","Hinds House Window
",,,Decorative Arts,Glass,c. 1900
134072,"George Inness (American, 1825-1894)",Sunny Autumn Day,1825,1894,American - Painting,Painting,1892
156813,"Edmund C. Tarbell (American, 1862-1938)",On Bos'n's Hill,1862,1938,American - Painting,Painting,1901
108743,Godefroid de Huy (Netherlandish),Pendant with the Virgin and Child,,,MED - Romanesque,Enamel,c. 1160-1170
141549,"Diego Velázquez (Spanish, 1599-1660)",Portrait of the Jester Calabazas,1599,1660,P - Spanish before 1800,Painting,c. 1631–32
114538,"Diego Rivera (Mexican, 1886-1957)",Zapata,1886,1957,PR - Lithograph,Print,1932
114538,"George C. Miller (American, 1894-1966)",Zapata,1894,1966,PR - Lithograph,Print,1932
114538,Weyhe Gallery,Zapata,,,PR - Lithograph,Print,1932
142476,"Robert Campin (Netherlandish, 1375/79-1444)",John the Baptist,1375/79,1444,MED - Medieval Art,Painting,c. 1410
168182,"Yves Tanguy (French, 1900-1955)",Title Unknown,1900,1955,Mod Euro - Painting 1800-1960,Painting,1928
127572,"Paolo Veronese (Italian, 1528-1588)",The Annunciation,1528,1588,P - Italian 16th & 17th Century,Painting,c. 1580
127572,Workshop,The Annunciation,,,P - Italian 16th & 17th Century,Painting,c. 1580
122920,"Paul Jacques de Lamerie (British, 1688-1751)",Tea Caddy,1688,1751,Decorative Arts,Silver,1741-1742
137308,"Mark Rothko (American, 1903-1970)",No. 2 (Red Maroons),1903,1970,CONTEMP - Painting,Painting,1962
169868,"Frank Wilcox (American, 1887-1964)",The Bee Tree,1887,1964,American - Cleveland School,Painting,1930
146797,"David Alfaro Siqueiros (Mexican, 1896-1974)",Zapata,1896,1974,PR - Lithograph,Print,1931
146797,"George C. Miller (American, 1894-1966)",Zapata,1894,1966,PR - Lithograph,Print,1931
146797,Weyhe Gallery,Zapata,,,PR - Lithograph,Print,1931
130457,"Edouard Vuillard (French, 1868-1940)","Under the Trees (from ""The Public Gardens"")",1868,1940,Mod Euro - Painting 1800-1960,Painting,1894
148301,"Juan de Flandes (Netherlandish, c. 1460-1519)",The Birth and Naming of John the Baptist,c. 1460,1519,MED - Renaissance,Painting,1496–99
302209,"Joseph Wright of Derby (British, 1734-1797)",Portrait of Colonel Charles Heathcote,1734,1797,P - British before 1800,Painting,c. 1771-72
155871,"Jean Lecomte du Nouÿ (French, 1842-1923)",A Eunuch's Dream,1842,1923,Mod Euro - Painting 1800-1960,Painting,1874
95287,"Pierre Puvis de Chavannes (French, 1824-1898)",Summer,1824,1898,Mod Euro - Painting 1800-1960,Painting,1891
110059,"Oionokles Painter (Greek, Attic, active c. 480-460 BC)",Red-Figure Lekythos (Oil Vessel): Warrior Cutting Hair,,,GR - Greek,Ceramic,c. 480-470 BC
122340,"Aelbert Cuyp (Dutch, 1620-1691)",Travelers in Hilly Countryside,1620,1691,P - Netherlandish-Dutch,Painting,c. 1650
135173,"Paul Cézanne (French, 1839-1906)",The Brook,1839,1906,Mod Euro - Painting 1800-1960,Painting,c. 1895-1900
140152,"Jan Steen (Dutch, 1626-1679)","Esther, Ahasuerus, and Haman",1626,1679,P - Netherlandish-Dutch,Painting,c. 1668
136207,"Ambrosius Bosschaert (Dutch, 1573-1621)",Flowers in a Glass,1573,1621,P - Netherlandish-Dutch,Painting,1606
124679,"John Sloan (American, 1871-1951)",The Rathskeller,1871,1951,American - Painting,Painting,1901
167459,"Mino da Fiesole (Italian, c. 1430-1484)",Julius Caesar,c. 1430,1484,Sculpture,Sculpture,c. 1455–60
167459,"Mino da Fiesole and Workshop (Italian, c. 1430-1484)",Julius Caesar,c. 1430,1484,Sculpture,Sculpture,c. 1455–60
129300,"Benjamin West (American, 1738-1820)",George III,1738,1820,American - Painting,Painting,1783
149386,"Félix Bracquemond (French, 1833-1914)",Hand Mirror,1833,1914,Decorative Arts,Miscellaneous,c. 1900
149386,"Auguste Rodin (French, 1840-1917)",Hand Mirror,1840,1917,Decorative Arts,Miscellaneous,c. 1900
149386,Alexander Riquet (French),Hand Mirror,,,Decorative Arts,Miscellaneous,c. 1900
149386,"Alexis Falize (French, 1811-1898)",Hand Mirror,1811,1898,Decorative Arts,Miscellaneous,c. 1900
140208,"Stuart Davis (American, 1894-1964)",Composition Concrete (Study for Mural),1894,1964,American - Painting,Painting,1957-1960
135456,"Pablo Picasso (Spanish, 1881-1973)",The Harem ,1881,1973,Mod Euro - Painting 1800-1960,Painting,1906
123435,"Louis Hersent (French, 1777-1860)",Sophie Crouzet,1777,1860,Mod Euro - Painting 1800-1960,Painting,c. 1801
135265,"Edgar Degas (French, 1834-1917)","Stefanina Primicile Carafa, Marchioness of Cicerale and Duchess of Montejasi",1834,1917,Mod Euro - Painting 1800-1960,Painting,c. 1875
170093,"Jared French (American, 1905-1988)",Evasion,1905,1988,American - Painting,Painting,1947
136922,Ugolino di Nerio (Italian),Virgin and Child with Saints,,,MED - Medieval Art,Painting,c. 1320
149947,"Jackson Pollock (American, 1912-1956)","Number 5, 1950",1912,1956,American - Painting,Painting,1950
136682,"Thomas Lawrence (British, 1769-1830)","Portrait of Catherine Grey, Lady Manners",1769,1830,P - British before 1800,Painting,1794
109042,"Honoré Daumier (French, 1808-1879)",Art Lovers,1808,1879,DR - French,Drawing,1863-1869
110565,"Théodore Géricault (French, 1791-1824)",Fighting Horses,1791,1824,DR - French,Drawing,c. 1820
165186,"René Lalique (French, 1860-1945)",Frogs and Lily Pads (Grenouilles et Nénuphars) Vase,1860,1945,Decorative Arts,Glass,1909–12
173263,"Henri de Toulouse-Lautrec (French, 1864-1901)",Monsieur Boileau at the Café,1864,1901,DR - French,Drawing,1893
127227,"Charles Burchfield (American, 1893-1967)","Church Bells Ringing, Rainy Winter Night",1893,1967,DR - American 20th Century,Drawing,December 1917
109295,"Jean-Auguste-Dominique Ingres (French, 1780-1867)",Madame Désiré Raoul-Rochette,1780,1867,DR - French,Drawing,1830
156593,"René Magritte (Belgian, 1898-1967)",The Secret Life,1898,1967,Mod Euro - Painting 1800-1960,Painting,1928
146148,"Anne Vallayer-Coster (French, 1744-1818)",Basket of Plums,1744,1818,P - French 18th Century,Painting,1769
162973,"Augusta Savage (American, 1892-1962)",Gamin,1892,1962,American - Sculpture,Sculpture,c. 1929
107189,"Guercino (Italian, 1591-1666)",Venus and Cupid in a Chariot,1591,1666,DR - Italian,Drawing,1615-17
147479,"Jean François de Troy (French, 1679-1752)",Pan and Syrinx,1679,1752,P - French 18th Century,Painting,1720
144965,"Painter of Berlin 1899 (Greek, Attic)","Black-Figure Neck-Amphora (Storage Vessel): Herakles and Nemean Lion (A); Dionysos, Satyrs, and Maenads (B)",,,GR - Greek,Ceramic,515-510  BC
124040,"Winslow Homer (American, 1836-1910)",The Brierwood Pipe,1836,1910,American - Painting,Painting,1864
123424,"Grinling Gibbons (British, 1648-1721)",Overmantel Decoration,1648,1721,Sculpture,Sculpture,c. 1675-1677
152003,"Chelsea Porcelain Factory (Britain, London, 1745-84)",Hen and Chicks Covered Tureen on Stand,,,Decorative Arts,Ceramic,c. 1755
138023,Master of the Boqueteaux (French),The Gotha Missal,,1380,MED - Manuscript Illuminations,Bound Volume,c. 1375
138023,Workshop,The Gotha Missal,,,MED - Manuscript Illuminations,Bound Volume,c. 1375
141168,"Gustave Courbet (French, 1819-1877)","Panoramic View of the Alps, Les Dents du Midi",1819,1877,Mod Euro - Painting 1800-1960,Painting,1877
144613,"Joan Mitchell (American, 1925-1992)",Metro,1925,1992,American - Painting,Painting,1958
123431,"Jean-Honoré Fragonard (French, 1732-1806)",Invocation to Love,1732,1806,DR - French,Drawing,c. 1781
135310,"Vincent van Gogh (Dutch, 1853-1890)",Two Poplars in the Alpilles near Saint-Rémy,1853,1890,Mod Euro - Painting 1800-1960,Painting,1889
136509,"Abraham van Beyeren (Dutch, 1620/21-1690)","Silver Wine Jug, Ham, and Fruit",1620/21,1690,P - Netherlandish-Dutch,Painting,c. 1660-66
140089,"Willem de Kooning (American, 1904-1997)",Figure,1904,1997,American - Painting,Painting,1949
122345,"Meindert Hobbema (Dutch, 1638-1709)",A Cottage in the Woods,1638,1709,P - Netherlandish-Dutch,Painting,c. 1662
141476,"Jacques André Joseph Aved (French, 1702-1766)",Portrait of Jean-Gabriel du Theil at the Signing of the Treaty of Vienna,1702,1766,P - French 18th Century,Painting,1738-1740
135336,"Edouard Manet (French, 1832-1883)",Berthe Morisot,1832,1883,Mod Euro - Painting 1800-1960,Painting,c. 1869-73
96263,"Thomas Sully (American, 1783-1872)",Portrait of Jean Terford David,1783,1872,American - Painting,Painting,1813
152588,"Otto Dix (German, 1891-1969)",Josef May,1891,1969,Mod Euro - Painting 1800-1960,Painting,1926
145999,"Thomas Gainsborough (British, 1727-1788)","Portrait of George Pitt, First Baron Rivers",1727,1788,P - British before 1800,Painting,1769
150156,"Carlo Bugatti (Italian, 1856-1940)",Tea and Coffee Service,1856,1940,Decorative Arts,Silver,c. 1907
150156,"Adrien-Aurélien Hebrard (French, 1866-1937)",Tea and Coffee Service,1866,1937,Decorative Arts,Silver,c. 1907
93173,"Clara Wolcott Driscoll (American, 1861-1944)",Poppy Inkwell,1861,1944,Decorative Arts,Glass,c. 1898-1906
93173,"Tiffany Glass & Decorating Company (American, New York, 1892–1902)",Poppy Inkwell,,,Decorative Arts,Glass,c. 1898-1906
93173,"Tiffany Studios (American, New York, 1902–1932)",Poppy Inkwell,1902,1932,Decorative Arts,Glass,c. 1898-1906
135238,"Edgar Degas (French, 1834-1917)",Paul Lafond and Alphonse Cherfils Examining a Painting,1834,1917,Mod Euro - Painting 1800-1960,Painting,c. 1878-1880
150083,"James Tissot (French, 1836-1902)",Seaside (July: Specimen of a Portrait),1836,1902,Mod Euro - Painting 1800-1960,Painting,1878
169465,"Thomas Hope (British, 1769-1831)",Settee,1769,1831,Furniture,Wood,c. 1802-07
169465,Unknown Maker (British),Settee,,,Furniture,Wood,c. 1802-07
111702,"Antonio Canaletto (Italian, 1697-1768)",Capriccio: A Palace with a Courtyard by the Lagoon,1697,1768,DR - Italian,Drawing,c. 1750-1755
108544,"Odilon Redon (French, 1840-1916)",Orpheus,1840,1916,DR - French,Drawing,c. 1903-10
135515,"Henri de Toulouse-Lautrec (French, 1864-1901)",May Belfort,1864,1901,DR - French,Drawing,1895
92844,"Maurice Denis (French, 1870-1943)",Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,Painting,1899
162282,"Grant Wood (American, 1891-1942)",January,1891,1942,American - Painting,Painting,1940-1941
120870,"Pierre-Auguste Renoir (French, 1841-1919)",The Judgment of Paris,1841,1919,Mod Euro - Sculpture 1800-1960,Sculpture,1914
120870,"Ricard Guinó (Spanish, 1890-1973)",The Judgment of Paris,1890,1973,Mod Euro - Sculpture 1800-1960,Sculpture,1914
