locationid,year,month,temperature,latitude,longitude,elevation,station,countryid,country
MU000041254,2019,1,12.83,23.067,57.633,1755.0,SAIQ,MU,Oman
MU000041288,2019,1,23.4,20.667,58.9,19.0,MASIRAH,MU,Oman
MUM00041241,2019,1,22.4,26.167,56.233,29.0,KHASAB_AIRPORT,MU,Oman
MUM00041242,2019,1,21.5,25.617,56.25,10.0,DIBA,MU,Oman
MUM00041244,2019,1,20.8,24.233,55.783,299.0,BURAIMI_AUT,MU,Oman
MUM00041246,2019,1,22.15,24.467,56.633,4.0,SOHAR_MAJIS,MU,Oman
MUM00041252,2019,1,21.2,23.233,56.433,327.0,IBRI,MU,Oman
MUM00041253,2019,1,21.8,23.417,57.433,322.0,RUSTAQ,MU,Oman
MUM00041255,2019,1,21.0,22.867,57.55,462.0,NIZWA,MU,Oman
MUM00041256,2019,1,22.4,23.593,58.284,14.6,SEEB_INTL,MU,Oman
MUM00041257,2019,1,22.1,23.317,57.95,417.0,SAMAIL,MU,Oman
MUM00041258,2019,1,23.65,23.633,58.567,3.0,MINA_SULTAN_QABOOS,MU,Oman
MUM00041262,2019,1,20.83,22.35,56.483,170.0,FAHUD_AUT,MU,Oman
MUM00041263,2019,1,20.95,23.0,57.317,592.0,BAHLA,MU,Oman
MUM00041264,2019,1,21.6,22.5,57.367,328.0,ADAM_AIRPORT,MU,Oman
MUM00041265,2019,1,21.35,22.733,58.5,469.0,IBRA,MU,Oman
MUM00041267,2019,1,23.04,22.667,59.4,11.0,QALHAT,MU,Oman
MUM00041268,2019,1,23.6,22.533,59.483,14.0,SUR,MU,Oman
MUM00041287,2019,1,21.75,20.867,58.25,34.0,JOBA,MU,Oman
MUM00041304,2019,1,20.92,18.133,55.183,273.0,MARMUL,MU,Oman
MUM00041312,2019,1,24.5,16.933,54.017,25.0,MINA_SALALAH,MU,Oman
MUM00041314,2019,1,20.5,17.666,54.025,478.5,THUMRAIT,MU,Oman
MUM00041315,2019,1,,17.25,54.083,881.0,QAIROON_HAIRITI,MU,Oman
MUM00041316,2019,1,24.2,17.039,54.091,22.3,SALALAH,MU,Oman
MU000041254,2019,2,12.1,23.067,57.633,1755.0,SAIQ,MU,Oman
MU000041288,2019,2,23.8,20.667,58.9,19.0,MASIRAH,MU,Oman
MUM00041241,2019,2,21.4,26.167,56.233,29.0,KHASAB_AIRPORT,MU,Oman
MUM00041242,2019,2,20.8,25.617,56.25,10.0,DIBA,MU,Oman
MUM00041244,2019,2,19.9,24.233,55.783,299.0,BURAIMI_AUT,MU,Oman
MUM00041246,2019,2,21.65,24.467,56.633,4.0,SOHAR_MAJIS,MU,Oman
MUM00041252,2019,2,20.8,23.233,56.433,327.0,IBRI,MU,Oman
MUM00041253,2019,2,21.25,23.417,57.433,322.0,RUSTAQ,MU,Oman
MUM00041255,2019,2,21.1,22.867,57.55,462.0,NIZWA,MU,Oman
MUM00041256,2019,2,22.25,23.593,58.284,14.6,SEEB_INTL,MU,Oman
MUM00041257,2019,2,21.75,23.317,57.95,417.0,SAMAIL,MU,Oman
MUM00041258,2019,2,23.1,23.633,58.567,3.0,MINA_SULTAN_QABOOS,MU,Oman
MUM00041262,2019,2,21.35,22.35,56.483,170.0,FAHUD_AUT,MU,Oman
MUM00041263,2019,2,20.55,23.0,57.317,592.0,BAHLA,MU,Oman
MUM00041264,2019,2,21.81,22.5,57.367,328.0,ADAM_AIRPORT,MU,Oman
MUM00041265,2019,2,21.3,22.733,58.5,469.0,IBRA,MU,Oman
MUM00041267,2019,2,22.95,22.667,59.4,11.0,QALHAT,MU,Oman
MUM00041268,2019,2,23.45,22.533,59.483,14.0,SUR,MU,Oman
MUM00041287,2019,2,22.65,20.867,58.25,34.0,JOBA,MU,Oman
MUM00041304,2019,2,22.69,18.133,55.183,273.0,MARMUL,MU,Oman
MUM00041312,2019,2,25.4,16.933,54.017,25.0,MINA_SALALAH,MU,Oman
MUM00041314,2019,2,22.75,17.666,54.025,478.5,THUMRAIT,MU,Oman
MUM00041315,2019,2,19.15,17.25,54.083,881.0,QAIROON_HAIRITI,MU,Oman
