locationid,year,month,temperature,latitude,longitude,elevation,station,countryid,country,latabs
BR000082400,2019,1,,-3.85,-32.417,59.0,FERNANDO_DE_NORONHA,BR,Brazil,3.85
BR000082704,2019,1,25.98,-7.633,-72.667,194.0,CRUZEIRO_DO_SUL,BR,Brazil,7.633
BR000083361,2019,1,28.65,-15.55,-56.117,151.0,CUIABA,BR,Brazil,15.55
BR000254000,2019,1,26.7,-2.433,-54.717,60.0,SANTAREM_AEROPORTO,BR,Brazil,2.433
BR000352000,2019,1,,-3.2,-52.2,112.0,ALTAMIRA,BR,Brazil,3.2
BR000956000,2019,1,26.95,-9.867,-56.1,289.0,ALTA_FLORESTA_AERO,BR,Brazil,9.867
BR001140016,2019,1,,-11.183,-40.467,485.0,JACOBINA,BR,Brazil,11.183
BR001848001,2019,1,24.6,-18.883,-48.217,943.0,UBERLANDIA,BR,Brazil,18.883
BR001943012,2019,1,25.26,-19.65,-43.883,837.0,LAGOA_SANTA_AIRPORT,BR,Brazil,19.65
BR001946002,2019,1,,-19.567,-46.933,1004.0,ARAXA,BR,Brazil,19.567
BR001957002,2019,1,30.54,-19.083,-57.5,141.0,CORUMBA,BR,Brazil,19.083
BR002047016,2019,1,25.2,-20.55,-47.433,1026.0,FRANCA,BR,Brazil,20.55
BR002245032,2019,1,28.18,-22.783,-45.2,537.0,GUARATINGUETA,BR,Brazil,22.783
BR002351003,2019,1,27.2,-23.333,-51.133,569.0,LONDRINA_AEROPORTO,BR,Brazil,23.333
BR002549075,2019,1,25.15,-25.417,-49.267,932.0,CURITIBA,BR,Brazil,25.417
BR002554002,2019,1,28.1,-25.733,-54.467,279.0,IGUAZU_AERO,BR,Brazil,25.733
BR002752004,2019,1,25.32,-27.117,-52.617,679.0,CHAPECO,BR,Brazil,27.117
BR002957005,2019,1,25.82,-29.783,-57.033,78.0,URUGUAIANA_AEROPOR,BR,Brazil,29.783
BR00B6-0360,2019,1,26.95,-20.417,-49.983,503.0,VOTUPORANGA,BR,Brazil,20.417
BR00C4-0630,2019,1,25.75,-21.983,-47.333,600.0,PIRASSUNUNGA,BR,Brazil,21.983
BR00C5-0040,2019,1,27.8,-21.133,-48.967,536.0,CATANDUVA,BR,Brazil,21.133
BR00D4-0750,2019,1,25.75,-22.017,-47.883,856.0,SAO_CARLOS,BR,Brazil,22.017
BR00D6-0010,2019,1,27.57,-22.317,-49.117,617.0,BAURU,BR,Brazil,22.317
BR00D8-0390,2019,1,27.4,-22.117,-51.383,450.0,PRESIDENTE_PRUDENTE,BR,Brazil,22.117
BR00E2-0220,2019,1,25.71,-23.017,-45.567,577.0,TAUBATE,BR,Brazil,23.017
BR00E2-0320,2019,1,25.07,-23.217,-45.85,646.0,SAO_JOSE_DOS_CAMPOS,BR,Brazil,23.217
BR00E3-0070,2019,1,26.55,-23.5,-46.617,792.0,SAO_PAULO,BR,Brazil,23.5
BR00E3-0520,2019,1,26.35,-23.617,-46.65,802.0,SAO_PAULO_AEROPORT,BR,Brazil,23.617
BR00E3-1520,2019,1,28.57,-23.433,-46.467,4.0,SAO_PAULO_CUMBICA,BR,Brazil,23.433
BR00E4-1230,2019,1,25.89,-23.0,-47.133,661.0,CAMPINAS_AEROPORTO,BR,Brazil,23.0
BR027510430,2019,1,27.85,-2.533,-44.3,51.0,SAO_LUIZ,BR,Brazil,2.533
BR027568450,2019,1,29.85,-2.917,-41.75,5.0,PARNAIBA_AEROPORTO,BR,Brazil,2.917
BR027804460,2019,1,,-4.21,-44.76,25.1,BACABAL,BR,Brazil,4.21
BR028724960,2019,1,27.95,-3.767,-38.6,26.0,FORTALEZA,BR,Brazil,3.767
BR036190520,2019,1,28.25,-5.5,-45.267,153.0,BARRA_DO_CORDA,BR,Brazil,5.5
BR036456090,2019,1,26.3,-7.333,-47.467,193.0,CAROLINA,BR,Brazil,7.333
BR037041370,2019,1,28.2,-5.05,-42.817,67.0,TERESINA_AEROPORTO,BR,Brazil,5.05
BR037335980,2019,1,27.9,-6.767,-43.017,127.0,FLORIANO,BR,Brazil,6.767
BR037897030,2019,1,,-9.383,-40.483,370.0,PETROLINA,BR,Brazil,9.383
BR038014410,2019,1,,-5.2,-39.3,212.0,QUIXERAMOBIM,BR,Brazil,5.2
BR038196570,2019,1,27.95,-5.767,-35.2,45.0,NATAL,BR,Brazil,5.767
BR038416420,2019,1,27.9,-7.317,-39.3,409.0,BARBALHA,BR,Brazil,7.317
BR038484280,2019,1,25.55,-7.217,-35.883,502.0,CAMPINA_GRANDE,BR,Brazil,7.217
BR038837530,2019,1,,-9.4,-38.217,269.0,PAULO_AFONSO,BR,Brazil,9.4
BR038983570,2019,1,26.35,-9.517,-35.783,118.0,MACEIO_AEROPORTO,BR,Brazil,9.517
BR039402250,2019,1,27.06,-7.1,-34.867,66.0,JOAO_PESSOA,BR,Brazil,7.1
BR047403040,2019,1,27.45,-12.15,-45.0,439.0,BARREIRAS,BR,Brazil,12.15
BR047571250,2019,1,25.6,-12.567,-41.383,439.0,LENCOIS,BR,Brazil,12.567
BR047635180,2019,1,29.7,-13.267,-43.417,443.0,BOM_JESUS_DA_LAPA,BR,Brazil,13.267
BR048158910,2019,1,,-10.917,-37.05,5.0,ARACAJU,BR,Brazil,10.917
BR048620980,2019,1,28.05,-13.017,-38.517,51.0,SALVADOR,BR,Brazil,13.017
BR057324290,2019,1,27.0,-16.717,-43.867,668.0,MONTES_CLAROS,BR,Brazil,16.717
BR058514530,2019,1,26.45,-17.733,-39.25,3.0,CARAVELAS,BR,Brazil,17.733
BRM00082024,2019,1,30.3,2.817,-60.65,90.0,BOA_VISTA,BR,Brazil,2.817
BRM00082098,2019,1,27.35,0.051,-51.072,17.1,MACAPA,BR,Brazil,0.051
BRM00082106,2019,1,27.35,-0.133,-67.083,90.0,SAO_GABRIEL_DA_CACH,BR,Brazil,0.133
BRM00082113,2019,1,28.3,-0.981,-62.92,34.1,BARCELOS,BR,Brazil,0.981
BRM00082191,2019,1,27.6,-1.45,-48.467,10.0,BELEM,BR,Brazil,1.45
BRM00082193,2019,1,26.75,-1.379,-48.476,16.5,VAL_DE_CANS_INTL,BR,Brazil,1.379
BRM00082212,2019,1,26.8,-2.533,-66.167,56.0,FONTE_BOA,BR,Brazil,2.533
BRM00082246,2019,1,25.9,-2.633,-54.95,176.0,BELTERRA,BR,Brazil,2.633
BRM00082331,2019,1,27.95,-3.133,-60.017,72.0,MANAUS,BR,Brazil,3.133
BRM00082336,2019,1,,-3.127,-58.481,43.3,ITACOATIARA,BR,Brazil,3.127
BRM00082410,2019,1,26.55,-4.383,-70.033,65.0,BENJAMIN_CONSTANT,BR,Brazil,4.383
BRM00082445,2019,1,28.05,-4.267,-55.983,45.0,ITAITUBA,BR,Brazil,4.267
BRM00082533,2019,1,27.85,-5.811,-61.278,53.0,MANICORE,BR,Brazil,5.811
BRM00082562,2019,1,27.3,-5.369,-49.138,108.8,MARABA,BR,Brazil,5.369
BRM00082723,2019,1,27.4,-7.25,-64.833,60.0,LABREA,BR,Brazil,7.25
BRM00082791,2019,1,,-7.017,-37.267,249.0,PATOS,BR,Brazil,7.017
BRM00082900,2019,1,27.0,-8.05,-34.917,7.0,RECIFE,BR,Brazil,8.05
BRM00082915,2019,1,,-9.967,-67.8,160.0,RIO_BRANCO,BR,Brazil,9.967
BRM00083064,2019,1,28.25,-10.717,-48.583,239.0,PORTO_NACIONAL,BR,Brazil,10.717
