measuredate,stationid,avgtemp,latitude,longitude,elevation,station,countryid,country
1956-05-01,IN012141800,35.65,21.1,79.05,310.0,NAGPUR_SONEGAON,IN,India
1970-05-01,MLM00061226,35.4,16.248,-0.005,265.2,GAO,ML,Mali
1891-06-01,INXLT131334,35.51,25.03,79.48,231.0,NOWGONG,IN,India
2012-05-01,MLM00061257,35.7,14.482000000000001,-11.44,51.5,KAYES_DAG_DAG,ML,Mali
1911-01-01,CA004062580,-36.91,59.3333,-107.1667,210.0,FOND_DU_LAC,CA,Canada
2010-05-01,AYM00089108,-51.42,-89.0,-1.0170000000000001,2755.0,HENRY,AY,Antarctica
1960-12-01,RSM00024641,-37.42,63.7831,121.6167,110.0,VILJUJSK,RS,Russia
1968-06-01,SU000062650,35.03,19.167,30.483,226.0,DONGOLA,SU,Sudan
1961-11-01,RSM00024266,-36.17,67.5667,133.4,136.0,VERHOJANSK,RS,Russia
1957-07-01,PKXLT024011,37.9,29.55,67.88,134.0,SIBI,PK,Pakistan
1961-01-01,RSM00024966,-45.59,60.3831,134.4497,169.0,UST_MAJA,RS,Russia
1997-12-01,RSM00024343,-35.43,66.7667,123.4,88.0,ZHIGANSK,RS,Russia
2018-05-01,AYM00089376,-37.55,-79.983,-178.6,55.0,GILL,AY,Antarctica
2013-07-01,USC00021050,36.72,35.1411,-114.5686,161.8,BULLHEAD_CITY,US,United States
1941-02-01,RSM00024125,-40.38,68.5,112.4331,217.0,OLENEK,RS,Russia
2011-07-01,USW00053139,37.38,36.6019,-117.145,25.6,STOVEPIPE_WELLS_1_SW,US,United States
1997-07-01,USC00046699,34.55,34.2903,-114.1708,224.9,PARKER_RSVR,US,United States
1959-12-01,RSM00024639,-36.52,63.283,118.333,119.0,NJURBA,RS,Russia
1999-10-01,AYM00089606,-59.05,-78.45,106.867,3488.0,VOSTOK,AY,Antarctica
2005-12-01,RSM00024871,-35.37,61.867,135.5,141.0,OHOTSKIJPEREVOZ,RS,Russia
1981-07-01,AGM00060602,35.24,30.133000000000003,-2.167,505.0,BENI_ABBES,AG,Algeria
1998-02-01,RSM00024382,-37.53,66.45,143.2297,195.0,UST_MOMA,RS,Russia
1985-01-01,RSM00024643,-44.16,63.95,124.83,76.0,HATYRYK_HOMO,RS,Russia
2015-05-01,IN017121000,34.51,21.916999999999998,84.083,230.0,JHARSUGUDA,IN,India
1965-12-01,RSXLT854187,-35.59,70.6667,154.15,2.0,ALAZEYA,RS,Russia
2017-07-01,USR0000AHAV,35.47,34.7872,-114.5617,144.8,HAVASU_ARIZONA,US,United States
2010-03-01,AYM00089108,-47.83,-89.0,-1.0170000000000001,2755.0,HENRY,AY,Antarctica
1992-11-01,RSM00024266,-40.56,67.5667,133.4,136.0,VERHOJANSK,RS,Russia
2013-08-01,QAM00041170,35.3,25.261,51.565,10.7,DOHA_INTL,QA,Qatar
