measuredate,stationid,avgtemp,latitude,longitude,elevation,station,countryid,country
2019-06-01,SU000062641,36.5,19.583,37.217,42.0,PORT_SUDAN,SU,Sudan
1962-08-01,EG000062414,35.01,23.9667,32.7831,200.0,ASSWAN,EG,Egypt
1918-07-01,PKXLT869883,34.49,32.0,71.08,175.0,DERA_ISMAIL_KHAN,PK,Pakistan
2009-04-01,NGM00061099,34.47,11.883,3.45,202.0,GAYA,NG,Niger
2019-04-01,AYM00089799,-55.85,-89.0,89.667,2935.0,NICO,AY,Antarctica
1946-02-01,CA002400600,-37.21,69.1,-105.1333,31.0,CAMBRIDGE_BAY_A,CA,Canada
1989-03-01,AYXLT139919,-53.45,-74.5,123.0,3280.0,DOME_C,AY,Antarctica
2001-05-01,MUM00041262,35.48,22.35,56.483000000000004,170.0,FAHUD_AUT,MU,Oman
1949-05-01,CD000004753,34.85,18.0,19.17,234.0,FAYA,CD,Chad
1904-07-01,USW00023179,34.84,34.7675,-114.6189,271.3,NEEDLES_AP,US,United States
1969-01-01,MG000044212,-38.62,49.8,92.08,936.0,ULAAN_GOM,MG,Mongolia
1997-07-01,AYM00089828,-65.57,-75.117,123.367,3250.0,DOME_C_II,AY,Antarctica
1985-05-01,MLXLT037265,36.0,14.4,-11.4,47.0,KAYESMALIKAYE,ML,Mali
1942-06-01,AGXLT750989,36.5,27.0,1.1,290.0,AOULEF_ALGERIA,AG,Algeria
1955-01-01,RSM00024343,-34.82,66.7667,123.4,88.0,ZHIGANSK,RS,Russia
1984-04-01,MLM00061257,35.52,14.482000000000001,-11.44,51.5,KAYES_DAG_DAG,ML,Mali
1998-11-01,RSM00024606,-35.2,63.58,103.97,209.0,KISLOKAN,RS,Russia
2003-04-01,CD000004700,34.86,12.13,15.03,295.0,NDJAMENA,CD,Chad
1997-05-01,MLXLT037265,34.8,14.4,-11.4,47.0,KAYESMALIKAYE,ML,Mali
1939-02-01,CA002300707,-35.7,63.35,-90.7333,10.0,CHESTERFIELD_INLET_A,CA,Canada
1973-02-01,RSM00024136,-34.99,68.62,118.33,78.0,SUHANA,RS,Russia
2015-05-01,IN019070100,34.9,28.0,73.3,224.0,BIKANER,IN,India
2018-02-01,CA002403206,-35.4,72.6833,-77.9667,62.0,POND_INLET,CA,Canada
2011-07-01,AEM00041218,37.16,24.261999999999997,55.608999999999995,264.9,AL_AIN_INTL,AE,United Arab Emirates
1986-01-01,RSM00024343,-40.61,66.7667,123.4,88.0,ZHIGANSK,RS,Russia
2016-06-01,IN011150300,34.98,26.233,78.25,207.0,GWALIOR,IN,India
1971-06-01,PKXLT416671,35.7,27.7,68.87,67.0,SUKKUR,PK,Pakistan
1966-02-01,RSXLT306544,-35.68,67.33,168.23,9999.0,ILIRNEJ,RS,Russia
1996-12-01,RSM00024136,-41.62,68.62,118.33,78.0,SUHANA,RS,Russia
1970-12-01,RSM00025703,-36.97,62.9167,152.4167,206.0,SEJMCHAN,RS,Russia
1976-07-01,SA000040438,36.52,24.7,46.733000000000004,620.0,RIYADH_OBS_OAP,SA,Saudi Arabia
1960-01-01,RSM00030484,-38.78,55.43,120.55,526.0,SREDNJAJA_OLEKMA,RS,Russia
2003-01-01,RSM00024371,-37.95,66.8,136.68,274.0,UST_CHARKY,RS,Russia
1997-08-01,AEM00041217,34.6,24.433000000000003,54.651,26.8,ABU_DHABI_INTL,AE,United Arab Emirates
1951-02-01,RSM00024507,-42.0,64.2667,100.2331,188.0,TURA,RS,Russia
1996-05-01,SU000062600,34.68,21.82,31.35,190.0,WADI_HALFA,SU,Sudan
2002-07-01,LY000062124,34.84,27.02,14.45,432.0,SEBHA,LY,Libya
2004-06-01,MUM00041304,34.99,18.133,55.183,273.0,MARMUL,MU,Oman
1939-02-01,RSM00024382,-38.24,66.45,143.2297,195.0,UST_MOMA,RS,Russia
2018-05-01,AYM00089577,-64.79,-80.37,77.37,4084.0,DOME_PLATEAU_DOME_A,AY,Antarctica
1969-01-01,RSM00031062,-37.82,59.77,137.6697,380.0,YUGARENOK,RS,Russia
1947-01-01,MG000044212,-35.38,49.8,92.08,936.0,ULAAN_GOM,MG,Mongolia
2001-12-01,RSM00024871,-35.82,61.867,135.5,141.0,OHOTSKIJPEREVOZ,RS,Russia
2014-08-01,SAM00040420,38.3,25.285,49.485,179.2,AL_AHSA,SA,Saudi Arabia
2005-03-01,NGM00061099,34.75,11.883,3.45,202.0,GAYA,NG,Niger
2017-08-01,AEM00041194,37.45,25.255,55.364,10.4,DUBAI_INTL,AE,United Arab Emirates
1969-01-01,RSM00030555,-35.53,54.6167,113.1331,1315.0,TROICKIJ_PRIISK,RS,Russia
2007-06-01,KU000405820,37.35,29.221999999999998,47.966,48.0,KUWAIT_INTERNATIONA,KU,Kuwait
1942-07-01,USC00024977,34.84,33.4992,-112.3631,317.0,LITCHFIELD_PARK,US,United States
2001-01-01,RSM00024802,-36.93,61.7,102.7,357.0,STRELKA_CHUNJA,RS,Russia
2005-09-01,AYM00089734,-61.48,-77.317,39.7,3810.0,DOME_FUJI,AY,Antarctica
1987-07-01,SUM00062700,35.5,16.7,33.4333,360.0,SHENDI,SU,Sudan
1958-12-01,RSM00025428,-36.1,65.23,160.53,260.0,OMOLON,RS,Russia
1969-02-01,CA002402600,-36.2,78.7833,-103.5333,25.0,ISACHSEN,CA,Canada
1960-07-01,IZXLT018290,36.52,34.3,45.4,201.0,KHANAQIN_IRAQ,IZ,Iraq
1976-06-01,MR000001498,35.27,16.63,-11.4,110.0,KIFFA,MR,Mauritania
1960-08-01,USC00042319,38.36,36.4622,-116.8669,-59.1,DEATH_VALLEY,US,United States
2004-12-01,RSM00025703,-37.65,62.9167,152.4167,206.0,SEJMCHAN,RS,Russia
2012-04-01,NG000001096,34.8,13.23,11.98,357.0,MAINE_SORDA,NG,Niger
1980-07-01,ER000063043,36.38,13.067,42.717,14.0,ASSAB,ER,Eritrea
1971-12-01,RSM00025325,-35.38,66.55,159.42,127.0,UST_OLOJ,RS,Russia
2018-07-01,AGM00060620,39.95,27.838,-0.18600000000000003,280.1,TOUAT_CHEIKH_SIDI_MOHAMED_BEL,AG,Algeria
1952-12-01,RSM00024105,-39.59,68.47,102.37,272.0,ESSEJ,RS,Russia
2005-01-01,RSM00024966,-40.09,60.3831,134.4497,169.0,UST_MAJA,RS,Russia
1983-02-01,RSM00024671,-38.88,63.95,135.87,399.0,TOMPO,RS,Russia
1973-03-01,CA002401200,-40.26,79.9833,-85.9333,10.0,EUREKA,CA,Canada
1978-07-01,IZM00040608,35.5,36.32,43.15,223.0,MOSUL,IZ,Iraq
1993-07-01,MR000061421,35.98,20.517,-13.067,224.0,ATAR,MR,Mauritania
1976-02-01,RSM00021921,-41.49,70.68,127.4,30.0,KJUSJUR,RS,Russia
1990-12-01,RSM00024768,-36.88,62.033,132.6,186.0,CURAPCA,RS,Russia
1943-12-01,RSM00024266,-48.18,67.5667,133.4,136.0,VERHOJANSK,RS,Russia
2007-11-01,AYW00090001,-38.64,-90.0,0.0,9999.0,AMUNDSEN_SCOTT,AY,Antarctica
2009-08-01,SUM00062660,35.18,18.55,31.85,249.0,KARIMA,SU,Sudan
1968-09-01,AYW00068201,-42.87,-80.0167,-119.5333,1543.2,BYRD_STN,AY,Antarctica
1966-03-01,AYM00089606,-54.35,-78.45,106.867,3488.0,VOSTOK,AY,Antarctica
2015-12-01,RSM00024768,-36.76,62.033,132.6,186.0,CURAPCA,RS,Russia
2006-08-01,SU000062640,36.3,19.533,33.317,312.0,ABU_HAMED,SU,Sudan
2016-07-01,USW00023169,35.2,36.0719,-115.1633,649.5,LAS_VEGAS_MCCARRAN_AP,US,United States
2017-06-01,SAM00041140,34.8,16.901,42.586000000000006,6.1,KING_ABDULLAH_BIN_ABDULAZIZ,SA,Saudi Arabia
1980-04-01,AYXLT433578,-35.7,-70.7,44.29,2260.0,MIZUHO,AY,Antarctica
1951-06-01,MLM00061226,35.31,16.248,-0.005,265.2,GAO,ML,Mali
2019-09-01,SUM00062660,35.4,18.55,31.85,249.0,KARIMA,SU,Sudan
1993-08-01,AYM00089606,-70.7,-78.45,106.867,3488.0,VOSTOK,AY,Antarctica
2018-09-01,AYM00089606,-63.35,-78.45,106.867,3488.0,VOSTOK,AY,Antarctica
1998-05-01,NG000001080,34.73,13.47,7.08,388.0,MARADI,NG,Niger
1970-07-01,IRM00040831,35.91,30.371,48.228,3.0,ABADAN,IR,Iran
2018-08-01,USC00264439,34.93,36.0469,-115.1847,693.4,LAS_VEGAS_WFO,US,United States
1984-01-01,RSM00031054,-35.05,59.183,135.15,212.0,UST_JUDOMA,RS,Russia
2007-06-01,MUM00041244,35.7,24.233,55.783,299.0,BURAIMI_AUT,MU,Oman
1963-08-01,SUM00062660,34.98,18.55,31.85,249.0,KARIMA,SU,Sudan
1938-07-01,IZXLT018290,36.15,34.3,45.4,201.0,KHANAQIN_IRAQ,IZ,Iraq
2010-01-01,RSM00024790,-36.46,62.78,148.17,646.0,SUSUMAN,RS,Russia
2001-06-01,PKM00041715,36.6,28.284000000000002,68.45,56.4,SHAHBAZ_AB,PK,Pakistan
1971-08-01,IZM00040680,35.0,31.85,47.17,9.0,AMARAH,IZ,Iraq
1979-07-01,PKXLT245085,35.3,28.4,68.3,57.0,JACOBABAD,PK,Pakistan
2001-06-01,SA000040438,35.3,24.7,46.733000000000004,620.0,RIYADH_OBS_OAP,SA,Saudi Arabia
1947-12-01,RSM00025621,-38.01,64.0,158.92,682.0,KEDON,RS,Russia
1993-07-01,MUM00041268,35.17,22.533,59.483000000000004,14.0,SUR,MU,Oman
1993-03-01,CA002401200,-36.55,79.9833,-85.9333,10.0,EUREKA,CA,Canada
2007-07-01,MUM00041255,36.7,22.866999999999997,57.55,462.0,NIZWA,MU,Oman
2012-08-01,USW00023158,34.73,33.6186,-114.7142,120.4,BLYTHE_AP,US,United States
2001-07-01,MUM00041304,35.26,18.133,55.183,273.0,MARMUL,MU,Oman
1957-12-01,RSM00025138,-37.11,68.12,164.17,98.0,OSTROVNOE,RS,Russia
1981-02-01,RSM00024371,-35.38,66.8,136.68,274.0,UST_CHARKY,RS,Russia
1965-02-01,CA002300707,-36.3,63.35,-90.7333,10.0,CHESTERFIELD_INLET_A,CA,Canada
1988-01-01,RSM00024966,-42.61,60.3831,134.4497,169.0,UST_MAJA,RS,Russia
1998-02-01,RSM00025325,-35.71,66.55,159.42,127.0,UST_OLOJ,RS,Russia
1938-01-01,RSM00024959,-40.87,62.0167,129.7167,98.0,JAKUTSK,RS,Russia
1993-05-01,MLM00061233,36.44,15.167,-7.2829999999999995,265.0,NARA_KEIBANE,ML,Mali
1931-05-01,IN023011900,34.9,27.1667,78.0333,168.0,AGRA,IN,India
2010-08-01,KU000405820,38.2,29.221999999999998,47.966,48.0,KUWAIT_INTERNATIONA,KU,Kuwait
1952-02-01,RSM00024966,-40.64,60.3831,134.4497,169.0,UST_MAJA,RS,Russia
2015-05-01,SAM00041030,35.2,21.483,39.833,310.0,MAKKAH_MECCA,SA,Saudi Arabia
1969-07-01,USW00023195,34.64,32.6667,-114.6,62.8,YUMA_WSO_AP,US,United States
2010-07-01,AYM00089329,-34.85,-83.0,-121.383,945.0,HARRY,AY,Antarctica
1990-01-01,CA002403854,-34.97,69.55,-93.5833,27.0,TALOYOAK_A,CA,Canada
2018-09-01,AYW00090001,-62.4,-90.0,0.0,9999.0,AMUNDSEN_SCOTT,AY,Antarctica
1966-03-01,GLE00147401,-35.64,81.6,-16.6497,36.0,STATION_NORD,GL,Greenland [Denmark]
1994-07-01,QAM00041170,35.58,25.261,51.565,10.7,DOHA_INTL,QA,Qatar
1952-02-01,RSM00024266,-45.83,67.5667,133.4,136.0,VERHOJANSK,RS,Russia
1977-04-01,AYXLT433578,-39.0,-70.7,44.29,2260.0,MIZUHO,AY,Antarctica
1965-12-01,RSM00030471,-38.03,55.87,117.37,748.0,SREDNIJ_KALAR,RS,Russia
1999-02-01,AYM00089799,-38.49,-89.0,89.667,2935.0,NICO,AY,Antarctica
1998-01-01,RSM00024606,-39.12,63.58,103.97,209.0,KISLOKAN,RS,Russia
2015-08-01,AYM00089873,-35.0,-83.133,174.167,60.0,ELAINE,AY,Antarctica
2012-03-01,AYM00089108,-49.55,-89.0,-1.0170000000000001,2755.0,HENRY,AY,Antarctica
1979-06-01,AGM00060630,34.94,27.233,2.5,269.0,IN_SALAH,AG,Algeria
1951-01-01,RSM00024136,-42.24,68.62,118.33,78.0,SUHANA,RS,Russia
1955-06-01,AGXLT750989,36.2,27.0,1.1,290.0,AOULEF_ALGERIA,AG,Algeria
1987-09-01,SU000062640,35.54,19.533,33.317,312.0,ABU_HAMED,SU,Sudan
1979-02-01,USW00026412,-37.61,62.9614,-141.9292,522.1,NORTHWAY_AP,US,United States
2008-06-01,AGM00060620,35.5,27.838,-0.18600000000000003,280.1,TOUAT_CHEIKH_SIDI_MOHAMED_BEL,AG,Algeria
1910-08-01,USW00023179,34.64,34.7675,-114.6189,271.3,NEEDLES_AP,US,United States
1989-09-01,SA000040430,34.74,24.55,39.7,636.0,AL_MADINAH,SA,Saudi Arabia
1994-07-01,USC00268588,35.54,36.4303,-114.5139,609.6,VALLEY_OF_FIRE_SP,US,United States
1968-12-01,RSM00024329,-43.2,66.25,114.28,233.0,SELAGONCY,RS,Russia
2002-08-01,KU000405820,38.95,29.221999999999998,47.966,48.0,KUWAIT_INTERNATIONA,KU,Kuwait
1941-05-01,IN012021700,36.06,20.7,77.067,305.0,AKOLA,IN,India
1977-06-01,MR000061450,34.91,18.567,-11.433,402.0,TIDJIKJA,MR,Mauritania
1938-12-01,RSM00025138,-35.35,68.12,164.17,98.0,OSTROVNOE,RS,Russia
1977-05-01,MR000001498,34.78,16.63,-11.4,110.0,KIFFA,MR,Mauritania
1998-08-01,AGM00060656,36.12,27.7,-8.167,442.9,TINDOUF,AG,Algeria
