locationid,year,month,temperature,latitude,longitude,elevation,station,countryid,country,latabs
MX000003035,2019,1,19.45,26.017,-111.333,7.0,LORETO,MX,Mexico,26.017
MX000003068,2019,1,18.1,24.95,-111.7,48.0,CIUDAD_CONSTITUCION,MX,Mexico,24.95
MX000003074,2019,1,20.05,24.167,-110.3,18.0,LA_PAZ_CITY,MX,Mexico,24.167
MX000005047,2019,1,13.75,26.883,-101.433,615.0,MONCLOVA,MX,Mexico,26.883
MX000005048,2019,1,13.1,25.367,-101.017,1790.0,SALTILLO,MX,Mexico,25.367
MX000008142,2019,1,7.0,28.95,-107.817,1932.0,TEMOSACHIC,MX,Mexico,28.95
MX000008184,2019,1,8.05,30.367,-107.95,1487.0,NUEVA_CASAS_GRANDES,MX,Mexico,30.367
MX000014066,2019,1,16.6,20.72,-103.38,1583.0,GUADALAJARA,MX,Mexico,20.72
MX000016144,2019,1,18.05,20.0,-102.28,1540.0,ZAMORA,MX,Mexico,20.0
MX000017004,2019,1,19.05,18.883,-99.233,1618.0,CUERNAVACA,MX,Mexico,18.883
MX000023003,2019,1,22.8,19.7,-87.9,12.0,FELIPE_CARRILLO_PUE,MX,Mexico,19.7
MX000025017,2019,1,19.6,26.733,-108.283,238.0,CHOIX,MX,Mexico,26.733
MX000028116,2019,1,11.4,23.733,-99.133,355.0,CIUDAD_VICTORIA,MX,Mexico,23.733
MX000029030,2019,1,13.75,19.32,-98.23,2240.0,XICOHTENCATL,MX,Mexico,19.32
MX000076393,2019,1,15.8,25.733,-100.3,515.0,MONTERREY_CITY,MX,Mexico,25.733
MX000076458,2019,1,22.1,23.2,-106.417,4.0,COLONIA_JUAN_CARRAS,MX,Mexico,23.2
MX000076577,2019,1,15.8,21.0,-101.283,1999.0,GUANAJUATO,MX,Mexico,21.0
MX000076644,2019,1,23.7,20.983,-89.65,9.0,AEROPINTERNACIONAL,MX,Mexico,20.983
MX000076654,2019,1,27.15,19.05,-104.317,3.0,MANZANILLO,MX,Mexico,19.05
