locationid,year,month,temperature,latitude,longitude,elevation,station,countryid,country,latabs
IN001020700,2019,1,24.09,14.583,77.633,364.0,PBO_ANANTAPUR,IN,India,14.583
IN001050200,2019,1,24.22,16.95,82.233,8.0,KAKINADA,IN,India,16.95
IN001080500,2019,1,21.9,17.45,78.47,527.0,BEGUMPETOBSY,IN,India,17.45
IN001090500,2019,1,21.12,18.767,79.433,156.0,RAMGUNDAM,IN,India,18.767
IN001111200,2019,1,24.85,16.2,81.15,3.0,MACHILIPATNAM,IN,India,16.2
IN001120100,2019,1,24.12,15.8,78.067,281.0,KURNOOL,IN,India,15.8
IN001160200,2019,1,24.73,14.45,79.983,20.0,NELLORE,IN,India,14.45
IN001200200,2019,1,22.2,17.717,83.233,3.0,VISHAKHAPATNAM,IN,India,17.717
IN003020100,2019,1,18.66,26.617,92.783,79.0,TEZPUR,IN,India,26.617
IN003041800,2019,1,18.2,26.1,91.583,54.0,GAUHATI,IN,India,26.1
IN003050401,2019,1,19.92,27.233,94.117,102.0,NORTH_LAKHIMPUR,IN,India,27.233
IN003050500,2019,1,17.8,27.483,95.017,111.0,DIBRUGARH_MOHANBAR,IN,India,27.483
IN004051800,2019,1,14.82,24.75,84.95,116.0,GAYA,IN,India,24.75
IN004091000,2019,1,16.9,24.05,84.067,221.0,DALTONGANJ,IN,India,24.05
IN004102500,2019,1,15.32,25.6,85.1,60.0,PATNA,IN,India,25.6
IN004122600,2019,1,16.26,23.317,85.317,652.0,MO_RANCHI,IN,India,23.317
IN005010600,2019,1,19.5,23.067,72.633,55.0,AHMADABAD,IN,India,23.067
IN005090100,2019,1,21.6,22.3667,69.0833,10.0,DWARKA,IN,India,22.3667
IN005100100,2019,1,22.25,20.9,70.367,8.0,VERAVAL,IN,India,20.9
IN005120501,2019,1,20.61,23.25,69.667,80.0,BHUJ_RUDRAMATA,IN,India,23.25
IN005150100,2019,1,20.87,22.3,70.783,138.0,RAJKOT,IN,India,22.3
IN005171200,2019,1,21.51,21.2,72.833,12.0,SURAT,IN,India,21.2
IN006012800,2019,1,12.87,30.383,76.767,272.0,AMBALA,IN,India,30.383
IN006031000,2019,1,12.36,29.167,75.733,221.0,HISSAR,IN,India,29.167
IN007101600,2019,1,7.37,31.1,77.167,2202.0,SHIMLA,IN,India,31.1
IN008010200,2019,1,1.95,34.083,74.833,1587.0,SRINAGAR,IN,India,34.083
IN009010100,2019,1,22.2,12.967,77.583,921.0,BANGALORE,IN,India,12.967
IN009012800,2019,1,21.63,12.95,77.633,897.0,BANGALORE_HINDUSTAN,IN,India,12.95
IN009021000,2019,1,21.15,15.85,74.617,747.0,BELGAUM_SAMBRA,IN,India,15.85
IN009070100,2019,1,22.58,14.233,76.433,733.0,CHITRADURGA,IN,India,14.233
IN009090300,2019,1,22.75,15.417,75.633,650.0,GADAG,IN,India,15.417
IN009120400,2019,1,25.1,14.283,74.45,9.0,HONAVAR,IN,India,14.283
IN009130300,2019,1,26.7,12.917,74.883,102.0,MANGALORE_BAJPE,IN,India,12.917
