locationid,year,month,temperature,latitude,longitude,elevation,station,countryid,country,latabs
CM000004910,2019,1,28.85,4.02,9.72,13.0,DOUALA,CM,Cameroon,4.02
CM000064870,2019,1,23.09,7.35,13.567,1104.0,NGAOUNDERE,CM,Cameroon,7.35
CMM00064851,2019,1,28.6,10.451,14.257,424.0,SALAK,CM,Cameroon,10.451
CMM00064860,2019,1,27.5,9.336,13.37,242.0,GAROUA,CM,Cameroon,9.336
CM000004910,2019,2,28.53,4.02,9.72,13.0,DOUALA,CM,Cameroon,4.02
CM000064870,2019,2,25.0,7.35,13.567,1104.0,NGAOUNDERE,CM,Cameroon,7.35
CMM00064851,2019,2,30.68,10.451,14.257,424.0,SALAK,CM,Cameroon,10.451
CMM00064860,2019,2,29.42,9.336,13.37,242.0,GAROUA,CM,Cameroon,9.336
CM000004910,2019,3,28.4,4.02,9.72,13.0,DOUALA,CM,Cameroon,4.02
CM000064870,2019,3,27.8,7.35,13.567,1104.0,NGAOUNDERE,CM,Cameroon,7.35
CMM00064851,2019,3,36.0,10.451,14.257,424.0,SALAK,CM,Cameroon,10.451
CMM00064860,2019,3,35.62,9.336,13.37,242.0,GAROUA,CM,Cameroon,9.336
CM000004910,2019,4,,4.02,9.72,13.0,DOUALA,CM,Cameroon,4.02
CM000064870,2019,4,,7.35,13.567,1104.0,NGAOUNDERE,CM,Cameroon,7.35
CMM00064851,2019,4,,10.451,14.257,424.0,SALAK,CM,Cameroon,10.451
CMM00064860,2019,4,,9.336,13.37,242.0,GAROUA,CM,Cameroon,9.336
CM000004910,2019,5,,4.02,9.72,13.0,DOUALA,CM,Cameroon,4.02
CM000064870,2019,5,,7.35,13.567,1104.0,NGAOUNDERE,CM,Cameroon,7.35
CMM00064851,2019,5,,10.451,14.257,424.0,SALAK,CM,Cameroon,10.451
CMM00064860,2019,5,,9.336,13.37,242.0,GAROUA,CM,Cameroon,9.336
CM000004910,2019,6,26.52,4.02,9.72,13.0,DOUALA,CM,Cameroon,4.02
CM000064870,2019,6,23.17,7.35,13.567,1104.0,NGAOUNDERE,CM,Cameroon,7.35
CMM00064851,2019,6,31.37,10.451,14.257,424.0,SALAK,CM,Cameroon,10.451
CMM00064860,2019,6,30.11,9.336,13.37,242.0,GAROUA,CM,Cameroon,9.336
CM000004910,2019,7,26.0,4.02,9.72,13.0,DOUALA,CM,Cameroon,4.02
CM000064870,2019,7,22.17,7.35,13.567,1104.0,NGAOUNDERE,CM,Cameroon,7.35
CMM00064851,2019,7,,10.451,14.257,424.0,SALAK,CM,Cameroon,10.451
CMM00064860,2019,7,28.1,9.336,13.37,242.0,GAROUA,CM,Cameroon,9.336
CM000004910,2019,8,25.75,4.02,9.72,13.0,DOUALA,CM,Cameroon,4.02
CM000064870,2019,8,21.87,7.35,13.567,1104.0,NGAOUNDERE,CM,Cameroon,7.35
CMM00064851,2019,8,,10.451,14.257,424.0,SALAK,CM,Cameroon,10.451
CMM00064860,2019,8,27.12,9.336,13.37,242.0,GAROUA,CM,Cameroon,9.336
CM000004910,2019,9,26.65,4.02,9.72,13.0,DOUALA,CM,Cameroon,4.02
CM000064870,2019,9,22.18,7.35,13.567,1104.0,NGAOUNDERE,CM,Cameroon,7.35
CMM00064851,2019,9,,10.451,14.257,424.0,SALAK,CM,Cameroon,10.451
CMM00064860,2019,9,27.66,9.336,13.37,242.0,GAROUA,CM,Cameroon,9.336
CM000004910,2019,10,27.15,4.02,9.72,13.0,DOUALA,CM,Cameroon,4.02
CM000064870,2019,10,21.9,7.35,13.567,1104.0,NGAOUNDERE,CM,Cameroon,7.35
CMM00064851,2019,10,,10.451,14.257,424.0,SALAK,CM,Cameroon,10.451
CMM00064860,2019,10,27.81,9.336,13.37,242.0,GAROUA,CM,Cameroon,9.336
CM000004910,2019,11,29.3,4.02,9.72,13.0,DOUALA,CM,Cameroon,4.02
CM000064870,2019,11,23.91,7.35,13.567,1104.0,NGAOUNDERE,CM,Cameroon,7.35
CMM00064851,2019,11,,10.451,14.257,424.0,SALAK,CM,Cameroon,10.451
CMM00064860,2019,11,29.46,9.336,13.37,242.0,GAROUA,CM,Cameroon,9.336
CM000004910,2019,12,28.45,4.02,9.72,13.0,DOUALA,CM,Cameroon,4.02
CM000064870,2019,12,22.83,7.35,13.567,1104.0,NGAOUNDERE,CM,Cameroon,7.35
CMM00064851,2019,12,,10.451,14.257,424.0,SALAK,CM,Cameroon,10.451
CMM00064860,2019,12,26.78,9.336,13.37,242.0,GAROUA,CM,Cameroon,9.336
