iso_code,lastdate,location,total_cases,total_deaths,total_cases_pm,total_deaths_pm,population,pop_density,median_age,gdp_per_capita,hosp_beds
AFG,2020-06-01,Afghanistan,15205,257,390.589,6.602,38928341.0,54.422,18.6,1803.987,0.5
ALB,2020-06-01,Albania,1137,33,395.093,11.467,2877800.0,104.871,38.0,11803.431,2.89
DZA,2020-06-01,Algeria,9394,653,214.225,14.891,43851043.0,17.348,29.1,13913.839,1.9
AND,2020-06-01,Andorra,764,51,9888.048,660.066,77265.0,163.755,,,
AGO,2020-06-01,Angola,86,4,2.617,0.122,32866268.0,23.89,16.8,5819.495,
AIA,2020-06-01,Anguilla,3,0,199.973,0.0,15002.0,,,,
ATG,2020-06-01,Antigua and Barbuda,25,3,255.29,30.635,97928.0,231.845,32.1,21490.943,3.8
ARG,2020-06-01,Argentina,16838,539,372.557,11.926,45195777.0,16.177,31.9,18933.907,5.0
ARM,2020-06-01,Armenia,9282,131,3132.388,44.208,2963234.0,102.931,35.7,8787.58,4.2
ABW,2020-06-01,Aruba,101,3,945.994,28.099,106766.0,584.8,41.2,35973.781,
AUS,2020-06-01,Australia,7195,103,282.158,4.039,25499881.0,3.202,37.9,44648.71,3.84
AUT,2020-06-01,Austria,16642,668,1847.797,74.169,9006400.0,106.749,44.4,45436.686,7.37
AZE,2020-06-01,Azerbaijan,5494,63,541.859,6.214,10139175.0,119.309,32.4,15847.419,4.7
BHS,2020-06-01,Bahamas,102,11,259.378,27.972,393248.0,39.497,34.3,27717.847,2.9
BHR,2020-06-01,Bahrain,11398,19,6698.468,11.166,1701583.0,1935.907,32.4,43290.705,2.0
BGD,2020-06-01,Bangladesh,47153,650,286.315,3.947,164689383.0,1265.036,27.5,3523.984,0.8
BRB,2020-06-01,Barbados,92,7,320.144,24.359,287371.0,664.463,39.8,16978.068,5.8
BLR,2020-06-01,Belarus,42556,235,4503.604,24.87,9449321.0,46.858,40.3,17167.967,11.0
BEL,2020-06-01,Belgium,58381,9467,5037.354,816.852,11589616.0,375.564,41.8,42658.576,5.64
BLZ,2020-06-01,Belize,18,2,45.269,5.03,397621.0,16.426,25.0,7824.362,1.3
BEN,2020-06-01,Benin,232,3,19.137,0.247,12123198.0,99.11,18.8,2064.236,0.5
BMU,2020-06-01,Bermuda,140,9,2248.165,144.525,62273.0,1308.82,,50669.315,
BTN,2020-06-01,Bhutan,43,0,55.727,0.0,771612.0,21.188,28.6,8708.597,1.7
BOL,2020-06-01,Bolivia,9982,313,855.134,26.814,11673029.0,10.202,25.4,6885.829,1.1
BES,2020-06-01,Bonaire Sint Eustatius and Saba,7,0,266.962,0.0,26221.0,,,,
BIH,2020-06-01,Bosnia and Herzegovina,2509,153,764.749,46.635,3280815.0,68.496,42.5,11713.895,3.5
BWA,2020-06-01,Botswana,38,1,16.159,0.425,2351625.0,4.044,25.8,15807.374,1.8
BRA,2020-06-01,Brazil,514849,29314,2422.142,137.91,212559409.0,25.04,33.5,14103.452,2.2
VGB,2020-06-01,British Virgin Islands,8,1,264.577,33.072,30237.0,207.973,,,
BRN,2020-06-01,Brunei,141,2,322.298,4.572,437483.0,81.347,32.4,71809.251,2.7
BGR,2020-06-01,Bulgaria,2513,140,361.664,20.148,6948445.0,65.18,44.7,18563.307,7.454
BFA,2020-06-01,Burkina Faso,881,53,42.146,2.535,20903278.0,70.151,17.6,1703.102,0.4
BDI,2020-06-01,Burundi,63,1,5.298,0.084,11890781.0,423.062,17.5,702.225,0.8
KHM,2020-06-01,Cambodia,125,0,7.477,0.0,16718971.0,90.672,25.6,3645.07,0.8
CMR,2020-06-01,Cameroon,5904,191,222.408,7.195,26545864.0,50.885,18.8,3364.926,1.3
CAN,2020-06-01,Canada,90936,7295,2409.401,193.285,37742157.0,4.037,41.4,44017.591,2.5
CPV,2020-06-01,Cape Verde,435,4,782.391,7.194,555988.0,135.58,25.7,6222.554,2.1
CYM,2020-06-01,Cayman Islands,141,1,2145.466,15.216,65720.0,256.496,,49903.029,
CAF,2020-06-01,Central African Republic,1011,2,209.327,0.414,4829764.0,7.479,18.3,661.24,1.0
TCD,2020-06-01,Chad,778,65,47.364,3.957,16425859.0,11.833,16.7,1768.153,
