iso_code,lastdate,location,total_cases,total_deaths,total_cases_pm,total_deaths_pm,population,pop_density,median_age,gdp_per_capita,hosp_beds,region
AFG,2020-07-12,Afghanistan,34451.0,1010.0,884.985,25.945,38928341.0,54.422,18.6,1803.987,0.5,South Asia
ALB,2020-07-12,Albania,3371.0,89.0,1171.381,30.926,2877800.0,104.871,38.0,11803.431,2.89,Eastern Europe
DZA,2020-07-12,Algeria,18712.0,1004.0,426.717,22.896,43851043.0,17.348,29.1,13913.839,1.9,North Africa
AND,2020-07-12,Andorra,855.0,52.0,11065.812,673.008,77265.0,163.755,,,,Western Europe
AGO,2020-07-12,Angola,483.0,25.0,14.696,0.761,32866268.0,23.89,16.8,5819.495,,Central Africa
AIA,2020-07-12,Anguilla,3.0,0.0,199.973,0.0,15002.0,,,,,Western Europe
ATG,2020-07-12,Antigua and Barbuda,74.0,3.0,755.657,30.635,97928.0,231.845,32.1,21490.943,3.8,Caribbean
ARG,2020-07-12,Argentina,97509.0,1810.0,2157.48,40.048,45195777.0,16.177,31.9,18933.907,5.0,South America
ARM,2020-07-12,Armenia,31392.0,559.0,10593.831,188.645,2963234.0,102.931,35.7,8787.58,4.2,Central Asia
ABW,2020-07-12,Aruba,105.0,3.0,983.459,28.099,106766.0,584.8,41.2,35973.781,,Caribbean
AUS,2020-07-12,Australia,9553.0,107.0,374.629,4.196,25499881.0,3.202,37.9,44648.71,3.84,Oceania / Aus
AUT,2020-07-12,Austria,18795.0,706.0,2086.849,78.389,9006400.0,106.749,44.4,45436.686,7.37,Western Europe
AZE,2020-07-12,Azerbaijan,23521.0,298.0,2319.814,29.391,10139175.0,119.309,32.4,15847.419,4.7,Central Asia
BHS,2020-07-12,Bahamas,111.0,11.0,282.265,27.972,393248.0,39.497,34.3,27717.847,2.9,West Asia
BHR,2020-07-12,Bahrain,32470.0,104.0,19082.231,61.12,1701583.0,1935.907,32.4,43290.705,2.0,South Asia
BGD,2020-07-12,Bangladesh,181129.0,2305.0,1099.822,13.996,164689383.0,1265.036,27.5,3523.984,0.8,South Asia
BRB,2020-07-12,Barbados,103.0,7.0,358.422,24.359,287371.0,664.463,39.8,16978.068,5.8,Caribbean
BLR,2020-07-12,Belarus,64767.0,459.0,6854.143,48.575,9449321.0,46.858,40.3,17167.967,11.0,Eastern Europe
BEL,2020-07-12,Belgium,62606.0,9782.0,5401.905,844.031,11589616.0,375.564,41.8,42658.576,5.64,Western Europe
BLZ,2020-07-12,Belize,37.0,2.0,93.053,5.03,397621.0,16.426,25.0,7824.362,1.3,Central America
BEN,2020-07-12,Benin,1378.0,26.0,113.666,2.145,12123198.0,99.11,18.8,2064.236,0.5,West Africa
BMU,2020-07-12,Bermuda,150.0,9.0,2408.749,144.525,62273.0,1308.82,,50669.315,,Caribbean
BTN,2020-07-12,Bhutan,82.0,0.0,106.271,0.0,771612.0,21.188,28.6,8708.597,1.7,South Asia
BOL,2020-07-12,Bolivia,47200.0,1754.0,4043.509,150.261,11673029.0,10.202,25.4,6885.829,1.1,South America
BES,2020-07-12,Bonaire Sint Eustatius and Saba,7.0,0.0,266.962,0.0,26221.0,,,,,Caribbean
BIH,2020-07-12,Bosnia and Herzegovina,6402.0,216.0,1951.344,65.837,3280815.0,68.496,42.5,11713.895,3.5,Eastern Europe
BWA,2020-07-12,Botswana,314.0,1.0,133.525,0.425,2351625.0,4.044,25.8,15807.374,1.8,Southern Africa
BRA,2020-07-12,Brazil,1839850.0,71469.0,8655.698,336.231,212559409.0,25.04,33.5,14103.452,2.2,South America
VGB,2020-07-12,British Virgin Islands,8.0,1.0,264.577,33.072,30237.0,207.973,,,,Caribbean
BRN,2020-07-12,Brunei,141.0,3.0,322.298,6.857,437483.0,81.347,32.4,71809.251,2.7,East Asia
BGR,2020-07-12,Bulgaria,6672.0,262.0,960.215,37.706,6948445.0,65.18,44.7,18563.307,7.454,Eastern Europe
BFA,2020-07-12,Burkina Faso,1033.0,53.0,49.418,2.535,20903278.0,70.151,17.6,1703.102,0.4,West Africa
BDI,2020-07-12,Burundi,250.0,1.0,21.025,0.084,11890781.0,423.062,17.5,702.225,0.8,Central Africa
KHM,2020-07-12,Cambodia,156.0,0.0,9.331,0.0,16718971.0,90.672,25.6,3645.07,0.8,East Asia
CMR,2020-07-12,Cameroon,14916.0,359.0,561.895,13.524,26545864.0,50.885,18.8,3364.926,1.3,Central Africa
CAN,2020-07-12,Canada,107335.0,8773.0,2843.902,232.446,37742157.0,4.037,41.4,44017.591,2.5,North America
CPV,2020-07-12,Cape Verde,1591.0,19.0,2861.573,34.173,555988.0,135.58,25.7,6222.554,2.1,West Africa
CYM,2020-07-12,Cayman Islands,201.0,1.0,3058.43,15.216,65720.0,256.496,,49903.029,,Caribbean
CAF,2020-07-12,Central African Republic,4288.0,53.0,887.828,10.974,4829764.0,7.479,18.3,661.24,1.0,Central Africa
TCD,2020-07-12,Chad,874.0,74.0,53.209,4.505,16425859.0,11.833,16.7,1768.153,,Central Africa
CHL,2020-07-12,Chile,312029.0,6881.0,16322.745,359.956,19116209.0,24.282,35.4,22767.037,2.11,South America
CHN,2020-07-12,China,85071.0,4641.0,59.105,3.224,1439323774.0,147.674,38.7,15308.712,4.34,East Asia
COL,2020-07-12,Colombia,145362.0,5119.0,2856.796,100.604,50882884.0,44.223,32.2,13254.949,1.71,South America
COM,2020-07-12,Comoros,317.0,7.0,364.538,8.05,869595.0,437.352,20.4,1413.89,2.2,East Africa
COG,2020-07-12,Congo,2028.0,47.0,367.518,8.517,5518092.0,15.405,19.0,4881.406,,Central Africa
CRI,2020-07-12,Costa Rica,7231.0,28.0,1419.481,5.497,5094114.0,96.079,33.6,15524.995,1.13,Central America
CIV,2020-07-12,Cote d'Ivoire,12443.0,82.0,471.714,3.109,26378275.0,76.399,18.7,3601.006,,West Africa
HRV,2020-07-12,Croatia,3672.0,118.0,894.46,28.744,4105268.0,73.726,44.0,22669.797,5.54,Eastern Europe
CUB,2020-07-12,Cuba,2420.0,87.0,213.656,7.681,11326616.0,110.408,43.1,,5.2,Caribbean
CUW,2020-07-12,Curacao,25.0,1.0,152.346,6.094,164100.0,362.644,41.7,,,Caribbean
CYP,2020-07-12,Cyprus,1014.0,19.0,1157.668,21.692,875899.0,127.657,37.3,32415.132,3.4,Eastern Europe
CZE,2020-07-12,Czech Republic,13115.0,352.0,1224.673,32.87,10708982.0,137.176,43.3,32605.906,6.63,Western Europe
COD,2020-07-12,Democratic Republic of Congo,7970.0,188.0,88.989,2.099,89561404.0,35.879,17.0,808.133,,Central Africa
DNK,2020-07-12,Denmark,12946.0,609.0,2235.074,105.141,5792203.0,136.52,42.3,46682.515,2.5,Western Europe
DJI,2020-07-12,Djibouti,4955.0,56.0,5015.172,56.68,988002.0,41.285,25.4,2705.406,1.4,East Africa
DMA,2020-07-12,Dominica,18.0,0.0,250.031,0.0,71991.0,98.567,,9673.367,3.8,Caribbean
DOM,2020-07-12,Dominican Republic,48114.0,880.0,4435.327,81.122,10847904.0,222.873,27.6,14600.861,1.6,Caribbean
ECU,2020-07-12,Ecuador,67209.0,5031.0,3809.373,285.155,17643060.0,66.939,28.1,10581.936,1.5,South America
EGY,2020-07-12,Egypt,81158.0,3769.0,793.067,36.83,102334403.0,97.999,25.3,10550.206,1.6,North Africa
SLV,2020-07-12,El Salvador,9391.0,254.0,1447.843,39.16,6486201.0,307.811,27.6,7292.458,1.3,Central America
GNQ,2020-07-12,Equatorial Guinea,3071.0,51.0,2188.904,36.351,1402985.0,45.194,22.4,22604.873,2.1,Central Africa
ERI,2020-07-12,Eritrea,232.0,0.0,65.418,0.0,3546427.0,44.304,19.3,1510.459,0.7,East Africa
EST,2020-07-12,Estonia,2014.0,69.0,1518.237,52.015,1326539.0,31.033,42.7,29481.252,4.69,Eastern Europe
ETH,2020-07-12,Ethiopia,7402.0,124.0,64.386,1.079,114963583.0,104.957,19.8,1729.927,0.3,East Africa
FRO,2020-07-12,Faeroe Islands,188.0,0.0,3847.334,0.0,48865.0,35.308,,,,Western Europe
FLK,2020-07-12,Falkland Islands,13.0,0.0,3732.415,0.0,3483.0,,,,,South America
FJI,2020-07-12,Fiji,21.0,0.0,23.426,0.0,896444.0,49.562,28.6,8702.975,2.3,Oceania / Aus
FIN,2020-07-12,Finland,7279.0,329.0,1313.729,59.379,5540718.0,18.136,42.8,40585.721,3.28,Western Europe
FRA,2020-07-12,France,170752.0,30004.0,2615.946,459.666,65273512.0,122.578,42.0,38605.671,5.98,Western Europe
PYF,2020-07-12,French Polynesia,62.0,0.0,220.716,0.0,280904.0,77.324,32.7,,,Oceania / Aus
GAB,2020-07-12,Gabon,5942.0,46.0,2669.688,20.667,2225728.0,7.859,23.1,16562.413,6.3,Central Africa
GMB,2020-07-12,Gambia,64.0,3.0,26.483,1.241,2416664.0,207.566,17.5,1561.767,1.1,West Africa
GEO,2020-07-12,Georgia,986.0,15.0,247.169,3.76,3989175.0,65.032,38.7,9745.079,2.6,West Asia
DEU,2020-07-12,Germany,198804.0,9063.0,2372.817,108.171,83783945.0,237.016,46.6,45229.245,8.0,Western Europe
GHA,2020-07-12,Ghana,24248.0,135.0,780.357,4.345,31072945.0,126.719,21.1,4227.63,0.9,West Africa
GIB,2020-07-12,Gibraltar,180.0,0.0,5342.673,0.0,33691.0,3457.1,,,,Western Europe
GRC,2020-07-12,Greece,3772.0,193.0,361.89,18.517,10423056.0,83.479,45.3,24574.382,4.21,Eastern Europe
GRL,2020-07-12,Greenland,13.0,0.0,228.986,0.0,56772.0,0.137,,,,Western Europe
GRD,2020-07-12,Grenada,23.0,0.0,204.41,0.0,112519.0,317.132,29.4,13593.877,3.7,Caribbean
GUM,2020-07-12,Guam,312.0,5.0,1848.527,29.624,168783.0,304.128,31.4,,,Oceania / Aus
GTM,2020-07-12,Guatemala,28598.0,1172.0,1596.265,65.418,17915567.0,157.834,22.9,7423.808,0.6,Central America
GGY,2020-07-12,Guernsey,252.0,13.0,3758.277,193.879,67052.0,,,,,Western Europe
GIN,2020-07-12,Guinea,6044.0,37.0,460.222,2.817,13132792.0,51.755,19.0,1998.926,0.3,West Africa
GNB,2020-07-12,Guinea-Bissau,1842.0,25.0,935.977,12.703,1967998.0,66.191,19.4,1548.675,,West Africa
GUY,2020-07-12,Guyana,291.0,17.0,369.966,21.613,786559.0,3.952,26.3,7435.047,1.6,South America
HTI,2020-07-12,Haiti,6690.0,139.0,586.712,12.19,11402533.0,398.448,24.3,1653.173,0.7,Caribbean
HND,2020-07-12,Honduras,27583.0,771.0,2784.865,77.843,9904608.0,82.805,24.9,4541.795,0.7,Central America
HUN,2020-07-12,Hungary,4229.0,595.0,437.769,61.592,9660350.0,108.043,43.4,26777.561,7.02,Eastern Europe
ISL,2020-07-12,Iceland,1888.0,10.0,5532.601,29.304,341250.0,3.404,37.3,46482.958,2.91,Western Europe
IND,2020-07-12,India,849553.0,22674.0,615.616,16.43,1380004385.0,450.419,28.2,6426.674,0.53,South Asia
IDN,2020-07-12,Indonesia,74018.0,3535.0,270.609,12.924,273523621.0,145.725,29.3,11188.744,1.04,East Asia
IRN,2020-07-12,Iran,255117.0,12635.0,3037.362,150.429,83992953.0,49.831,32.4,19082.62,1.5,West Asia
IRQ,2020-07-12,Iraq,75194.0,3055.0,1869.451,75.953,40222503.0,88.125,20.0,15663.986,1.4,West Asia
IRL,2020-07-12,Ireland,25611.0,1746.0,5186.727,353.599,4937796.0,69.874,38.7,67335.293,2.96,Western Europe
IMN,2020-07-12,Isle of Man,336.0,24.0,3951.454,282.247,85032.0,147.872,,,,Western Europe
ISR,2020-07-12,Israel,37463.0,354.0,4328.21,40.899,8655541.0,402.606,30.6,33132.32,2.99,West Asia
ITA,2020-07-12,Italy,242827.0,34945.0,4016.203,577.968,60461828.0,205.859,47.9,35220.084,3.18,Western Europe
JAM,2020-07-12,Jamaica,758.0,10.0,255.981,3.377,2961161.0,266.879,31.4,8193.571,1.7,Caribbean
JPN,2020-07-12,Japan,21129.0,982.0,167.059,7.764,126476458.0,347.778,48.2,39002.223,13.05,East Asia
JEY,2020-07-12,Jersey,325.0,31.0,3215.498,306.709,101073.0,,,,,Western Europe
JOR,2020-07-12,Jordan,1176.0,10.0,115.259,0.98,10203140.0,109.285,23.2,8337.49,1.4,West Asia
KAZ,2020-07-12,Kazakhstan,58253.0,264.0,3102.408,14.06,18776707.0,6.681,30.6,24055.588,6.7,Central Asia
KEN,2020-07-12,Kenya,9726.0,184.0,180.877,3.422,53771300.0,87.324,20.0,2993.028,1.4,East Africa
XKX,2020-07-12,Kosovo,4715.0,101.0,2439.499,52.256,1932774.0,168.155,,9795.834,,Eastern Europe
KWT,2020-07-12,Kuwait,54058.0,386.0,12658.284,90.386,4270563.0,232.128,33.7,65530.537,2.0,West Asia
KGZ,2020-07-12,Kyrgyzstan,10629.0,132.0,1629.168,20.232,6524191.0,32.333,26.3,3393.474,4.5,Central Asia
LAO,2020-07-12,Laos,19.0,0.0,2.611,0.0,7275556.0,29.715,24.4,6397.36,1.5,East Asia
LVA,2020-07-12,Latvia,1173.0,30.0,621.885,15.905,1886202.0,31.212,43.9,25063.846,5.57,Eastern Europe
LBN,2020-07-12,Lebanon,2168.0,36.0,317.635,5.274,6825442.0,594.561,31.1,13367.565,2.9,West Asia
LSO,2020-07-12,Lesotho,184.0,1.0,85.891,0.467,2142252.0,73.562,22.2,2851.153,,Southern Africa
LBR,2020-07-12,Liberia,998.0,47.0,197.324,9.293,5057677.0,49.127,19.2,752.788,0.8,West Africa
LBY,2020-07-12,Libya,1389.0,38.0,202.146,5.53,6871287.0,3.623,29.0,17881.509,3.7,North Africa
LIE,2020-07-12,Liechtenstein,85.0,1.0,2228.807,26.221,38137.0,237.012,,,2.397,Western Europe
LTU,2020-07-12,Lithuania,1865.0,79.0,685.085,29.02,2722291.0,45.135,43.5,29524.265,6.56,Eastern Europe
LUX,2020-07-12,Luxembourg,4842.0,110.0,7735.121,175.726,625976.0,231.447,39.7,94277.965,4.51,Western Europe
MKD,2020-07-12,Macedonia,7967.0,375.0,3824.074,179.996,2083380.0,82.6,39.1,13111.214,4.28,Eastern Europe
MDG,2020-07-12,Madagascar,4578.0,34.0,165.324,1.228,27691019.0,43.951,19.6,1416.44,0.2,East Africa
MWI,2020-07-12,Malawi,2261.0,33.0,118.192,1.725,19129955.0,197.519,18.1,1095.042,1.3,Southern Africa
MYS,2020-07-12,Malaysia,8704.0,122.0,268.924,3.769,32365998.0,96.254,29.9,26808.164,1.9,East Asia
MDV,2020-07-12,Maldives,2664.0,13.0,4928.387,24.05,540542.0,1454.433,30.6,15183.616,,South Asia
MLI,2020-07-12,Mali,2406.0,121.0,118.81,5.975,20250834.0,15.196,16.4,2014.306,0.1,West Africa
MLT,2020-07-12,Malta,674.0,9.0,1526.479,20.383,441539.0,1454.037,42.4,36513.323,4.485,Western Europe
MRT,2020-07-12,Mauritania,5126.0,144.0,1102.446,30.97,4649660.0,4.289,20.3,3597.633,,West Africa
MUS,2020-07-12,Mauritius,342.0,10.0,268.917,7.863,1271767.0,622.962,37.4,20292.745,3.4,East Africa
MEX,2020-07-12,Mexico,295268.0,34730.0,2290.093,269.365,128932753.0,66.444,29.3,17336.469,1.38,North America
MDA,2020-07-12,Moldova,19208.0,640.0,4761.571,158.653,4033963.0,123.655,37.6,5189.972,5.8,Eastern Europe
MCO,2020-07-12,Monaco,109.0,5.0,2777.495,127.408,39244.0,19347.5,,,13.8,Western Europe
MNG,2020-07-12,Mongolia,230.0,0.0,70.158,0.0,3278292.0,1.98,28.6,11840.846,7.0,East Asia
MNE,2020-07-12,Montenegro,1164.0,23.0,1853.32,36.621,628062.0,46.28,39.1,16409.288,3.861,Eastern Europe
MSR,2020-07-12,Montserrat,12.0,1.0,2400.48,200.04,4999.0,,,,,Caribbean
MAR,2020-07-12,Morocco,15542.0,245.0,421.072,6.638,36910558.0,80.08,29.6,7485.013,1.1,North Africa
MOZ,2020-07-12,Mozambique,1135.0,9.0,36.314,0.288,31255435.0,37.728,17.7,1136.103,0.7,Southern Africa
MMR,2020-07-12,Myanmar,330.0,6.0,6.065,0.11,54409794.0,81.721,29.1,5591.597,0.9,East Asia
NAM,2020-07-12,Namibia,668.0,1.0,262.897,0.394,2540916.0,3.078,22.0,9541.808,,Southern Africa
NPL,2020-07-12,Nepal,16719.0,38.0,573.81,1.304,29136808.0,204.43,25.0,2442.804,0.3,South Asia
NLD,2020-07-12,Netherlands,50866.0,6128.0,2968.566,357.633,17134873.0,508.544,43.2,48472.545,3.32,Western Europe
NCL,2020-07-12,New Caledonia,21.0,0.0,73.557,0.0,285491.0,15.342,33.4,,,Oceania / Aus
NZL,2020-07-12,New Zealand,1194.0,22.0,247.603,4.562,4822233.0,18.206,37.9,36085.843,2.61,Oceania / Aus
NIC,2020-07-12,Nicaragua,2846.0,91.0,429.614,13.737,6624554.0,51.667,27.3,5321.444,0.9,Central America
NER,2020-07-12,Niger,1099.0,68.0,45.401,2.809,24206636.0,16.955,15.1,926.0,0.3,West Africa
NGA,2020-07-12,Nigeria,31987.0,724.0,155.172,3.512,206139587.0,209.588,18.1,5338.454,,West Africa
MNP,2020-07-12,Northern Mariana Islands,33.0,2.0,573.345,34.748,57557.0,119.878,,,,Oceania / Aus
NOR,2020-07-12,Norway,8965.0,252.0,1653.68,46.484,5421242.0,14.462,39.7,64800.057,3.6,Western Europe
