iso_code,lastdate,location,total_cases,total_deaths,total_cases_pm,total_deaths_pm,population,pop_density,median_age,gdp_per_capita,hosp_beds,region
OMN,2020-07-12,Oman,54697.0,248.0,10710.994,48.564,5106622.0,14.98,30.7,37960.709,1.6,West Asia
PAK,2020-07-12,Pakistan,248872.0,5197.0,1126.667,23.527,220892331.0,255.573,23.5,5034.708,0.6,South Asia
PSE,2020-07-12,Palestine,6697.0,32.0,1312.773,6.273,5101416.0,778.202,20.4,4449.898,,West Asia
PAN,2020-07-12,Panama,44332.0,893.0,10274.481,206.964,4314768.0,55.133,29.7,22267.037,2.3,Central America
PNG,2020-07-12,Papua New Guinea,11.0,0.0,1.229,0.0,8947027.0,18.22,22.6,3823.194,,Oceania / Aus
PRY,2020-07-12,Paraguay,2820.0,21.0,395.372,2.944,7132530.0,17.144,26.5,8827.01,1.3,South America
PER,2020-07-12,Peru,322710.0,11682.0,9787.441,354.302,32971846.0,25.129,29.1,12236.706,1.6,South America
PHL,2020-07-12,Philippines,54222.0,1372.0,494.812,12.52,109581085.0,351.873,25.2,7599.188,1.0,East Asia
POL,2020-07-12,Poland,37521.0,1568.0,991.397,41.43,37846605.0,124.027,41.8,27216.445,6.62,Eastern Europe
PRT,2020-07-12,Portugal,46221.0,1654.0,4532.934,162.209,10196707.0,112.371,46.2,27936.896,3.39,Western Europe
PRI,2020-07-12,Puerto Rico,9533.0,167.0,3332.238,58.374,2860840.0,376.232,38.2,35044.67,,Caribbean
QAT,2020-07-12,Qatar,103128.0,146.0,35795.159,50.676,2881060.0,227.322,31.9,116935.6,1.2,West Asia
ROU,2020-07-12,Romania,32079.0,1871.0,1667.509,97.257,19237682.0,85.129,43.0,23313.199,6.892,Eastern Europe
RUS,2020-07-12,Russia,720547.0,11205.0,4937.47,76.781,145934460.0,8.823,39.6,24765.954,8.05,Eastern Europe
RWA,2020-07-12,Rwanda,1299.0,4.0,100.292,0.309,12952209.0,494.869,20.3,1854.211,,Central Africa
KNA,2020-07-12,Saint Kitts and Nevis,17.0,0.0,319.597,0.0,53192.0,212.865,,24654.385,2.3,Caribbean
LCA,2020-07-12,Saint Lucia,22.0,0.0,119.807,0.0,183629.0,293.187,34.9,12951.839,1.3,Caribbean
VCT,2020-07-12,Saint Vincent and the Grenadines,29.0,0.0,261.386,0.0,110947.0,281.787,31.8,10727.146,2.6,Caribbean
SMR,2020-07-12,San Marino,714.0,42.0,21038.364,1237.551,33938.0,556.667,,56861.47,3.8,Western Europe
STP,2020-07-12,Sao Tome and Principe,727.0,14.0,3317.196,63.88,219161.0,212.841,18.7,3052.714,2.9,Central Africa
SAU,2020-07-12,Saudi Arabia,229480.0,2181.0,6591.626,62.647,34813867.0,15.322,31.9,49045.411,2.7,West Asia
SEN,2020-07-12,Senegal,8014.0,145.0,478.621,8.66,16743930.0,82.328,18.7,2470.58,,West Africa
SRB,2020-07-12,Serbia,18073.0,382.0,2655.999,56.139,6804596.0,80.291,41.2,14048.881,5.609,Eastern Europe
SYC,2020-07-12,Seychelles,100.0,0.0,1016.88,0.0,98340.0,208.354,36.2,26382.287,3.6,East Africa
SLE,2020-07-12,Sierra Leone,1618.0,63.0,202.834,7.898,7976985.0,104.7,19.1,1390.3,,West Africa
SGP,2020-07-12,Singapore,45783.0,26.0,7825.695,4.444,5850343.0,7915.731,42.4,85535.383,2.4,East Asia
SXM,2020-07-12,Sint Maarten (Dutch part),78.0,15.0,1818.945,349.797,42882.0,1209.088,,36327.232,,Western Europe
SVK,2020-07-12,Slovakia,1893.0,28.0,346.726,5.129,5459643.0,113.128,41.2,30155.152,5.82,Eastern Europe
SVN,2020-07-12,Slovenia,1827.0,111.0,878.817,53.393,2078932.0,102.619,44.5,31400.84,4.5,Eastern Europe
SOM,2020-07-12,Somalia,3051.0,92.0,191.969,5.789,15893219.0,23.5,16.8,,0.9,East Africa
ZAF,2020-07-12,South Africa,264184.0,3971.0,4454.389,66.955,59308690.0,46.754,27.3,12294.876,2.32,Southern Africa
KOR,2020-07-12,South Korea,13417.0,289.0,261.697,5.637,51269183.0,527.967,43.4,35938.374,12.27,East Asia
SSD,2020-07-12,South Sudan,2129.0,41.0,190.196,3.663,11193729.0,,19.2,1569.888,,East Africa
ESP,2020-07-11,Spain,253908.0,28403.0,5430.632,607.489,46754783.0,93.105,45.5,34272.36,2.97,Western Europe
LKA,2020-07-12,Sri Lanka,2511.0,11.0,117.264,0.514,21413250.0,341.955,34.1,11669.077,3.6,South Asia
SDN,2020-07-12,Sudan,10250.0,650.0,233.755,14.824,43849269.0,23.258,19.7,4466.507,0.8,East Africa
SUR,2020-07-12,Suriname,741.0,18.0,1263.139,30.684,586634.0,3.612,29.6,13767.119,3.1,South America
SWZ,2020-07-12,Swaziland,1311.0,18.0,1130.013,15.515,1160164.0,79.492,21.5,7738.975,2.1,Southern Africa
SWE,2020-07-12,Sweden,74898.0,5526.0,7416.18,547.168,10099270.0,24.718,41.0,46949.283,2.22,Western Europe
CHE,2020-07-12,Switzerland,32713.0,1685.0,3779.832,194.694,8654618.0,214.243,43.1,57410.166,4.53,Western Europe
SYR,2020-07-12,Syria,394.0,16.0,22.513,0.914,17500657.0,,21.7,,1.5,West Asia
TWN,2020-07-12,Taiwan,451.0,7.0,18.936,0.294,23816775.0,,42.2,,,East Asia
TJK,2020-07-12,Tajikistan,6506.0,55.0,682.139,5.767,9537642.0,64.281,23.3,2896.913,4.8,Central Asia
TZA,2020-07-12,Tanzania,509.0,21.0,8.521,0.352,59734213.0,64.699,17.7,2683.304,0.7,East Africa
THA,2020-07-12,Thailand,3217.0,58.0,46.089,0.831,69799978.0,135.132,40.1,16277.671,2.1,East Asia
TLS,2020-07-12,Timor,24.0,0.0,18.203,0.0,1318442.0,87.176,18.0,6570.102,5.9,East Asia
TGO,2020-07-12,Togo,718.0,15.0,86.728,1.812,8278737.0,143.366,19.4,1429.813,0.7,West Africa
TTO,2020-07-12,Trinidad and Tobago,133.0,8.0,95.035,5.716,1399491.0,266.886,36.2,28763.071,3.0,Caribbean
TUN,2020-07-12,Tunisia,1245.0,50.0,105.342,4.231,11818618.0,74.228,32.7,10849.297,2.3,North Africa
TUR,2020-07-12,Turkey,211981.0,5344.0,2513.438,63.363,84339067.0,104.914,31.6,25129.341,2.81,West Asia
TCA,2020-07-12,Turks and Caicos Islands,66.0,2.0,1704.634,51.656,38718.0,37.312,,,,Caribbean
UGA,2020-07-12,Uganda,1013.0,0.0,22.146,0.0,45741000.0,213.759,16.4,1697.707,0.5,East Africa
UKR,2020-07-12,Ukraine,52843.0,1372.0,1208.289,31.372,43733759.0,77.39,41.4,7894.393,8.8,Eastern Europe
ARE,2020-07-12,United Arab Emirates,54453.0,331.0,5505.642,33.467,9890400.0,112.442,34.0,67293.483,1.2,West Asia
GBR,2020-07-12,United Kingdom,288953.0,44798.0,4256.444,659.9,67886004.0,272.898,40.8,39753.244,2.54,Western Europe
USA,2020-07-12,United States,3247684.0,134814.0,9811.656,407.29,331002647.0,35.608,38.3,54225.446,2.77,North America
VIR,2020-07-12,United States Virgin Islands,181.0,6.0,1733.335,57.459,104423.0,306.48,42.2,,,Caribbean
URY,2020-07-12,Uruguay,986.0,30.0,283.845,8.636,3473727.0,19.751,35.6,20551.409,2.8,South America
UZB,2020-07-12,Uzbekistan,12513.0,57.0,373.866,1.703,33469199.0,76.134,28.2,6253.104,4.0,Central Asia
VAT,2020-07-12,Vatican,12.0,0.0,14833.127,0.0,809.0,,,,,Western Europe
VEN,2020-07-12,Venezuela,9178.0,85.0,322.761,2.989,28435943.0,36.253,29.0,16745.022,0.8,South America
VNM,2020-07-12,Vietnam,370.0,0.0,3.801,0.0,97338583.0,308.127,32.6,6171.884,2.6,East Asia
ESH,2020-07-12,Western Sahara,519.0,1.0,868.866,1.674,597330.0,,28.4,,,West Africa
YEM,2020-07-12,Yemen,1389.0,365.0,46.57,12.238,29825968.0,53.508,20.3,1479.147,0.7,West Asia
ZMB,2020-07-12,Zambia,1895.0,42.0,103.079,2.285,18383956.0,22.995,17.7,3689.251,2.0,Southern Africa
ZWE,2020-07-12,Zimbabwe,982.0,18.0,66.07,1.211,14862927.0,42.729,19.6,1899.775,1.7,Southern Africa
