locationid,latitude,longitude,stnelev,station,countryid
ACW00011604,57.7667,11.8667,18.0,SAVE,AC
AE000041196,25.333,55.517,34.0,SHARJAH_INTER_AIRP,AE
AEM00041184,25.617,55.933,31.0,RAS_AL_KHAIMAH_INTE,AE
AEM00041194,25.255,55.364,10.4,DUBAI_INTL,AE
AEM00041216,24.43,54.47,3.0,ABU_DHABI_BATEEN_AIR,AE
AEM00041217,24.433,54.651,26.8,ABU_DHABI_INTL,AE
AEM00041218,24.262,55.609,264.9,AL_AIN_INTL,AE
AF000040930,35.317,69.017,3366.0,NORTH_SALANG,AF
AFM00040911,36.7,67.2,378.0,MAZAR_I_SHARIF,AF
AFM00040938,34.21,62.228,977.2,HERAT,AF
AFM00040948,34.566,69.212,1791.3,KABUL_INTL,AF
AFM00040990,31.5,65.85,1010.0,KANDAHAR_AIRPORT,AF
AFXLT299877,34.5,65.3,2230.0,CHAKHCHARAN,AF
AG000060390,36.7167,3.25,24.0,ALGER_DAR_EL_BEIDA,AG
AG000060590,30.5667,2.8667,397.0,EL_GOLEA,AG
AG000060611,28.05,9.6331,561.0,IN_AMENAS,AG
AG000060680,22.8,5.4331,1362.0,TAMANRASSET,AG
AGE00135039,35.7297,-0.65,50.0,ORAN_HOPITAL_MILITAIRE,AG
AGE00147704,36.97,7.79,161.0,ANNABA_CAP_DE_GARDE,AG
AGE00147705,36.78,3.07,59.0,ALGIERS_VILLE_UNIVERSITE,AG
AGE00147706,36.8,3.03,344.0,ALGIERS_BOUZAREAH,AG
AGE00147707,36.8,3.04,38.0,ALGIERS_CAP_CAXINE,AG
AGE00147708,36.72,4.05,222.0,TIZI_OUZOU,AG
AGE00147709,36.63,4.2,942.0,FORT_NATIONAL,AG
AGE00147710,36.75,5.1,9.0,BEJAIA_BOUGIE_PORT,AG
AGE00147711,36.3697,6.62,660.0,CONSTANTINE,AG
AGE00147712,36.17,1.34,112.0,ORLEANSVILLE_CHLEF,AG
AGE00147713,36.18,5.4,1081.0,SETIF,AG
AGE00147714,35.77,0.8,78.0,ORAN_CAP_FALCON,AG
AGE00147715,35.42,8.1197,863.0,TEBESSA,AG
AGE00147716,35.1,-1.85,83.0,NEMOURS_GHAZAOUET,AG
AGE00147718,34.85,5.72,125.0,BISKRA,AG
AGE00147719,33.7997,2.89,767.0,LAGHOUAT,AG
AGE00147720,33.68,1.0,1320.0,GERYVILLE_EL_BAYADH,AG
AGM00060351,36.795,5.874,11.0,JIJEL,AG
AGM00060353,36.817,5.883,6.0,JIJEL_PORT,AG
AGM00060355,36.933,6.95,7.0,SKIKDA,AG
AGM00060360,36.822,7.809,4.9,ANNABA,AG
AGM00060367,36.9,8.45,13.0,EL_KALA,AG
AGM00060369,36.767,3.1,12.0,ALGER_PORT,AG
AGM00060387,36.917,3.95,8.0,DELLYS,AG
AGM00060402,36.712,5.07,6.1,SOUMMAM,AG
AGM00060403,36.467,7.467,228.0,GUELMA,AG
AGM00060405,36.5,7.717,111.0,BOUCHEGOUF,AG
AGM00060410,36.5,1.333,18.0,TENES,AG
AGM00060415,36.317,3.533,748.0,AIN_BESSAM,AG
AGM00060417,36.383,3.883,560.0,BOUIRA,AG
AGM00060419,36.276,6.62,690.4,MOHAMED_BOUDIAF_INTL,AG
AGM00060421,35.867,7.117,891.0,OUM_EL_BOUAGHI,AG
AGM00060423,36.283,7.967,680.0,SOUK_AHRAS,AG
AGM00060425,36.213,1.332,141.1,ECH_CHELIFF,AG
AGM00060430,36.3,2.233,721.0,MILIANA,AG
AGM00060437,36.283,2.733,1036.0,MEDEA,AG
AGM00060444,36.067,4.767,930.0,BORDJ_BOU_ARRERIDJ,AG
AGM00060445,36.178,5.324,1050.0,SETIF_AIN_ARNAT,AG
AGM00060452,35.817,-0.267,4.0,ARZEW,AG
AGM00060457,35.883,0.117,138.0,MOSTAGANEM,AG
AGM00060461,35.7,-0.65,22.0,ORAN_PORT,AG
AGM00060467,35.667,4.5,442.0,M'SILA,AG
AGM00060468,35.55,6.183,1052.0,BATNA,AG
AGM00060475,35.432,8.121,811.1,CHEIKH_LARBI_TEBESSI,AG
AGM00060476,35.467,7.083,987.0,KHENCHELLA,AG
AGM00060490,35.624,-0.621,89.9,ES_SENIA,AG
AGM00060506,35.6,0.3,476.0,MASCARA_MATEMORE,AG
AGM00060507,35.208,0.147,513.9,GHRISS,AG
AGM00060511,35.341,1.463,989.1,BOU_CHEKIF,AG
AGM00060514,35.167,2.317,801.0,KSAR_CHELLALA,AG
AGM00060515,35.333,4.206,459.0,BOU_SAADA,AG
AGM00060518,35.3,-1.35,70.0,BENI_SAF,AG
AGM00060520,35.2,-0.617,476.0,SIDI_BEL_ABBES,AG
