locationid,latitude,longitude,stnelev,station,countryid
AGM00060522,34.82,-1.77,426.0,MAGHNIA,AG
AGM00060531,35.017,-1.45,248.1,ZENATA,AG
AGM00060535,34.683,3.25,1144.0,DJELFA_TLETSI,AG
AGM00060536,34.867,0.15,752.0,SAIDA,AG
AGM00060540,34.15,0.067,1001.0,EL_KHEITER,AG
AGM00060549,33.536,-0.242,1175.0,MECHERIA,AG
AGM00060550,33.667,1.0,1347.0,EL_BAYADH,AG
AGM00060555,33.068,6.089,85.0,SIDI_MAHDI,AG
AGM00060557,33.267,-0.3,1166.0,NAAMA,AG
AGM00060559,33.511,6.777,61.9,GUEMAR,AG
AGM00060560,32.767,-0.6,1059.0,AIN_SEFRA,AG
AGM00060563,32.933,3.283,764.0,HASSIR'MEL,AG
AGM00060566,32.384,3.794,460.9,NOUMERAT,AG
AGM00060571,31.646,-2.27,811.1,BECHAR,AG
AGM00060580,31.917,5.413,150.0,OUARGLA,AG
AGM00060581,31.673,6.14,141.1,OUED_IRARA,AG
AGM00060602,30.133,-2.167,505.0,BENI_ABBES,AG
AGM00060603,29.717,6.7,252.0,RHOURD_NOUSS,AG
AGM00060607,29.237,0.276,313.0,TIMIMOUN,AG
AGM00060620,27.838,-0.186,280.1,TOUAT_CHEIKH_SIDI_MOHAMED_BEL,AG
AGM00060630,27.233,2.5,269.0,IN_SALAH,AG
AGM00060640,26.724,8.623,541.9,ILLIZI_TAKHAMALT,AG
AGM00060656,27.7,-8.167,442.9,TINDOUF,AG
AGM00060670,24.293,9.452,968.0,TISKA,AG
AGM00060686,21.333,0.95,399.0,BORDJ_BADJ_MOKHTAR,AG
AGM00060690,19.567,5.767,401.0,IN_GUEZZAM,AG
AGXLT074658,27.88,-0.28,263.0,ADRAR,AG
AGXLT104989,33.12,6.13,85.0,TOUGGOURT,AG
AGXLT146043,31.7,2.9,398.0,HASSI_MESSOUD,AG
AGXLT191914,35.3,0.2,511.0,MASCARA_GRISS_ALGERIA,AG
AGXLT199075,36.5,6.5,9999.0,SKIKDA,AG
AGXLT247289,35.75,6.3167,826.0,BATNA,AG
AGXLT305380,33.5,6.12,63.0,EL_OUED,AG
AGXLT391176,35.3,1.4,68.0,BENI_SAF_ALGERIA,AG
AGXLT477883,32.4,3.8,520.0,GHARDAIA,AG
AGXLT544396,33.5,3.7,41.0,AYATA,AG
AGXLT602246,24.55,9.47,1054.0,DJANET,AG
AGXLT750989,27.0,1.1,290.0,AOULEF_ALGERIA,AG
AGXLT818652,35.1,1.9,83.0,GHAZAOUETAL,AG
AGXLT830065,34.8,-1.3,9999.0,TLEMCEN,AG
AGXLT898158,26.5,8.42,544.0,ILLIZI,AG
AGXLT952400,33.4,3.8,69.0,TOUGGOURT,AG
AGXLT990706,36.8,5.0,22.0,BEJAIA,AG
AJ000037575,41.55,46.667,490.0,ZAKATALA,AJ
AJ000037661,41.217,47.167,641.0,SHAKI,AJ
AJ000037675,41.367,48.517,552.0,GUBA,AJ
AJ000037735,40.7167,46.4167,311.0,GANCA,AJ
AJ000037747,40.617,47.15,15.0,EVLAKH_AIRPORT,AJ
AJ000037749,40.65,47.75,95.0,GOYCHAY,AJ
AJ000037756,40.533,48.933,755.0,MARAZA,AJ
AJ000037860,40.533,50.0,28.0,MASHTAGA,AJ
AJ000037907,39.6,47.15,439.0,FIZULY,AJ
AJ000037936,39.2,45.417,885.0,NAXCIVAN,AJ
AJ000037985,38.75,48.817,-12.0,LANKARAN,AJ
AJ000037989,38.5,48.9,-22.0,ASTARA,AJ
AJXLT263100,40.4,49.8,0.0,BAKU,AJ
ALE00100939,41.3331,19.7831,89.0,TIRANA,AL
ALE00108905,42.1,19.5331,43.0,SHKODRA,AL
ALM00013610,42.0333,20.4167,354.0,KUKES,AL
ALM00013615,41.415,19.721,38.4,TIRANA_RINAS,AL
ALM00013622,40.4667,19.4833,1.0,VLORE,AL
ALM00013625,40.0833,20.15,193.0,GJIROKASTER,AL
ALM00013629,40.6,20.7667,889.0,KORCA,AL
AM000037682,40.783,43.833,1866.0,AMASIA,AM
AM000037686,40.78,43.83,1523.0,GUMRI,AM
AM000037781,40.5,44.2,3223.0,ARAGAC_VISOKOGORNAYA,AM
AM000037789,40.2,44.5,1113.0,YEREVAN,AM
AM000037801,40.35,45.1331,1961.0,GAVAR,AM
AMM00037717,40.567,45.0,1917.0,SEVAN_OZERO,AM
AO000066160,-8.85,13.233,74.0,LUANDA,AO
AO000066270,-11.417,15.117,1304.0,WAKU_KUNGU_CELA,AO
AO000066390,-14.933,13.567,1761.0,LUBANGO_SA_DA_BAND,AO
AO000066410,-14.65,17.683,1343.0,MENONGUE_SERPA_PIN,AO
AO000066422,-15.2,12.15,45.0,MOCAMEDES,AO
AO000066447,-15.833,20.35,1088.0,MAVINGA,AO
AOM00066140,-7.58,15.0,824.0,UIGECARMONA,AO
AOM00066152,-7.4,20.82,776.0,DUNDO,AO
AOM00066215,-9.55,16.37,1139.0,MALANJE,AO
AOM00066226,-9.67,20.38,1096.0,SAURIMO,AO
AOM00066285,-11.7833,19.9267,1329.0,LUENA_LUSO,AO
AOM00066318,-12.8,15.75,1701.0,HUAMBONOVA_LISBOA,AO
AOM00066325,-12.38,16.95,1711.0,SILVA_PORTOBIE_KUITO,AO
AOXLT237217,-9.7,20.4,1080.0,HENRIQUE_DE_CARVALHO,AO
AOXLT400864,-14.9,13.6,1758.0,SA_DA_BANDEIRA,AO
AOXLT442550,-12.33,13.55,3.0,LOBITO,AO
AOXLT606864,-14.92,13.48,1786.0,SA_DA_BANDEIRA,AO
AOXLT714994,-17.1,15.7,1150.0,PEREIRA_DECA,AO
AOXLT781717,-5.55,12.2,20.0,CABINDA,AO
AOXLT894964,-10.7,13.75,5.0,PORTO_AMBOIM,AO
AQC00914869,-14.3333,-170.7167,3.0,TAFUNA_AP_TUTUILA,AQ
AQW00061705,-14.3306,-170.7136,3.7,PAGO_PAGO_WSO_AP,AQ
AR000000011,-30.267,-57.65,53.0,MONTE_CASEROS_AERO,AR
AR000087007,-22.1,-65.6,3479.0,LA_QUIACA_OBSERVATO,AR
AR000087065,-24.167,-62.9,205.0,RIVADAVIA,AR
AR000087078,-24.7,-60.583,130.0,LAS_LOMITAS,AR
AR000087129,-27.767,-64.3,200.0,SANTIAGO_DEL_ESTERO,AR
AR000087155,-27.45,-59.05,53.0,RESISTENCIA_AERO,AR
AR000087217,-29.383,-66.817,438.0,LA_RIOJA_AERO,AR
AR000087257,-29.883,-61.95,88.0,CERES_AERO,AR
AR000087270,-29.183,-59.7,53.0,RECONQUISTA_AERO,AR
AR000087344,-31.317,-64.217,489.0,CORDOBA_AERO,AR
AR000087374,-31.783,-60.483,74.0,PARANA_AERO,AR
AR000087418,-32.833,-68.783,704.0,MENDOZA_AERO,AR
AR000087534,-34.133,-63.367,137.0,LABOULAYE_AERO,AR
AR000087623,-36.567,-64.266,192.0,SANTA_ROSA_AERO,AR
AR000087692,-37.933,-57.583,22.0,MAR_DEL_PLATA_AERO,AR
AR000087715,-38.95,-68.133,273.0,NEUQUEN_AERO,AR
AR000087803,-42.933,-71.15,799.0,ESQUEL_AERO,AR
AR000087828,-43.2,-65.266,43.0,TRELEW_AERO,AR
AR000087860,-45.783,-67.5,58.0,COMODORO_RIVADAVIA,AR
AR000087925,-51.617,-69.283,19.0,RIO_GALLEGOS_AERO,AR
AR000870470,-24.85,-65.483,1246.0,SALTA_AERO,AR
AR000873050,-30.25,-68.75,1175.0,JACHAL,AR
AR000875440,-35.867,-61.9,85.0,PEHUAJO_AERO,AR
AR000875850,-34.583,-58.483,25.0,BUENOS_AIRES_OBSERV,AR
AR000877500,-38.733,-62.167,75.0,BAHIA_BLANCA_AERO,AR
ARM00087016,-23.153,-64.329,356.0,ORAN,AR
ARM00087022,-22.62,-63.794,449.0,GENERAL_ENRIQUE_MOSCONI_TARTA,AR
ARM00087046,-24.393,-65.098,920.2,JUJUY,AR
ARM00087121,-26.841,-65.105,455.7,TENIENTE_BENJAMIN_MATIENZO,AR
ARM00087148,-26.733,-60.483,93.0,PRESIDENCIA_ROQUE_SAENZ_PENA,AR
ARM00087162,-26.213,-58.228,59.1,FORMOSA,AR
ARM00087166,-27.446,-58.762,61.9,CORRIENTES,AR
ARM00087178,-27.386,-55.971,131.1,POSADAS,AR
ARM00087222,-28.596,-65.752,463.9,CATAMARCA,AR
ARM00087244,-29.9,-63.683,341.0,VILLA_MARIA_DEL_RIO,AR
ARM00087289,-29.689,-57.152,70.1,PASO_DE_LOS_LIBRES,AR
ARM00087311,-31.571,-68.418,597.1,SAN_JUAN,AR
ARM00087320,-30.367,-66.283,461.0,CHAMICAL_AERO,AR
ARM00087322,-31.333,-66.6,658.0,CHEPES,AR
ARM00087328,-31.945,-65.146,583.7,VILLA_DOLORES,AR
ARM00087345,-31.4,-64.183,426.0,CORDOBA_OBSERVATORIO,AR
ARM00087349,-31.667,-63.883,338.0,PILAR_OBSERVATORIO,AR
ARM00087395,-31.297,-57.997,34.1,COMODORO_PIERRESTEGUI,AR
ARM00087416,-33.083,-68.417,653.0,SAN_MARTIN,AR
ARM00087420,-32.883,-68.85,827.0,MENDOZA_OBSERVATORIO,AR
ARM00087436,-33.273,-66.356,709.9,SAN_LUIS,AR
ARM00087448,-33.73,-65.387,484.9,VILLA_REYNOLDS,AR
ARM00087453,-33.085,-64.261,420.9,RIO_CUARTO_AREA_DE_MATERIAL,AR
ARM00087467,-32.684,-62.158,110.0,MARCOS_JUAREZ,AR
ARM00087480,-32.904,-60.785,25.9,ROSARIO,AR
ARM00087497,-33.01,-58.613,22.9,GUALEGUAYCHU,AR
ARM00087506,-35.494,-69.574,1430.1,MALARGUE,AR
ARM00087509,-34.588,-68.403,752.9,SAN_RAFAEL,AR
ARM00087532,-35.696,-63.758,139.9,GENERAL_PICO,AR
ARM00087548,-34.546,-60.931,79.9,JUNIN,AR
ARM00087550,-35.45,-60.883,76.0,NUEVE_DE_JULIO,AR
ARM00087563,-36.067,-59.1,38.0,LAS_FLORES,AR
ARM00087576,-34.822,-58.536,20.4,MINISTRO_PISTARINI,AR
ARM00087582,-34.559,-58.416,5.5,AEROPARQUE_JORGE_NEWBERY,AR
ARM00087593,-34.972,-57.895,21.9,LA_PLATA,AR
ARM00087596,-35.367,-57.283,22.0,PUNTA_INDIO_BA,AR
ARM00087637,-37.433,-61.883,233.0,CORONEL_SUAREZ_AERO,AR
ARM00087640,-36.2,-61.067,94.0,BOLIVAR_AERO,AR
ARM00087641,-36.833,-59.883,147.0,AZUL_AERO,AR
ARM00087645,-37.237,-59.228,175.0,TANDIL,AR
ARM00087648,-36.35,-57.733,9.0,DOLORES_AIRPORT,AR
ARM00087679,-37.6,-62.383,304.0,PIGUE_AIRPORT,AR
ARM00087688,-38.387,-60.33,121.9,TRES_ARROYOS,AR
ARM00087736,-39.017,-64.083,79.0,RIO_COLORADO,AR
ARM00087765,-41.151,-71.158,846.1,SAN_CARLOS_DE_BARILOCHE,AR
ARM00087774,-41.25,-68.733,888.0,MAQUINCHAO,AR
ARM00087784,-40.783,-65.1,20.0,SAN_ANTONIO_OESTE_AERO,AR
ARM00087791,-40.869,-63.0,6.1,GOBERNADOR_CASTELLO,AR
ARM00087800,-41.943,-71.532,344.7,EL_BOLSON,AR
ARM00087814,-43.817,-68.883,460.0,PASO_DE_INDIOS,AR
ARM00087852,-46.517,-71.017,429.0,PERITO_MORENO_ARPT,AR
ARM00087880,-48.783,-70.167,356.0,GOBERNADOR_GREGORES,AR
ARM00087896,-47.735,-65.904,81.1,PUERTO_DESEADO,AR
ARM00087903,-50.333,-72.3,220.0,LAGO_ARGENTINO_ARPT,AR
ARM00087904,-50.267,-72.05,204.0,EL_CALAFATE_AERO,AR
ARM00087909,-49.307,-67.803,57.9,SAN_JULIAN,AR
ARM00087934,-53.778,-67.749,19.8,RIO_GRANDE,AR
ARM00087938,-54.843,-68.296,21.6,USHUAIA_MALVINAS_ARGENTINAS,AR
ARN00000038,-34.92,-62.73,9999.0,GENERALVILLEGAS_INTA,AR
ARN00000067,-28.43,-58.92,9999.0,BELLAVISTA_INTA,AR
ARN00000070,-28.48,-65.73,9999.0,CATAMARCA_INTASUMALAO,AR
ARN00000098,-31.18,-61.55,9999.0,RAFAELA_INTA,AR
ARN00000145,-33.93,-60.55,9999.0,PERGAMINO_INTA,AR
ARN00000216,-38.32,-60.25,9999.0,BARROW_INTA,AR
ARN00000230,-39.01,-67.4,9999.0,ALTOVALLEDERIONEGRO_INTA,AR
ARN00000343,-37.85,-63.02,9999.0,BORDENAVE_INTABUENOSAIRES,AR
ARN00000358,-34.67,-58.65,9999.0,CASTELAR_INTA,AR
ARN00000400,-37.75,-58.3,9999.0,BALCARCE_INTABUENOSAIRES,AR
ARN00000416,-27.1,-61.1,9999.0,LASBREAS_INTA,AR
ARN00000421,-39.38,-62.62,9999.0,HILARIOASCASUBI_INTA,AR
ARN00000423,-27.65,-55.43,9999.0,CERROAZUL_INTA,AR
ARN00000438,-31.82,-63.77,9999.0,MANFREDI_INTA,AR
ARN00000442,-33.73,-69.12,9999.0,LACONSULTA_INTA_MENDOZA,AR
ARN00000444,-27.05,-65.42,9999.0,FAMAILLA_INTA_TUCUMA,AR
ARN00000445,-31.37,-68.32,9999.0,SANJUANPOCITO_INTA,AR
ARN00000446,-36.5,-63.98,9999.0,ANGUIL_INTALAPAMPA,AR
ARN00000448,-34.67,-68.38,9999.0,RAMACAIDA_INTA_MENDOZA,AR
ARN00000457,-22.83,-65.85,9999.0,ABRAPAMPA_INTA_JUJUY,AR
ARN00000464,-26.3,-59.38,9999.0,ELCOLORADO_INTA,AR
ARN00000472,-32.55,-60.85,9999.0,OLIVEROS_INTA,AR
ARN00000492,-33.68,-59.68,9999.0,SANPEDRO_INTA,AR
ARN00000496,-31.38,-58.03,9999.0,CONCORDIA_INTA,AR
ARN00000497,-32.4,-58.23,9999.0,CONCDELURUGUAY_INTA,AR
ARN00000498,-29.17,-58.02,9999.0,MERCEDES_INTACTES,AR
ARXLT052250,-50.2,-68.4,12.0,SANTA_CRUZ_PUERTO_WAS_879140,AR
ARXLT082667,-37.1,-70.3,864.0,CHOS_MALAL,AR
ARXLT097381,-38.95,-67.98,265.0,CIPOLLETTI,AR
ARXLT099684,-36.5,-57.3,9999.0,GEN_CONESA_ARGENTI,AR
ARXLT122749,-45.58,-69.07,272.0,COLONIA_SARM,AR
ARXLT146898,-38.53,-70.38,713.0,LAS_LAJAS,AR
ARXLT185239,-38.0,-57.1,24.0,MAR_DEL_PLATAWAS_876940,AR
ARXLT203610,-31.7,-60.81,18.0,SAUCE_VIEJO_AERO,AR
ARXLT208531,-32.98,-68.86,921.0,CHACRAS_DE_CORIA,AR
ARXLT242717,-39.2,-66.8,9999.0,CHOELE_CHOEL_ARGENT,AR
ARXLT297472,-52.4,-68.4,5.0,PUNTA_DUNGEN,AR
ARXLT309443,-37.1,-63.7,142.0,MACACHIN_ARGENTINA,AR
ARXLT328770,-37.4,-64.6,230.0,GENERAL_ACHA,AR
ARXLT361672,-27.6,-66.2,9999.0,ANDALGALA_ARGENTINA,AR
ARXLT374324,-36.22,-65.42,312.0,VICTORICA,AR
ARXLT417177,-27.75,-57.63,74.0,GENERAL_PAZ,AR
ARXLT498842,-29.1,-59.3,36.0,GOYA,AR
ARXLT513600,-36.8,-59.8,131.0,AZUL_ARGENTINA,AR
ARXLT538245,-31.85,-59.08,43.0,VILLAGUAY_AERO,AR
ARXLT581111,-34.7,-59.5,9999.0,MERCEDES_ARGENTINA,AR
ARXLT645851,-30.8,-59.8,9999.0,LA_PAZ_ARGENTINA,AR
ARXLT657745,-25.6,-54.6,125.0,PTO_PTE_FRANCO_PAR,AR
ARXLT662267,-26.9,-65.1,5.0,CEVIL_POZO_AERO,AR
ARXLT663345,-33.0,-61.2,9999.0,CASILDA_ARGENTINA,AR
ARXLT678345,-32.5,-62.6,9999.0,BELL_VILLE_ARGENTIN,AR
ARXLT725249,-42.9,-71.35,568.0,ESQUEL,AR
ARXLT725895,-26.85,-65.18,427.0,TUCUMAN,AR
ARXLT754115,-26.82,-60.45,93.0,PCIA_R_SCIE,AR
ARXLT811415,-31.5,-68.7,630.0,SAN_JUANARGWAS_873120,AR
ARXLT834021,-24.78,-65.42,1173.0,SALTA,AR
ARXLT847638,-34.3,-58.7,9999.0,SAN_MIGUEL_ARGENTIN,AR
ARXLT893853,-46.8,-69.5,9999.0,PATAGONES_ARGENTINA,AR
ARXLT894786,-42.8,-65.0,14.0,PUERTO_MADRYN_WAS_878280,AR
ARXLT926859,-26.8,-65.2,480.0,TUCUMAN_OBSERVATORIO,AR
ARXLT945445,-28.5,-65.8,531.0,CATAMARCA_AEROARG,AR
ARXLT954992,-54.7,-64.2,53.0,ANO_NUEVO,AR
ARXLT965754,-29.4,-60.2,9999.0,VERA_ARGENTINA,AR
ASM00094275,-18.3,143.55,295.0,GEORGETOWN_POST_OFFICE,AS
ASM00094299,-16.288,149.965,9.0,WILLIS_ISLAND,AS
ASM00094940,-35.083,150.8,85.0,JERVIS_BAY,AS
ASM00094995,-31.542,159.079,7.0,LORD_HOWE_ISLAND_AERO,AS
ASM00094997,-53.1,73.717,12.0,HEARD_ISLAND_THE_SPIT,AS
ASM00094998,-54.499,158.937,8.3,MACQUARIE_ISLAND,AS
ASM00095997,-53.017,73.4,4.0,HEARD_ISLAND_ATLAS_COVE,AS
ASN00001005,-15.4644,128.1,20.0,WYNDHAM_PORT,AS
ASN00001006,-15.51,128.1503,3.8,WYNDHAM_AERO,AS
ASN00001007,-13.7542,126.1485,6.0,TROUGHTON_ISLAND,AS
ASN00001009,-15.4875,124.5222,12.0,KURI_BAY,AS
ASN00001012,-14.7925,125.8258,315.0,MITCHELL_PLATEAU,AS
ASN00001013,-15.4872,128.1247,11.0,WYNDHAM,AS
ASN00001018,-16.4181,126.1025,546.0,MOUNT_ELIZABETH,AS
ASN00001019,-14.2964,126.6453,23.0,KALUMBURU,AS
ASN00001020,-14.09,126.3867,51.0,TRUSCOTT,AS
ASN00001021,-14.2961,126.6431,23.0,KALUMBURU_MISSION,AS
ASN00001025,-15.3797,126.3114,385.0,DOONGAN,AS
ASN00002011,-18.2519,127.7817,360.0,OLD_HALLS_CREEK,AS
ASN00002012,-18.2292,127.6636,422.0,HALLS_CREEK_AIRPORT,AS
ASN00002014,-15.6547,128.7092,31.0,KIMBERLEY_RESSTATION,AS
ASN00002032,-17.0156,128.2175,203.0,WARMUN,AS
ASN00002038,-15.7828,128.7353,47.0,KUNUNURRA,AS
ASN00002056,-15.7814,128.71,44.0,KUNUNURRA_AERO,AS
ASN00002064,-16.6381,128.4517,164.0,ARGYLE_AERODROME,AS
ASN00002071,-18.2303,127.6625,422.0,HALLS_CREEK_COMPARISON,AS
ASN00003002,-17.95,122.25,19.0,BROOME_POST_OFFICE,AS
ASN00003003,-17.9475,122.2353,7.4,BROOME_AIRPORT,AS
ASN00003004,-16.3961,122.9278,25.0,CAPE_LEVEQUE,AS
ASN00003006,-18.1919,125.5644,114.0,FITZROY_CROSSING_COMP,AS
ASN00003007,-17.3044,123.6292,8.0,DERBY_POST_OFFICE,AS
ASN00003025,-16.09,123.5942,13.0,COCKATOO_ISLAND,AS
ASN00003030,-18.6844,121.7803,11.0,BIDYADANGA,AS
ASN00003032,-17.3706,123.6611,6.2,DERBY_AERO,AS
ASN00003057,-16.4514,123.0086,7.0,CYGNET_BAY,AS
ASN00003080,-17.5736,123.8217,77.5,CURTIN_AERO,AS
ASN00003093,-18.1814,125.5619,114.5,FITZROY_CROSSING_AERO,AS
ASN00003096,-17.8964,122.3122,32.0,WEST_ROEBUCK,AS
ASN00004002,-20.3139,118.5742,8.0,PORT_HEDLAND_POST_OFFICE,AS
ASN00004019,-19.7419,120.8436,7.5,MANDORA,AS
ASN00004020,-21.1756,119.7497,182.3,MARBLE_BAR_COMPARISON,AS
ASN00004027,-21.8861,120.1103,380.0,NULLAGINE,AS
ASN00004028,-20.1078,119.5811,9.0,PARDOO_STATION,AS
ASN00004032,-20.3725,118.6317,6.4,PORT_HEDLAND_AIRPORT,AS
ASN00004035,-20.7767,117.1456,12.0,ROEBOURNE,AS
ASN00004043,-21.9931,119.0131,387.0,REDMONT,AS
ASN00004074,-20.3422,119.5206,45.0,GOLDSWORTHY,AS
ASN00004083,-20.7097,116.7742,7.0,KARRATHA_AERO,AS
ASN00004090,-20.7594,117.1583,10.7,ROEBOURNE_AERO,AS
ASN00004106,-21.1756,119.7497,182.3,MARBLE_BAR,AS
ASN00005007,-22.2406,114.0967,5.0,LEARMONTH_AIRPORT,AS
ASN00005008,-21.1906,115.9797,11.0,MARDIE,AS
ASN00005016,-21.6364,115.1117,4.0,ONSLOW,AS
ASN00005017,-21.6689,115.1092,10.5,ONSLOW_AIRPORT,AS
ASN00005024,-21.8067,114.1072,12.0,VLAMINGH_HEAD,AS
ASN00005026,-22.2425,118.3358,463.0,WITTENOOM,AS
ASN00005058,-20.8206,115.3931,62.0,BARROW_ISLAND,AS
ASN00005061,-20.7278,116.7483,6.0,DAMPIER_SALT,AS
ASN00005069,-21.6392,116.3308,200.0,PANNAWONICA,AS
ASN00005072,-22.6967,117.7703,746.0,TOM_PRICE,AS
ASN00005084,-21.4606,115.0197,5.0,THEVENARD_ISLAND,AS
ASN00005094,-20.875,115.4056,6.4,BARROW_ISLAND_AIRPORT,AS
ASN00006011,-24.8878,113.67,4.0,CARNARVON_AIRPORT,AS
ASN00006022,-25.0544,115.21,144.0,GASCOYNE_JUNCTION,AS
ASN00006025,-26.4008,114.1667,15.0,HAMELIN_POOL,AS
ASN00006044,-25.9261,113.5319,9.0,DENHAM,AS
ASN00006062,-24.9,113.65,4.6,CARNARVON_POST_OFFICE,AS
ASN00006072,-23.0314,115.0414,111.0,EMU_CREEK_STATION,AS
ASN00006099,-26.8936,115.9561,287.0,MURCHISON,AS
ASN00006105,-25.8925,113.5772,33.8,SHARK_BAY_AIRPORT,AS
ASN00007017,-27.4233,117.8994,453.0,CUE,AS
ASN00007045,-26.6136,118.5372,517.0,MEEKATHARRA_AIRPORT,AS
ASN00007046,-26.5933,118.4883,511.0,MEEKATHARRA_POST_OFFICE,AS
ASN00007057,-28.0619,117.8503,426.0,MOUNT_MAGNET,AS
ASN00007062,-23.7942,120.2442,571.0,MUNDIWINDI,AS
ASN00007064,-27.3636,116.4261,303.0,MURGOO,AS
ASN00007080,-25.1256,119.1514,520.0,THREE_RIVERS,AS
ASN00007091,-28.3392,116.6828,318.0,YALGOO,AS
ASN00007139,-29.2708,117.6836,339.0,PAYNES_FIND,AS
ASN00007151,-23.3683,119.7314,544.0,NEWMAN,AS
ASN00007176,-23.4169,119.7989,524.0,NEWMAN_AERO,AS
ASN00007178,-23.2028,117.6692,391.0,PARABURDOO,AS
ASN00007185,-23.1725,117.7494,423.7,PARABURDOO_AERO,AS
ASN00007600,-28.1156,117.8425,407.0,MOUNT_MAGNET_AERO,AS
ASN00008025,-29.6889,115.8869,268.0,CARNAMAH,AS
